n,area_type,y,value
Afghanistan,city,2011,0.3059
Afghanistan,city,2012,0.3045842105263158
Afghanistan,city,2013,0.3032684210526316
Afghanistan,city,2014,0.30195263157894736
Afghanistan,city,2015,0.30063684210526315
Afghanistan,city,2016,0.29932105263157893
Afghanistan,city,2017,0.2980052631578947
Afghanistan,city,2018,0.2966894736842105
Afghanistan,city,2019,0.2953736842105263
Afghanistan,city,2020,0.2940578947368421
Afghanistan,city,2021,0.2927421052631579
Afghanistan,city,2022,0.2914263157894737
Afghanistan,city,2023,0.2901105263157895
Afghanistan,city,2024,0.28879473684210527
Afghanistan,city,2025,0.28747894736842106
Afghanistan,city,2026,0.28616315789473684
Afghanistan,city,2027,0.2848473684210526
Afghanistan,city,2028,0.2835315789473684
Afghanistan,city,2029,0.2822157894736842
Afghanistan,city,2030,0.2809
Afghanistan,city,2031,0.2804
Afghanistan,city,2032,0.2799
Afghanistan,city,2033,0.2794
Afghanistan,city,2034,0.2789
Afghanistan,city,2035,0.2784
Afghanistan,city,2036,0.2779
Afghanistan,city,2037,0.2774
Afghanistan,city,2038,0.2769
Afghanistan,city,2039,0.2764
Afghanistan,city,2040,0.2759
Afghanistan,city,2041,0.2754
Afghanistan,city,2042,0.2749
Afghanistan,city,2043,0.2744
Afghanistan,city,2044,0.2739
Afghanistan,city,2045,0.2734
Afghanistan,city,2046,0.2729
Afghanistan,city,2047,0.2724
Afghanistan,city,2048,0.2719
Afghanistan,city,2049,0.2714
Afghanistan,city,2050,0.2709
Afghanistan,city,2051,0.2709
Afghanistan,city,2052,0.2709
Afghanistan,city,2053,0.2709
Afghanistan,city,2054,0.2709
Afghanistan,city,2055,0.2709
Afghanistan,city,2056,0.2709
Afghanistan,city,2057,0.2709
Afghanistan,city,2058,0.2709
Afghanistan,city,2059,0.2709
Afghanistan,city,2060,0.2709
Afghanistan,city,2061,0.2709
Afghanistan,city,2062,0.2709
Afghanistan,city,2063,0.2709
Afghanistan,city,2064,0.2709
Afghanistan,city,2065,0.2709
Afghanistan,city,2066,0.2709
Afghanistan,city,2067,0.2709
Afghanistan,city,2068,0.2709
Afghanistan,city,2069,0.2709
Afghanistan,city,2070,0.2709
Afghanistan,city,2071,0.2709
Afghanistan,city,2072,0.2709
Afghanistan,city,2073,0.2709
Afghanistan,city,2074,0.2709
Afghanistan,city,2075,0.2709
Afghanistan,city,2076,0.2709
Afghanistan,city,2077,0.2709
Afghanistan,city,2078,0.2709
Afghanistan,city,2079,0.2709
Afghanistan,city,2080,0.2709
Afghanistan,city,2081,0.2709
Afghanistan,city,2082,0.2709
Afghanistan,city,2083,0.2709
Afghanistan,city,2084,0.2709
Afghanistan,city,2085,0.2709
Afghanistan,city,2086,0.2709
Afghanistan,city,2087,0.2709
Afghanistan,city,2088,0.2709
Afghanistan,city,2089,0.2709
Afghanistan,city,2090,0.2709
Afghanistan,city,2091,0.2709
Afghanistan,city,2092,0.2709
Afghanistan,city,2093,0.2709
Afghanistan,city,2094,0.2709
Afghanistan,city,2095,0.2709
Afghanistan,city,2096,0.2709
Afghanistan,city,2097,0.2709
Afghanistan,city,2098,0.2709
Afghanistan,city,2099,0.2709
Afghanistan,city,2100,0.2709
Afghanistan,large_city,2011,0.57
Afghanistan,large_city,2012,0.5726315789473684
