n,y,value
Afghanistan,2011,1.0
Afghanistan,2012,1.0141366368984335
Afghanistan,2013,1.017717595316032
Afghanistan,2014,1.0159518589363767
Afghanistan,2015,1.012981259873111
Afghanistan,2016,1.012323100390541
Afghanistan,2017,1.0119054837876533
Afghanistan,2018,1.0088273392077567
Afghanistan,2019,1.0105005462424481
Afghanistan,2020,1.0006720340138708
Afghanistan,2025,1.0088029096418145
Afghanistan,2030,1.04010164047113
Afghanistan,2035,1.076986879429091
Afghanistan,2040,1.1176528353101125
Afghanistan,2045,1.1603176275224034
Afghanistan,2050,1.2036136917673124
Afghanistan,2055,1.2466041009113422
Afghanistan,2060,1.288604643756682
Afghanistan,2065,1.329134276422298
Afghanistan,2070,1.368025035703808
Afghanistan,2075,1.4049992729305543
Afghanistan,2080,1.4400674704234677
Afghanistan,2085,1.473149088135942
Afghanistan,2090,1.5037984254693562
Afghanistan,2095,1.5319486309889188
Afghanistan,2100,1.557803912056553
Bangladesh,2011,1.0
Bangladesh,2012,1.0068243387416822
Bangladesh,2013,1.0129770126385724
Bangladesh,2014,1.019222391417178
Bangladesh,2015,1.0261645877243954
Bangladesh,2016,1.0337677013023945
Bangladesh,2017,1.0406829815021057
Bangladesh,2018,1.0486378384872186
Bangladesh,2019,1.057356774573285
Bangladesh,2020,1.0603875090122796
Bangladesh,2025,1.105690622984287
Bangladesh,2030,1.1372395340716492
Bangladesh,2035,1.1667196280478878
Bangladesh,2040,1.1944054020913513
Bangladesh,2045,1.2200889660848904
Bangladesh,2050,1.2437412935413832
Bangladesh,2055,1.2654735082388098
Bangladesh,2060,1.2855297278396776
Bangladesh,2065,1.30412185239669
Bangladesh,2070,1.321401887034049
Bangladesh,2075,1.3374705137489526
Bangladesh,2080,1.3519707668151009
Bangladesh,2085,1.3650668879799983
Bangladesh,2090,1.3766832784036167
Bangladesh,2095,1.3873190794906785
Bangladesh,2100,1.397248085306191
Bhutan,2011,1.0
Bhutan,2012,1.0053643104121908
Bhutan,2013,1.0064383748509829
Bhutan,2014,1.0128091099347065
Bhutan,2015,1.0224677410530159
Bhutan,2016,1.032223535356094
Bhutan,2017,1.0370947537153243
Bhutan,2018,1.0416519653695115
Bhutan,2019,1.0481591694655816
Bhutan,2020,1.032183302798864
Bhutan,2025,1.0549960701478458
Bhutan,2030,1.087827104512671
Bhutan,2035,1.1175641657738473
Bhutan,2040,1.1459834992881848
Bhutan,2045,1.1732367038043425
Bhutan,2050,1.1992391910032456
Bhutan,2055,1.2238033726621038
Bhutan,2060,1.2468487691861723
Bhutan,2065,1.2683747429025496
Bhutan,2070,1.2883919449787689
Bhutan,2075,1.30685575984497
Bhutan,2080,1.3234688819808929
Bhutan,2085,1.3388370703232009
Bhutan,2090,1.3523695691758295
Bhutan,2095,1.3643538987347532
Bhutan,2100,1.3750990181269878
India,2011,1.0
India,2012,1.0052235801184028
India,2013,1.011648314073013
India,2014,1.019408588282603
India,2015,1.0279570380525445
India,2016,1.0368284331508428
India,2017,1.0439539873846269
India,2018,1.0507495974247738
India,2019,1.0543966817209527
India,2020,1.0452383067712951
India,2025,1.0802348730667268
India,2030,1.109525754361658
India,2035,1.132179577041712
India,2040,1.1544248875827203
India,2045,1.176184375543816
India,2050,1.1974253036666327
India,2055,1.2182467110925608
India,2060,1.238453236959372
India,2065,1.2576227082959068
India,2070,1.2758545560030021
India,2075,1.2932394262008589
India,2080,1.3095283330890906
India,2085,1.3248053996583662
India,2090,1.3390125892234197
India,2095,1.3524931537835458
India,2100,1.3654437504640071
Maldives,2011,1.0
Maldives,2012,0.9961641712809105
Maldives,2013,1.0023754763701793
Maldives,2014,1.005412596634332
Maldives,2015,1.002909658118116
Maldives,2016,1.0083086215913304
Maldives,2017,1.0119346036759436
Maldives,2018,1.0169976506476321
Maldives,2019,1.023735573730451
Maldives,2020,0.9647928994413327
Maldives,2025,1.0426507836403165
Maldives,2030,1.0732533898828802
Maldives,2035,1.0990728282863937
Maldives,2040,1.120111074125253
Maldives,2045,1.1366877266673703
Maldives,2050,1.1500578158291364
Maldives,2055,1.161614611889986
Maldives,2060,1.172068706152685
Maldives,2065,1.1814352283236402
Maldives,2070,1.1891887605648337
Maldives,2075,1.1955934606795775
Maldives,2080,1.2014151838726708
Maldives,2085,1.2084178949164301
Maldives,2090,1.2163170320003907
Maldives,2095,1.223345750466468
Maldives,2100,1.2286569055073324
Nepal,2011,1.0
Nepal,2012,1.0074128068420263
Nepal,2013,1.0130267659033625
Nepal,2014,1.0225426773231363
Nepal,2015,1.0283150978279754
Nepal,2016,1.0275068534064338
Nepal,2017,1.0403772557896802
Nepal,2018,1.0510956927362975
Nepal,2019,1.060368052680868
Nepal,2020,1.0530819526238346
Nepal,2025,1.0809688712420489
Nepal,2030,1.1160213681680922
Nepal,2035,1.1544963067052065
Nepal,2040,1.1955953645968866
Nepal,2045,1.237180939509828
Nepal,2050,1.2779785068308525
Nepal,2055,1.3174193237760647
Nepal,2060,1.3554302887703231
Nepal,2065,1.391810814153275
Nepal,2070,1.4263594326135356
Nepal,2075,1.4588171648115487
Nepal,2080,1.4886084602355738
Nepal,2085,1.5159821168582441
Nepal,2090,1.541009337667254
Nepal,2095,1.5643215379299653
Nepal,2100,1.5858107952424543
Pakistan,2011,1.0
Pakistan,2012,1.0021772350039608
Pakistan,2013,1.005838513212293
Pakistan,2014,1.010023783632743
Pakistan,2015,1.0144267414751866
Pakistan,2016,1.0199609407098904
Pakistan,2017,1.0239446272610324
Pakistan,2018,1.0298203277639377
Pakistan,2019,1.030959930197108
Pakistan,2020,1.026959613870168
Pakistan,2025,1.0465482601278855
Pakistan,2030,1.0662769455779435
Pakistan,2035,1.0861158190342168
Pakistan,2040,1.1072174532010695
Pakistan,2045,1.1292796032838224
Pakistan,2050,1.151600247633132
Pakistan,2055,1.1737624475871187
Pakistan,2060,1.195335012912204
Pakistan,2065,1.2164594888626943
Pakistan,2070,1.2369275685413035
Pakistan,2075,1.256693083317816
Pakistan,2080,1.2754120067525159
Pakistan,2085,1.29291514843439
Pakistan,2090,1.309076761704943
Pakistan,2095,1.3239996954830455
Pakistan,2100,1.337850311261604
Sri Lanka,2011,1.0
Sri Lanka,2012,1.0089826718636987
Sri Lanka,2013,1.0131079139129224
Sri Lanka,2014,1.019882607405045
Sri Lanka,2015,1.0242502680219185
Sri Lanka,2016,1.029647037217745
Sri Lanka,2017,1.036695628007393
Sri Lanka,2018,1.0390410311853506
Sri Lanka,2019,1.0383889920404288
Sri Lanka,2020,1.0323338952269054
Sri Lanka,2025,1.0264307300301745
Sri Lanka,2030,1.0402349211292523
Sri Lanka,2035,1.0552027225886735
Sri Lanka,2040,1.0707980988088561
Sri Lanka,2045,1.0869161978393194
Sri Lanka,2050,1.1033918608289068
Sri Lanka,2055,1.1199323942395125
Sri Lanka,2060,1.136034667545738
Sri Lanka,2065,1.1513756803192512
Sri Lanka,2070,1.1658428438631725
Sri Lanka,2075,1.179927867064326
Sri Lanka,2080,1.1932254933563997
Sri Lanka,2085,1.2057635360903174
Sri Lanka,2090,1.217281053100444
Sri Lanka,2095,1.2278170168550522
Sri Lanka,2100,1.2377598538428176
