n,area_type,trip_dist,y,value
Afghanistan,large_city,No_travel,2011,0.0
Afghanistan,large_city,No_travel,2012,0.0
Afghanistan,large_city,No_travel,2013,0.0
Afghanistan,large_city,No_travel,2014,0.0
Afghanistan,large_city,No_travel,2015,0.0
Afghanistan,large_city,No_travel,2016,0.0
Afghanistan,large_city,No_travel,2017,0.0
Afghanistan,large_city,No_travel,2018,0.0
Afghanistan,large_city,No_travel,2019,0.0
Afghanistan,large_city,No_travel,2020,0.0
Afghanistan,large_city,No_travel,2025,0.0
Afghanistan,large_city,No_travel,2030,0.0
Afghanistan,large_city,No_travel,2035,0.0
Afghanistan,large_city,No_travel,2040,0.0
Afghanistan,large_city,No_travel,2045,0.0
Afghanistan,large_city,No_travel,2050,0.0
Afghanistan,large_city,No_travel,2055,0.0
Afghanistan,large_city,No_travel,2060,0.0
Afghanistan,large_city,No_travel,2065,0.0
Afghanistan,large_city,No_travel,2070,0.0
Afghanistan,large_city,No_travel,2075,0.0
Afghanistan,large_city,No_travel,2080,0.0
Afghanistan,large_city,No_travel,2085,0.0
Afghanistan,large_city,No_travel,2090,0.0
Afghanistan,large_city,No_travel,2095,0.0
Afghanistan,large_city,No_travel,2100,0.0
Afghanistan,large_city,00_01,2011,0.057842438834749
Afghanistan,large_city,00_01,2012,0.058660136389875696
Afghanistan,large_city,00_01,2013,0.05886726775811542
Afghanistan,large_city,00_01,2014,0.05876513325957692
Afghanistan,large_city,00_01,2015,0.058593306564957405
Afghanistan,large_city,00_01,2016,0.05855523701534335
Afghanistan,large_city,00_01,2017,0.058531081052534434
Afghanistan,large_city,00_01,2018,0.05835303366294725
Afghanistan,large_city,00_01,2019,0.05844981603850926
Afghanistan,large_city,00_01,2020,0.057881310921091195
Afghanistan,large_city,00_01,2025,0.05835162059727348
Afghanistan,large_city,00_01,2030,0.06016201552087344
Afghanistan,large_city,00_01,2035,0.0622955476992044
Afghanistan,large_city,00_01,2040,0.06464776576490898
Afghanistan,large_city,00_01,2045,0.06711560139884569
Afghanistan,large_city,00_01,2050,0.06961995134671721
Afghanistan,large_city,00_01,2055,0.07210662145811159
Afghanistan,large_city,00_01,2060,0.07453603528866941
Afghanistan,large_city,00_01,2065,0.07688036808712514
Afghanistan,large_city,00_01,2070,0.07912990445210283
Afghanistan,large_city,00_01,2075,0.0812685845073524
Afghanistan,large_city,00_01,2080,0.08329701457588115
Afghanistan,large_city,00_01,2085,0.08521053602496949
Afghanistan,large_city,00_01,2090,0.0869833684450031
Afghanistan,large_city,00_01,2095,0.088611644985954
Afghanistan,large_city,00_01,2100,0.09010717749966388
Afghanistan,large_city,02_05,2011,0.21148322952951493
Afghanistan,large_city,02_05,2012,0.21447289115548174
Afghanistan,large_city,02_05,2013,0.2152302038064464
Afghanistan,large_city,02_05,2014,0.21485678017437912
Afghanistan,large_city,02_05,2015,0.21422854829084234
Afghanistan,large_city,02_05,2016,0.21408935859792297
Afghanistan,large_city,02_05,2017,0.21400103969003914
Afghanistan,large_city,02_05,2018,0.21335006373332382
Afghanistan,large_city,02_05,2019,0.21370391896069188
Afghanistan,large_city,02_05,2020,0.211625353453122
Afghanistan,large_city,02_05,2025,0.21334489728982237
Afghanistan,large_city,02_05,2030,0.219964053965781
Afghanistan,large_city,02_05,2035,0.22776466342257848
Afghanistan,large_city,02_05,2040,0.23636483110420167
Afghanistan,large_city,02_05,2045,0.24538771914846264
Afghanistan,large_city,02_05,2050,0.25454411064089333
Afghanistan,large_city,02_05,2055,0.26363586120546795
Afghanistan,large_city,02_05,2060,0.2725182716483932
Afghanistan,large_city,02_05,2065,0.2810896092561626
Afghanistan,large_city,02_05,2070,0.28931435262787125
Afghanistan,large_city,02_05,2075,0.297133783725974
Afghanistan,large_city,02_05,2080,0.30455011938555415
Afghanistan,large_city,02_05,2085,0.31154632673744903
Afghanistan,large_city,02_05,2090,0.31802814757965897
Afghanistan,large_city,02_05,2095,0.3239814439548557
Afghanistan,large_city,02_05,2100,0.3294494022954323
Afghanistan,large_city,06_10,2011,0.3458702568351818
Afghanistan,large_city,06_10,2012,0.3507596990700287
Afghanistan,large_city,06_10,2013,0.35199824607763963
Afghanistan,large_city,06_10,2014,0.35138753038250503
Afghanistan,large_city,06_10,2015,0.35036008852153894
Afghanistan,large_city,06_10,2016,0.35013245073226396
Afghanistan,large_city,06_10,2017,0.34998800957056453
Afghanistan,large_city,06_10,2018,0.3489233709141399
Afghanistan,large_city,06_10,2019,0.349502083460967
Afghanistan,large_city,06_10,2020,0.34610269341216127
Afghanistan,large_city,06_10,2025,0.3489149214538931
Afghanistan,large_city,06_10,2030,0.3597402215244437
Afghanistan,large_city,06_10,2035,0.37249772859626074
Afghanistan,large_city,06_10,2040,0.38656287320127775
Afghanistan,large_city,06_10,2045,0.4013193558415625
Afghanistan,large_city,06_10,2050,0.41629417670190166
Afghanistan,large_city,06_10,2055,0.43116328055399683
Afghanistan,large_city,06_10,2060,0.44569001909513156
Afghanistan,large_city,06_10,2065,0.4597080135546237
Afghanistan,large_city,06_10,2070,0.47315917045583483
Afghanistan,large_city,06_10,2075,0.4859474593817345
Afghanistan,large_city,06_10,2080,0.49807650585535534
Afghanistan,large_city,06_10,2085,0.5095184534700921
Afghanistan,large_city,06_10,2090,0.5201191476454282
Afghanistan,large_city,06_10,2095,0.5298554664584425
Afghanistan,large_city,06_10,2100,0.538798039161851
Afghanistan,large_city,11_20,2011,0.499426097052528
Afghanistan,large_city,11_20,2012,0.5064863024441614
Afghanistan,large_city,11_20,2013,0.50827472653037
Afghanistan,large_city,11_20,2014,0.5073928717018551
Afghanistan,large_city,11_20,2015,0.5059092770057804
Afghanistan,large_city,11_20,2016,0.5055805749841624
Afghanistan,large_city,11_20,2017,0.5053720063541178
Afghanistan,large_city,11_20,2018,0.5038347006204167
Afghanistan,large_city,11_20,2019,0.5046703438793134
Afghanistan,large_city,11_20,2020,0.49976172837716204
Afghanistan,large_city,11_20,2025,0.5038224998576455
Afghanistan,large_city,11_20,2030,0.5194539028384282
Afghanistan,large_city,11_20,2035,0.5378753537700525
Afghanistan,large_city,11_20,2040,0.5581849933986214
Afghanistan,large_city,11_20,2045,0.5794929040547628
Afghanistan,large_city,11_20,2050,0.6011160884383333
Afghanistan,large_city,11_20,2055,0.6225866206878274
Afghanistan,large_city,11_20,2060,0.643562787875163
Afghanistan,large_city,11_20,2065,0.6638043441323241
Afghanistan,large_city,11_20,2070,0.683227404251698
Afghanistan,large_city,11_20,2075,0.7016933032413463
Afghanistan,large_city,11_20,2080,0.7192072762458993
Afghanistan,large_city,11_20,2085,0.735729099464224
Afghanistan,large_city,11_20,2090,0.7510361783858974
Afghanistan,large_city,11_20,2095,0.7650951256597591
Afghanistan,large_city,11_20,2100,0.7780079277715638
Afghanistan,large_city,21_30,2011,0.512059307619934
Afghanistan,large_city,21_30,2012,0.5192981041222202
Afghanistan,large_city,21_30,2013,0.5211317672101515
Afghanistan,large_city,21_30,2014,0.520227605462146
Afghanistan,large_city,21_30,2015,0.5187064825625937
Afghanistan,large_city,21_30,2016,0.5183694658736454
Afghanistan,large_city,21_30,2017,0.5181556214051202
Afghanistan,large_city,21_30,2018,0.5165794288227842
Afghanistan,large_city,21_30,2019,0.5174362100584731
Afghanistan,large_city,21_30,2020,0.5124034288917737
Afghanistan,large_city,21_30,2025,0.5165669194361624
Afghanistan,large_city,21_30,2030,0.5325937258740044
Afghanistan,large_city,21_30,2035,0.5514811557962137
Afghanistan,large_city,21_30,2040,0.5723045370083524
Afghanistan,large_city,21_30,2045,0.5941514409683264
Afghanistan,large_city,21_30,2050,0.6163215936482427
Afghanistan,large_city,21_30,2055,0.6383352327888322
Afghanistan,large_city,21_30,2060,0.6598420016778783
Afghanistan,large_city,21_30,2065,0.6805955773187239
Afghanistan,large_city,21_30,2070,0.7005099525892274
Afghanistan,large_city,21_30,2075,0.7194429549033303
Afghanistan,large_city,21_30,2080,0.7373999518310307
Afghanistan,large_city,21_30,2085,0.7543397020918275
Afghanistan,large_city,21_30,2090,0.7700339805457854
Afghanistan,large_city,21_30,2095,0.7844485552934916
Afghanistan,large_city,21_30,2100,0.7976879926153031
Afghanistan,large_city,31_50,2011,0.654115841271274
Afghanistan,large_city,31_50,2012,0.6633628394088393
Afghanistan,large_city,31_50,2013,0.6657052010367243
Afghanistan,large_city,31_50,2014,0.6645502048992827
Afghanistan,large_city,31_50,2015,0.662607088993935
Afghanistan,large_city,31_50,2016,0.6621765764503031
Afghanistan,large_city,31_50,2017,0.6619034068147763
Afghanistan,large_city,31_50,2018,0.6598899436833426
Afghanistan,large_city,31_50,2019,0.6609844149104609
Afghanistan,large_city,31_50,2020,0.6545554293656201
Afghanistan,large_city,31_50,2025,0.6598739639172645
Afghanistan,large_city,31_50,2030,0.6803469595644054
Afghanistan,large_city,31_50,2035,0.704474178675884
Afghanistan,large_city,31_50,2040,0.7310744246180989
Afghanistan,large_city,31_50,2045,0.7589821410687057
Afghanistan,large_city,31_50,2050,0.7873027825559994
Afghanistan,large_city,31_50,2055,0.8154234901998427
Afghanistan,large_city,31_50,2060,0.8428967106169724
Afghanistan,large_city,31_50,2065,0.8694077853844575
Afghanistan,large_city,31_50,2070,0.894846847109561
Afghanistan,large_city,31_50,2075,0.9190322813984978
Afghanistan,large_city,31_50,2080,0.941970944903442
Afghanistan,large_city,31_50,2085,0.9636101551040518
Afghanistan,large_city,31_50,2090,0.9836583721783051
Afghanistan,large_city,31_50,2095,1.002071867543693
Afghanistan,large_city,31_50,2100,1.0189842164705538
Afghanistan,large_city,51+,2011,0.7204363200833319
Afghanistan,large_city,51+,2012,0.7306208667487936
Afghanistan,large_city,51+,2013,0.7332007192535397
Afghanistan,large_city,51+,2014,0.7319286186339435
Afghanistan,large_city,51+,2015,0.7297884911763614
Afghanistan,large_city,51+,2016,0.7293143291807108
Afghanistan,large_city,51+,2017,0.7290134630121207
Afghanistan,large_city,51+,2018,0.7267958558582954
Afghanistan,large_city,51+,2019,0.7280012949771061
Afghanistan,large_city,51+,2020,0.7209204777952558
Afghanistan,large_city,51+,2025,0.7267782559117069
Afghanistan,large_city,51+,2030,0.7493269983736577
Afghanistan,large_city,51+,2035,0.7759004641939254
Afghanistan,large_city,51+,2040,0.8051976958015197
Afghanistan,large_city,51+,2045,0.8359349617000625
Afghanistan,large_city,51+,2050,0.8671270188987562
Afghanistan,large_city,51+,2055,0.898098871061358
Afghanistan,large_city,51+,2060,0.9283575875903569
Afghanistan,large_city,51+,2065,0.9575566070023024
Afghanistan,large_city,51+,2070,0.9855749225043202
Afghanistan,large_city,51+,2075,1.0122125059098455
Afghanistan,large_city,51+,2080,1.0374769090635956
Afghanistan,large_city,51+,2085,1.061310107990774
Afghanistan,large_city,51+,2090,1.0833910037922516
Afghanistan,large_city,51+,2095,1.1036714342663547
Afghanistan,large_city,51+,2100,1.1222985178134415
Afghanistan,city,No_travel,2011,0.0
Afghanistan,city,No_travel,2012,0.0
Afghanistan,city,No_travel,2013,0.0
Afghanistan,city,No_travel,2014,0.0
Afghanistan,city,No_travel,2015,0.0
Afghanistan,city,No_travel,2016,0.0
Afghanistan,city,No_travel,2017,0.0
Afghanistan,city,No_travel,2018,0.0
Afghanistan,city,No_travel,2019,0.0
Afghanistan,city,No_travel,2020,0.0
Afghanistan,city,No_travel,2025,0.0
Afghanistan,city,No_travel,2030,0.0
Afghanistan,city,No_travel,2035,0.0
Afghanistan,city,No_travel,2040,0.0
Afghanistan,city,No_travel,2045,0.0
Afghanistan,city,No_travel,2050,0.0
Afghanistan,city,No_travel,2055,0.0
Afghanistan,city,No_travel,2060,0.0
Afghanistan,city,No_travel,2065,0.0
Afghanistan,city,No_travel,2070,0.0
Afghanistan,city,No_travel,2075,0.0
Afghanistan,city,No_travel,2080,0.0
Afghanistan,city,No_travel,2085,0.0
Afghanistan,city,No_travel,2090,0.0
Afghanistan,city,No_travel,2095,0.0
Afghanistan,city,No_travel,2100,0.0
Afghanistan,city,00_01,2011,0.02898061743012685
Afghanistan,city,00_01,2012,0.029390305895828965
