area_type,trip_dist,y,ldv_share,bus_share,nmt_share,tw_share,rail_share,ipt_share
large_city,No_travel,2050,0,0,0,0,0,0
large_city,00_01,2050,0.0364,0.043,0.788,0.0918,0.0148,0
large_city,02_05,2050,0.0808,0.1834,0.4217,0.2181,0.0281,0.0599
large_city,06_10,2050,0.1353,0.2529,0.2622,0.2276,0.068,0.0469
large_city,11_20,2050,0.2005,0.2984,0.0382,0.2457,0.1661,0.0406
large_city,21_30,2050,0.2321,0.2323,0.101,0.1514,0.2298,0.0412
large_city,31_50,2050,0.2226,0.195,0,0.1236,0.3841,0.06
large_city,51+,2050,0.1999,0.1537,0,0.0823,0.4668,0.0683
city,No_travel,2050,0,0,0,0,0,0
city,00_01,2050,0.0303,0.0237,0.7743,0.1414,0.0053,0.0195
city,02_05,2050,0.0597,0.106,0.4852,0.2884,0.005,0.0495
city,06_10,2050,0.1006,0.1713,0.3563,0.3009,0.0067,0.0572
city,11_20,2050,0.1333,0.2892,0.1207,0.3525,0.0209,0.0736
city,21_30,2050,0.1423,0.2128,0.3954,0.1586,0.044,0.0391
city,31_50,2050,0.2034,0.3676,0,0.2355,0.1066,0.0678
city,51+,2050,0.1843,0.3094,0,0.1001,0.3335,0.0386
town,No_travel,2050,0,0,0,0,0,0
town,00_01,2050,0.0243,0.016,0.7994,0.1363,0.0054,0.013
town,02_05,2050,0.0505,0.0652,0.5613,0.2613,0.0074,0.0454
town,06_10,2050,0.092,0.1541,0.4322,0.2348,0.0186,0.0569
town,11_20,2050,0.1257,0.3364,0.0927,0.2863,0.0806,0.0622
town,21_30,2050,0.1286,0.2598,0.3196,0.1422,0.107,0.0318
town,31_50,2050,0.1588,0.4041,0,0.175,0.1951,0.0457
town,51+,2050,0.1683,0.3884,0,0.0763,0.2983,0.03
rural,No_travel,2050,0,0,0,0,0,0
rural,00_01,2050,0.0180,0.0209,0.8907,0.0479,0.0066,0.0094
rural,02_05,2050,0.0382,0.0813,0.7021,0.1238,0.0073,0.0357
rural,06_10,2050,0.0748,0.1822,0.5110,0.1487,0.0108,0.0565
rural,11_20,2050,0.0924,0.3494,0.2006,0.2273,0.0287,0.0791
rural,21_30,2050,0.1117,0.3394,0.2792,0.1532,0.0507,0.0462
rural,31_50,2050,0.1291,0.5170,0.0000,0.1527,0.1210,0.0461
rural,51+,2050,0.1357,0.4316,0.0000,0.0513,0.3119,0.0229
