mode,n,area_type,trip_dist,y,value
ldv_share,Afghanistan,city,00_01,2011,4.021548685197718
ldv_share,Afghanistan,city,02_05,2011,105.95096695633836
ldv_share,Afghanistan,city,06_10,2011,194.49576566878
ldv_share,Afghanistan,city,11_20,2011,239.47592395315993
ldv_share,Afghanistan,city,21_30,2011,159.22962797089022
ldv_share,Afghanistan,city,31_50,2011,238.80070249593624
ldv_share,Afghanistan,city,51+,2011,221.38331450650955
ldv_share,Afghanistan,city,No_travel,2011,0.0
ldv_share,Afghanistan,city,00_01,2012,4.385529657270082
ldv_share,Afghanistan,city,02_05,2012,113.06447688278523
ldv_share,Afghanistan,city,06_10,2012,207.79085939880954
ldv_share,Afghanistan,city,11_20,2012,255.67459738332767
ldv_share,Afghanistan,city,21_30,2012,169.5554558028985
ldv_share,Afghanistan,city,31_50,2012,255.10926639143366
ldv_share,Afghanistan,city,51+,2012,239.11799792457637
ldv_share,Afghanistan,city,No_travel,2012,0.0
ldv_share,Afghanistan,city,00_01,2013,4.6983322476593266
ldv_share,Afghanistan,city,02_05,2013,118.6058516139469
ldv_share,Afghanistan,city,06_10,2013,218.22135864194252
ldv_share,Afghanistan,city,11_20,2013,268.3307268504434
ldv_share,Afghanistan,city,21_30,2013,177.48560776949736
ldv_share,Afghanistan,city,31_50,2013,267.89933659375976
ldv_share,Afghanistan,city,51+,2013,253.8272473660078
ldv_share,Afghanistan,city,No_travel,2013,0.0
ldv_share,Afghanistan,city,00_01,2014,5.0143089151931495
ldv_share,Afghanistan,city,02_05,2014,124.01791666929148
ldv_share,Afghanistan,city,06_10,2014,228.4348407764208
ldv_share,Afghanistan,city,11_20,2014,280.70493398934457
ldv_share,Afghanistan,city,21_30,2014,185.1900517451954
ldv_share,Afghanistan,city,31_50,2014,280.42165843096404
ldv_share,Afghanistan,city,51+,2014,268.51322963604616
ldv_share,Afghanistan,city,No_travel,2014,0.0
ldv_share,Afghanistan,city,00_01,2015,5.311359169198125
ldv_share,Afghanistan,city,02_05,2015,128.77469741065175
ldv_share,Afghanistan,city,06_10,2015,237.4603853269189
ldv_share,Afghanistan,city,11_20,2015,291.60564770808713
ldv_share,Afghanistan,city,21_30,2015,191.88661307059704
ldv_share,Afghanistan,city,31_50,2015,291.4844843001133
ldv_share,Afghanistan,city,51+,2015,282.0116619942065
ldv_share,Afghanistan,city,No_travel,2015,0.0
ldv_share,Afghanistan,city,00_01,2016,5.607820430748241
ldv_share,Afghanistan,city,02_05,2016,133.35207318243843
ldv_share,Afghanistan,city,06_10,2016,246.17226281372774
ldv_share,Afghanistan,city,11_20,2016,302.1088270931973
ldv_share,Afghanistan,city,21_30,2016,198.28940649886476
ldv_share,Afghanistan,city,31_50,2016,302.16119412035107
ldv_share,Afghanistan,city,51+,2016,295.3252786214907
ldv_share,Afghanistan,city,No_travel,2016,0.0
ldv_share,Afghanistan,city,00_01,2017,5.936090154643874
ldv_share,Afghanistan,city,02_05,2017,138.51784667877138
ldv_share,Afghanistan,city,06_10,2017,255.9881371557319
ldv_share,Afghanistan,city,11_20,2017,313.9540673519926
ldv_share,Afghanistan,city,21_30,2017,205.53970105336776
ldv_share,Afghanistan,city,31_50,2017,314.19186506002814
ldv_share,Afghanistan,city,51+,2017,310.157814719344
ldv_share,Afghanistan,city,No_travel,2017,0.0
ldv_share,Afghanistan,city,00_01,2018,6.270259294545099
ldv_share,Afghanistan,city,02_05,2018,143.64789101387683
ldv_share,Afghanistan,city,06_10,2018,265.7566992141786
ldv_share,Afghanistan,city,11_20,2018,325.7278422257598
ldv_share,Afghanistan,city,21_30,2018,212.7081351090344
ldv_share,Afghanistan,city,31_50,2018,326.16328274038085
ldv_share,Afghanistan,city,51+,2018,325.1373631707109
ldv_share,Afghanistan,city,No_travel,2018,0.0
ldv_share,Afghanistan,city,00_01,2019,6.654644850699028
ldv_share,Afghanistan,city,02_05,2019,149.74312721684785
ldv_share,Afghanistan,city,06_10,2019,277.33128768890026
ldv_share,Afghanistan,city,11_20,2019,339.7005861157384
ldv_share,Afghanistan,city,21_30,2019,221.27440076835825
ldv_share,Afghanistan,city,31_50,2019,340.34995064184494
ldv_share,Afghanistan,city,51+,2019,342.5485849604438
ldv_share,Afghanistan,city,No_travel,2019,0.0
ldv_share,Afghanistan,city,00_01,2020,6.996060722736823
ldv_share,Afghanistan,city,02_05,2020,154.69454349325625
ldv_share,Afghanistan,city,06_10,2020,286.8072722086289
ldv_share,Afghanistan,city,11_20,2020,351.088579383655
ldv_share,Afghanistan,city,21_30,2020,228.1199324647044
ldv_share,Afghanistan,city,31_50,2020,351.9598940274312
ldv_share,Afghanistan,city,51+,2020,357.5834324409666
ldv_share,Afghanistan,city,No_travel,2020,0.0
ldv_share,Afghanistan,city,00_01,2025,10.260702997249354
ldv_share,Afghanistan,city,02_05,2025,209.12054300423404
ldv_share,Afghanistan,city,06_10,2025,389.737606700601
ldv_share,Afghanistan,city,11_20,2025,475.6402785382302
ldv_share,Afghanistan,city,21_30,2025,305.2611558341347
ldv_share,Afghanistan,city,31_50,2025,478.14487894742547
ldv_share,Afghanistan,city,51+,2025,507.93128258671027
ldv_share,Afghanistan,city,No_travel,2025,0.0
ldv_share,Afghanistan,city,00_01,2030,14.300374842314373
ldv_share,Afghanistan,city,02_05,2030,270.9666444321677
ldv_share,Afghanistan,city,06_10,2030,507.53193852949454
ldv_share,Afghanistan,city,11_20,2030,617.5951150535298
ldv_share,Afghanistan,city,21_30,2030,391.63854715497206
ldv_share,Afghanistan,city,31_50,2030,622.500666967841
ldv_share,Afghanistan,city,51+,2030,688.8570126946122
ldv_share,Afghanistan,city,No_travel,2030,0.0
ldv_share,Afghanistan,city,00_01,2035,20.44625438589026
ldv_share,Afghanistan,city,02_05,2035,362.77989741126646
ldv_share,Afghanistan,city,06_10,2035,682.7776358296355
ldv_share,Afghanistan,city,11_20,2035,828.5238686483023
ldv_share,Afghanistan,city,21_30,2035,519.2919327089455
ldv_share,Afghanistan,city,31_50,2035,837.2395348208618
ldv_share,Afghanistan,city,51+,2035,961.9955356820204
ldv_share,Afghanistan,city,No_travel,2035,0.0
