mode,n,area_type,trip_dist,y,value
ldv_share,Afghanistan,city,00_01,2011,3.493703989252726
ldv_share,Afghanistan,city,02_05,2011,92.04446965493949
ldv_share,Afghanistan,city,06_10,2011,168.96740176511682
ldv_share,Afghanistan,city,11_20,2011,208.04373049732285
ldv_share,Afghanistan,city,21_30,2011,138.33008872843632
ldv_share,Afghanistan,city,31_50,2011,207.45713461514063
ldv_share,Afghanistan,city,51+,2011,192.63964786656015
ldv_share,Afghanistan,city,No_travel,2011,0.0
ldv_share,Afghanistan,city,00_01,2012,3.7712563016382363
ldv_share,Afghanistan,city,02_05,2012,97.22773627326437
ldv_share,Afghanistan,city,06_10,2012,178.68596251116972
ldv_share,Afghanistan,city,11_20,2012,219.8627103005162
ldv_share,Afghanistan,city,21_30,2012,145.80612403653524
ldv_share,Afghanistan,city,31_50,2012,219.3765642173044
ldv_share,Afghanistan,city,51+,2012,205.9808278292791
ldv_share,Afghanistan,city,No_travel,2012,0.0
ldv_share,Afghanistan,city,00_01,2013,4.0298372335673385
ldv_share,Afghanistan,city,02_05,2013,101.73019951727854
ldv_share,Afghanistan,city,06_10,2013,187.1720665674639
ldv_share,Afghanistan,city,11_20,2013,230.15170000180734
ldv_share,Afghanistan,city,21_30,2013,152.2323396707793
ldv_share,Afghanistan,city,31_50,2013,229.78168944764798
ldv_share,Afghanistan,city,51+,2013,218.10909071015868
ldv_share,Afghanistan,city,No_travel,2013,0.0
ldv_share,Afghanistan,city,00_01,2014,4.306328468044652
ldv_share,Afghanistan,city,02_05,2014,106.50757544721165
ldv_share,Afghanistan,city,06_10,2014,196.1816622322836
ldv_share,Afghanistan,city,11_20,2014,241.07163495577134
ldv_share,Afghanistan,city,21_30,2014,159.04269268545477
ldv_share,Afghanistan,city,31_50,2014,240.82835564809673
ldv_share,Afghanistan,city,51+,2014,231.0433435593939
ldv_share,Afghanistan,city,No_travel,2014,0.0
ldv_share,Afghanistan,city,00_01,2015,4.57121068538739
ldv_share,Afghanistan,city,02_05,2015,110.82968672592536
ldv_share,Afghanistan,city,06_10,2015,204.36980746050713
ldv_share,Afghanistan,city,11_20,2015,250.9698196372903
ldv_share,Afghanistan,city,21_30,2015,165.14683117985
ldv_share,Afghanistan,city,31_50,2015,250.86554059165175
ldv_share,Afghanistan,city,51+,2015,243.1997389898614
ldv_share,Afghanistan,city,No_travel,2015,0.0
ldv_share,Afghanistan,city,00_01,2016,4.828649312192467
