mode,n,area_type,trip_dist,y,value
ldv_share,Afghanistan,city,00_01,2011,3.2172389481581773
ldv_share,Afghanistan,city,02_05,2011,84.76077356507079
ldv_share,Afghanistan,city,06_10,2011,155.59661253502418
ldv_share,Afghanistan,city,11_20,2011,191.5807391625281
ldv_share,Afghanistan,city,21_30,2011,127.38370237671232
ldv_share,Afghanistan,city,31_50,2011,191.040561996749
ldv_share,Afghanistan,city,51+,2011,177.10665160520765
ldv_share,Afghanistan,city,No_travel,2011,0.0
ldv_share,Afghanistan,city,00_01,2012,3.466869912893402
ldv_share,Afghanistan,city,02_05,2012,89.38027188395807
ldv_share,Afghanistan,city,06_10,2012,164.26382556318748
ldv_share,Afghanistan,city,11_20,2012,202.11710749464166
ldv_share,Afghanistan,city,21_30,2012,134.03779115152767
ldv_share,Afghanistan,city,31_50,2012,201.67019933079564
ldv_share,Afghanistan,city,51+,2012,189.02870517857974
ldv_share,Afghanistan,city,No_travel,2012,0.0
ldv_share,Afghanistan,city,00_01,2013,3.6908025077860653
ldv_share,Afghanistan,city,02_05,2013,93.17152374503553
ldv_share,Afghanistan,city,06_10,2013,171.4250707002287
ldv_share,Afghanistan,city,11_20,2013,210.78877937358777
ldv_share,Afghanistan,city,21_30,2013,139.42486221104173
ldv_share,Afghanistan,city,31_50,2013,210.4498982223037
ldv_share,Afghanistan,city,51+,2013,199.3954858321515
ldv_share,Afghanistan,city,No_travel,2013,0.0
ldv_share,Afghanistan,city,00_01,2014,3.92526769196484
ldv_share,Afghanistan,city,02_05,2014,97.08287418267406
ldv_share,Afghanistan,city,06_10,2014,178.82183076155343
ldv_share,Afghanistan,city,11_20,2014,219.73955474202282
ldv_share,Afghanistan,city,21_30,2014,144.96923490018204
ldv_share,Afghanistan,city,31_50,2014,219.51780286832678
ldv_share,Afghanistan,city,51+,2014,210.19572646630803
ldv_share,Afghanistan,city,No_travel,2014,0.0
ldv_share,Afghanistan,city,00_01,2015,4.145720259984012
ldv_share,Afghanistan,city,02_05,2015,100.51360772674862
ldv_share,Afghanistan,city,06_10,2015,185.34697033905206
ldv_share,Afghanistan,city,11_20,2015,227.60943161968308
ldv_share,Afghanistan,city,21_30,2015,149.77488700817582
ldv_share,Afghanistan,city,31_50,2015,227.51485891631216
ldv_share,Afghanistan,city,51+,2015,220.12095650794703
ldv_share,Afghanistan,city,No_travel,2015,0.0
ldv_share,Afghanistan,city,00_01,2016,4.358730545425104
ldv_share,Afghanistan,city,02_05,2016,103.64913817301117
ldv_share,Afghanistan,city,06_10,2016,191.33967904522328
ldv_share,Afghanistan,city,11_20,2016,234.81689347138635
ldv_share,Afghanistan,city,21_30,2016,154.12228398074762
ldv_share,Afghanistan,city,31_50,2016,234.8575962299083
ldv_share,Afghanistan,city,51+,2016,229.54431737963483
ldv_share,Afghanistan,city,No_travel,2016,0.0
ldv_share,Afghanistan,city,00_01,2017,4.593622436350825
ldv_share,Afghanistan,city,02_05,2017,107.19154725789053
ldv_share,Afghanistan,city,06_10,2017,198.0955173597375
ldv_share,Afghanistan,city,11_20,2017,242.95224806238355
ldv_share,Afghanistan,city,21_30,2017,159.05617295602474
ldv_share,Afghanistan,city,31_50,2017,243.13626698030546
ldv_share,Afghanistan,city,51+,2017,240.01453134766226
ldv_share,Afghanistan,city,No_travel,2017,0.0
ldv_share,Afghanistan,city,00_01,2018,4.837507912575557
ldv_share,Afghanistan,city,02_05,2018,110.82441359465884
ldv_share,Afghanistan,city,06_10,2018,205.03141495073058
ldv_share,Afghanistan,city,11_20,2018,251.2991792036551
ldv_share,Afghanistan,city,21_30,2018,164.1044234892035
ldv_share,Afghanistan,city,31_50,2018,251.63512175977377
ldv_share,Afghanistan,city,51+,2018,250.84362434271137
ldv_share,Afghanistan,city,No_travel,2018,0.0
ldv_share,Afghanistan,city,00_01,2019,5.105141507740928
ldv_share,Afghanistan,city,02_05,2019,114.87613109411222
ldv_share,Afghanistan,city,06_10,2019,212.75597720697664
ldv_share,Afghanistan,city,11_20,2019,260.602872323263
ldv_share,Afghanistan,city,21_30,2019,169.75167770889925
ldv_share,Afghanistan,city,31_50,2019,261.1010353162187
ldv_share,Afghanistan,city,51+,2019,262.7877277802116
ldv_share,Afghanistan,city,No_travel,2019,0.0
ldv_share,Afghanistan,city,00_01,2020,5.369517823923631
ldv_share,Afghanistan,city,02_05,2020,118.72897355668299
ldv_share,Afghanistan,city,06_10,2020,220.12627122434463
ldv_share,Afghanistan,city,11_20,2020,269.46255321224373
ldv_share,Afghanistan,city,21_30,2020,175.08339219821866
ldv_share,Afghanistan,city,31_50,2020,270.13129233493294
ldv_share,Afghanistan,city,51+,2020,274.44739119995063
ldv_share,Afghanistan,city,No_travel,2020,0.0
ldv_share,Afghanistan,city,00_01,2025,7.646360720429844
ldv_share,Afghanistan,city,02_05,2025,155.83835788748564
ldv_share,Afghanistan,city,06_10,2025,290.43568729634814
ldv_share,Afghanistan,city,11_20,2025,354.4510686883746
ldv_share,Afghanistan,city,21_30,2025,227.48313756561038
ldv_share,Afghanistan,city,31_50,2025,356.3175176241226
ldv_share,Afghanistan,city,51+,2025,378.5145919231595
ldv_share,Afghanistan,city,No_travel,2025,0.0
ldv_share,Afghanistan,city,00_01,2030,10.200569360007412
ldv_share,Afghanistan,city,02_05,2030,193.2826293895572
ldv_share,Afghanistan,city,06_10,2030,362.0265061913073
ldv_share,Afghanistan,city,11_20,2030,440.5354319010097
ldv_share,Afghanistan,city,21_30,2030,279.35884257284926
ldv_share,Afghanistan,city,31_50,2030,444.03460049643644
ldv_share,Afghanistan,city,51+,2030,491.36710153408177
ldv_share,Afghanistan,city,No_travel,2030,0.0
ldv_share,Afghanistan,city,00_01,2035,13.935162464836939
ldv_share,Afghanistan,city,02_05,2035,247.252954697245
ldv_share,Afghanistan,city,06_10,2035,465.3476917126284
ldv_share,Afghanistan,city,11_20,2035,564.6811634886442
ldv_share,Afghanistan,city,21_30,2035,353.9238685190229
ldv_share,Afghanistan,city,31_50,2035,570.6213333511357
ldv_share,Afghanistan,city,51+,2035,655.6488942751203
ldv_share,Afghanistan,city,No_travel,2035,0.0
ldv_share,Afghanistan,city,00_01,2040,18.49212749159464
ldv_share,Afghanistan,city,02_05,2040,309.09961431038874
ldv_share,Afghanistan,city,06_10,2040,584.4460186341463
ldv_share,Afghanistan,city,11_20,2040,707.299683327186
ldv_share,Afghanistan,city,21_30,2040,438.2941651280894
ldv_share,Afghanistan,city,31_50,2040,716.495207003685
ldv_share,Afghanistan,city,51+,2040,852.379173454306
ldv_share,Afghanistan,city,No_travel,2040,0.0
ldv_share,Afghanistan,city,00_01,2045,23.86569131969292
ldv_share,Afghanistan,city,02_05,2045,377.7487956936852
ldv_share,Afghanistan,city,06_10,2045,717.4383986232666
ldv_share,Afghanistan,city,11_20,2045,866.0087064237347
ldv_share,Afghanistan,city,21_30,2045,530.7201359968875
ldv_share,Afghanistan,city,31_50,2045,879.3385668486703
ldv_share,Afghanistan,city,51+,2045,1080.3830687396912
ldv_share,Afghanistan,city,No_travel,2045,0.0
ldv_share,Afghanistan,city,00_01,2050,29.998284477193224
ldv_share,Afghanistan,city,02_05,2050,451.6166704048438
ldv_share,Afghanistan,city,06_10,2050,861.4237910285929
ldv_share,Afghanistan,city,11_20,2050,1037.2316430371
ldv_share,Afghanistan,city,21_30,2050,628.811617829326
ldv_share,Afghanistan,city,31_50,2050,1055.589124538621
ldv_share,Afghanistan,city,51+,2050,1336.42901634861
ldv_share,Afghanistan,city,No_travel,2050,0.0
ldv_share,Afghanistan,city,00_01,2055,36.957584686640296
ldv_share,Afghanistan,city,02_05,2055,556.3871945769062
ldv_share,Afghanistan,city,06_10,2055,1061.2654444366626
ldv_share,Afghanistan,city,11_20,2055,1277.858949445941
ldv_share,Afghanistan,city,21_30,2055,774.6895871841849
ldv_share,Afghanistan,city,31_50,2055,1300.4751819755609
ldv_share,Afghanistan,city,51+,2055,1646.4671033751167
ldv_share,Afghanistan,city,No_travel,2055,0.0
ldv_share,Afghanistan,city,00_01,2060,44.5895741622834
ldv_share,Afghanistan,city,02_05,2060,671.284887415814
ldv_share,Afghanistan,city,06_10,2060,1280.423887053506
ldv_share,Afghanistan,city,11_20,2060,1541.745405669179
ldv_share,Afghanistan,city,21_30,2060,934.6681903967825
ldv_share,Afghanistan,city,31_50,2060,1569.0320421255785
ldv_share,Afghanistan,city,51+,2060,1986.4736192634189
ldv_share,Afghanistan,city,No_travel,2060,0.0
ldv_share,Afghanistan,city,00_01,2065,52.78351785887334
ldv_share,Afghanistan,city,02_05,2065,794.6426605095432
ldv_share,Afghanistan,city,06_10,2065,1515.7192769601443
ldv_share,Afghanistan,city,11_20,2065,1825.062196328627
ldv_share,Afghanistan,city,21_30,2065,1106.426245300636
ldv_share,Afghanistan,city,31_50,2065,1857.3631251839477
ldv_share,Afghanistan,city,51+,2065,2351.5152976558984
ldv_share,Afghanistan,city,No_travel,2065,0.0
ldv_share,Afghanistan,city,00_01,2070,61.3427230451966
ldv_share,Afghanistan,city,02_05,2070,923.4993539813963
ldv_share,Afghanistan,city,06_10,2070,1761.5034312306861
ldv_share,Afghanistan,city,11_20,2070,2121.008401694178
ldv_share,Afghanistan,city,21_30,2070,1285.8407603085489
ldv_share,Afghanistan,city,31_50,2070,2158.547145098365
ldv_share,Afghanistan,city,51+,2070,2732.8294416890453
ldv_share,Afghanistan,city,No_travel,2070,0.0
ldv_share,Afghanistan,city,00_01,2075,70.09532879698642
ldv_share,Afghanistan,city,02_05,2075,1055.2676445979753
ldv_share,Afghanistan,city,06_10,2075,2012.8412313578144
ldv_share,Afghanistan,city,11_20,2075,2423.641695664274
ldv_share,Afghanistan,city,21_30,2075,1469.309257888454
ldv_share,Afghanistan,city,31_50,2075,2466.5366052952554
ldv_share,Afghanistan,city,51+,2075,3122.7596160043367
ldv_share,Afghanistan,city,No_travel,2075,0.0
ldv_share,Afghanistan,city,00_01,2080,78.78024176440015
ldv_share,Afghanistan,city,02_05,2080,1186.0168372753503
ldv_share,Afghanistan,city,06_10,2080,2262.235181162868
ldv_share,Afghanistan,city,11_20,2080,2723.9344191922964
ldv_share,Afghanistan,city,21_30,2080,1651.3588073518006
ldv_share,Afghanistan,city,31_50,2080,2772.144070380011
ldv_share,Afghanistan,city,51+,2080,3509.6740644934944
ldv_share,Afghanistan,city,No_travel,2080,0.0
ldv_share,Afghanistan,city,00_01,2085,87.22422324663286
ldv_share,Afghanistan,city,02_05,2085,1313.1388666989112
ldv_share,Afghanistan,city,06_10,2085,2504.710598226474
ldv_share,Afghanistan,city,11_20,2085,3015.8966076717684
ldv_share,Afghanistan,city,21_30,2085,1828.3580507852173
ldv_share,Afghanistan,city,31_50,2085,3069.2735621423467
ldv_share,Afghanistan,city,51+,2085,3885.854971603218
ldv_share,Afghanistan,city,No_travel,2085,0.0
ldv_share,Afghanistan,city,00_01,2090,95.46205786884141
ldv_share,Afghanistan,city,02_05,2090,1437.1574067009587
ldv_share,Afghanistan,city,06_10,2090,2741.266349790355
ldv_share,Afghanistan,city,11_20,2090,3300.7309870096065
ldv_share,Afghanistan,city,21_30,2090,2001.0361290979845
ldv_share,Afghanistan,city,31_50,2090,3359.149092976859
ldv_share,Afghanistan,city,51+,2090,4252.851998695578
ldv_share,Afghanistan,city,No_travel,2090,0.0
ldv_share,Afghanistan,city,00_01,2095,103.45867521286432
ldv_share,Afghanistan,city,02_05,2095,1557.544480906981
ldv_share,Afghanistan,city,06_10,2095,2970.8953618470396
ldv_share,Afghanistan,city,11_20,2095,3577.224949615564
ldv_share,Afghanistan,city,21_30,2095,2168.6579107061975
ldv_share,Afghanistan,city,31_50,2095,3640.536593914287
ldv_share,Afghanistan,city,51+,2095,4609.102752278293
ldv_share,Afghanistan,city,No_travel,2095,0.0
ldv_share,Afghanistan,city,00_01,2100,111.10278233488566
ldv_share,Afghanistan,city,02_05,2100,1672.6246018815546
ldv_share,Afghanistan,city,06_10,2100,3190.401771991467
ldv_share,Afghanistan,city,11_20,2100,3841.530390006776
ldv_share,Afghanistan,city,21_30,2100,2328.8905190046166
ldv_share,Afghanistan,city,31_50,2100,3909.519853638631
ldv_share,Afghanistan,city,51+,2100,4949.649111511357
ldv_share,Afghanistan,city,No_travel,2100,0.0
ldv_share,Afghanistan,large_city,00_01,2011,9.685899391097868
ldv_share,Afghanistan,large_city,02_05,2011,239.3554708681766
ldv_share,Afghanistan,large_city,06_10,2011,585.3701458533592
ldv_share,Afghanistan,large_city,11_20,2011,1247.1381352891167
ldv_share,Afghanistan,large_city,21_30,2011,971.0417257452551
ldv_share,Afghanistan,large_city,31_50,2011,918.4450862967919
ldv_share,Afghanistan,large_city,51+,2011,386.40519409712545
ldv_share,Afghanistan,large_city,No_travel,2011,0.0
ldv_share,Afghanistan,large_city,00_01,2012,10.625225945897114
ldv_share,Afghanistan,large_city,02_05,2012,256.94141435028354
ldv_share,Afghanistan,large_city,06_10,2012,629.0951785951049
ldv_share,Afghanistan,large_city,11_20,2012,1339.398417332966
ldv_share,Afghanistan,large_city,21_30,2012,1040.1483371115125
ldv_share,Afghanistan,large_city,31_50,2012,986.9913071796748
ldv_share,Afghanistan,large_city,51+,2012,419.83615401328973
ldv_share,Afghanistan,large_city,No_travel,2012,0.0
ldv_share,Afghanistan,large_city,00_01,2013,11.514942532307714
ldv_share,Afghanistan,large_city,02_05,2013,272.65657612371655
ldv_share,Afghanistan,large_city,06_10,2013,668.3271447040836
ldv_share,Afghanistan,large_city,11_20,2013,1421.9834298977148
ldv_share,Afghanistan,large_city,21_30,2013,1101.4088972130899
ldv_share,Afghanistan,large_city,31_50,2013,1048.4812294693263
ldv_share,Afghanistan,large_city,51+,2013,450.82473608864564
ldv_share,Afghanistan,large_city,No_travel,2013,0.0
ldv_share,Afghanistan,large_city,00_01,2014,12.466604047878096
ldv_share,Afghanistan,large_city,02_05,2014,289.2100113572417
ldv_share,Afghanistan,large_city,06_10,2014,709.697407574988
ldv_share,Afghanistan,large_city,11_20,2014,1509.013778936001
ldv_share,Afghanistan,large_city,21_30,2014,1165.7948213498187
ldv_share,Afghanistan,large_city,31_50,2014,1113.3189608169398
ldv_share,Afghanistan,large_city,51+,2014,483.78702403618263
ldv_share,Afghanistan,large_city,No_travel,2014,0.0
ldv_share,Afghanistan,large_city,00_01,2015,13.403419382318326
ldv_share,Afghanistan,large_city,02_05,2015,304.8121574032054
ldv_share,Afghanistan,large_city,06_10,2015,748.8156281039794
ldv_share,Afghanistan,large_city,11_20,2015,1591.1530138108033
ldv_share,Afghanistan,large_city,21_30,2015,1226.0890160723336
ldv_share,Afghanistan,large_city,31_50,2015,1174.617184209624
ldv_share,Afghanistan,large_city,51+,2015,515.7371918356183
ldv_share,Afghanistan,large_city,No_travel,2015,0.0
ldv_share,Afghanistan,large_city,00_01,2016,14.345391214728643
ldv_share,Afghanistan,large_city,02_05,2016,319.9704563143128
ldv_share,Afghanistan,large_city,06_10,2016,786.9211378402179
ldv_share,Afghanistan,large_city,11_20,2016,1671.0436389541185
ldv_share,Afghanistan,large_city,21_30,2016,1284.3553507636225
ldv_share,Afghanistan,large_city,31_50,2016,1234.3205455998966
ldv_share,Afghanistan,large_city,51+,2016,547.4826586316321
ldv_share,Afghanistan,large_city,No_travel,2016,0.0
ldv_share,Afghanistan,large_city,00_01,2017,15.390250763915056
ldv_share,Afghanistan,large_city,02_05,2017,336.85480794193865
ldv_share,Afghanistan,large_city,06_10,2017,829.3518993066565
ldv_share,Afghanistan,large_city,11_20,2017,1760.0191801648389
ldv_share,Afghanistan,large_city,21_30,2017,1349.299368460545
ldv_share,Afghanistan,large_city,31_50,2017,1300.8017610257336
ldv_share,Afghanistan,large_city,51+,2017,582.746110274516
ldv_share,Afghanistan,large_city,No_travel,2017,0.0
ldv_share,Afghanistan,large_city,00_01,2018,16.498809423030842
ldv_share,Afghanistan,large_city,02_05,2018,354.5342285062508
ldv_share,Afghanistan,large_city,06_10,2018,873.8263209016504
ldv_share,Afghanistan,large_city,11_20,2018,1853.2246433799935
ldv_share,Afghanistan,large_city,21_30,2018,1417.1590483120112
ldv_share,Afghanistan,large_city,31_50,2018,1370.4814038137836
ldv_share,Afghanistan,large_city,51+,2018,619.9910669439922
ldv_share,Afghanistan,large_city,No_travel,2018,0.0
ldv_share,Afghanistan,large_city,00_01,2019,17.724865329479588
ldv_share,Afghanistan,large_city,02_05,2019,374.1078066930653
ldv_share,Afghanistan,large_city,06_10,2019,923.0616868258994
ldv_share,Afghanistan,large_city,11_20,2019,1956.412533975521
ldv_share,Afghanistan,large_city,21_30,2019,1492.3016643634996
ldv_share,Afghanistan,large_city,31_50,2019,1447.620502631306
ldv_share,Afghanistan,large_city,51+,2019,661.1982364934912
ldv_share,Afghanistan,large_city,No_travel,2019,0.0
ldv_share,Afghanistan,large_city,00_01,2020,18.978402309616232
ldv_share,Afghanistan,large_city,02_05,2020,393.61612759543334
ldv_share,Afghanistan,large_city,06_10,2020,972.2322724495327
ldv_share,Afghanistan,large_city,11_20,2020,2059.343814960891
ldv_share,Afghanistan,large_city,21_30,2020,1566.8834785797355
ldv_share,Afghanistan,large_city,31_50,2020,1524.6502476265557
ldv_share,Afghanistan,large_city,51+,2020,702.9669619932221
ldv_share,Afghanistan,large_city,No_travel,2020,0.0
