n,y,value
Afghanistan,2011,1.0
Afghanistan,2012,0.9934522979035735
Afghanistan,2013,0.991792755402185
Afghanistan,2014,0.992611107496804
Afghanistan,2015,0.9939876592217884
Afghanistan,2016,0.9942926096122274
Afghanistan,2017,0.9944861006493088
Afghanistan,2018,0.9959121137475058
Afghanistan,2019,0.9951370014091993
Afghanistan,2020,0.9996888664474123
Afghanistan,2025,0.9959234301169682
Afghanistan,2030,0.9814105740783555
Afghanistan,2035,0.9642699617263792
Afghanistan,2040,0.9453255232733184
Afghanistan,2045,0.9253969893664147
Afghanistan,2050,0.905118290978127
Afghanistan,2055,0.8849279462505238
Afghanistan,2060,0.865150293546079
Afghanistan,2065,0.8460171332401967
Afghanistan,2070,0.8276141400695637
Afghanistan,2075,0.8100795998760666
Afghanistan,2080,0.7934154989841056
Afghanistan,2085,0.7776666971020607
Afghanistan,2090,0.7630520445780262
Afghanistan,2095,0.7496099338233247
Afghanistan,2100,0.7372484215283153
Bangladesh,2011,1.0
Bangladesh,2012,0.9960262740301328
Bangladesh,2013,0.9924381040690258
Bangladesh,2014,0.9887904097250919
Bangladesh,2015,0.9847291778251993
Bangladesh,2016,0.9802732650874569
Bangladesh,2017,0.976213051532873
Bangladesh,2018,0.9715335848113182
Bangladesh,2019,0.9663935500398559
Bangladesh,2020,0.9646040995627807
Bangladesh,2025,0.9376795814900009
Bangladesh,2030,0.9187245813549145
Bangladesh,2035,0.9008508871715205
Bangladesh,2040,0.8839160143286201
Bangladesh,2045,0.8680713823333859
Bangladesh,2050,0.8533612706617648
Bangladesh,2055,0.8397420208763574
Bangladesh,2060,0.8270829806148532
Bangladesh,2065,0.8152690315432389
Bangladesh,2070,0.8042193182496683
Bangladesh,2075,0.7938831316417282
Bangladesh,2080,0.7845045180453288
Bangladesh,2085,0.7759917442279032
Bangladesh,2090,0.768406847621717
Bangladesh,2095,0.7614339634363487
Bangladesh,2100,0.7548998932403982
Bhutan,2011,1.0
Bhutan,2012,0.9975160963973976
Bhutan,2013,0.9970186564170282
Bhutan,2014,0.9940674240948985
Bhutan,2015,0.9895907831541492
Bhutan,2016,0.9850662979681498
Bhutan,2017,0.9828060950997473
Bhutan,2018,0.9806909505318924
Bhutan,2019,0.9776696839350125
Bhutan,2020,0.9850849625902018
Bhutan,2025,0.9744939849956991
Bhutan,2030,0.9592248019086776
Bhutan,2035,0.9453668839891268
Bhutan,2040,0.9320984394226065
Bhutan,2045,0.9193518670375871
Bhutan,2050,0.9071697108377352
Bhutan,2055,0.8956430279520063
Bhutan,2060,0.8848128830322933
Bhutan,2065,0.8746827546968517
Bhutan,2070,0.8652505800781461
Bhutan,2075,0.8565401350042855
Bhutan,2080,0.848694450780195
Bhutan,2085,0.841429746969856
Bhutan,2090,0.8350273149080025
Bhutan,2095,0.8293531024640654
Bhutan,2100,0.824262260237885
India,2011,1.0
India,2012,0.9969589527306584
India,2013,0.9932134353842943
India,2014,0.988681573767982
India,2015,0.9836794489549834
India,2016,0.9784770757859123
India,2017,0.9742900316934457
India,2018,0.9702897216325311
India,2019,0.9681399137188953
India,2020,0.9735345407909982
India,2025,0.9528496374088588
India,2030,0.935384631711899
India,2035,0.9217764842975286
India,2040,0.908324645947362
India,2045,0.8950780423606283
India,2050,0.8820597971753947
India,2055,0.8692123143352332
India,2060,0.8566601351104194
India,2065,0.8446735891621597
India,2070,0.8332006655414893
India,2075,0.8221933429551989
India,2080,0.8118191145333284
India,2085,0.8020349471970059
India,2090,0.7928880572020637
India,2095,0.7841657273814645
India,2100,0.7757461758172088
Maldives,2011,1.0
Maldives,2012,1.0017756285493027
Maldives,2013,0.998900158777121
Maldives,2014,0.9974937339508012
Maldives,2015,0.9986528105629887
Maldives,2016,0.996152392569086
Maldives,2017,0.9944726089268069
Maldives,2018,0.9921264337220876
Maldives,2019,0.9890029548479778
Maldives,2020,1.0162812175461988
Maldives,2025,0.980227285283308
Maldives,2030,0.9660067590976963
Maldives,2035,0.9539872215779078
Maldives,2040,0.9441787620793011
Maldives,2045,0.9364411044229966
Maldives,2050,0.9301942484563078
Maldives,2055,0.9247903255681245
Maldives,2060,0.9198986028962726
Maldives,2065,0.9155130249881944
Maldives,2070,0.9118807098462495
Maldives,2075,0.9088789416918701
Maldives,2080,0.906149350848716
Maldives,2085,0.9028647106670848
Maldives,2090,0.8991578613430996
Maldives,2095,0.8958579287258779
Maldives,2100,0.8933634149079299
Nepal,2011,1.0
Nepal,2012,0.9965673304066196
Nepal,2013,0.9939665740674696
Nepal,2014,0.9895560404157814
Nepal,2015,0.9868792694645647
Nepal,2016,0.9872541258910701
Nepal,2017,0.9812826452919359
Nepal,2018,0.9763058568897096
Nepal,2019,0.9719977567799144
Nepal,2020,0.9753832210315689
Nepal,2025,0.9624171054210542
Nepal,2030,0.9460864985575278
Nepal,2035,0.9281192933237611
Nepal,2040,0.9088780491793558
Nepal,2045,0.8893581607411065
Nepal,2050,0.8701588743429839
Nepal,2055,0.851552312060382
Nepal,2060,0.83357853548752
Nepal,2065,0.8163382746938961
Nepal,2070,0.799933239163107
Nepal,2075,0.7844928806484665
Nepal,2080,0.7702979241548218
Nepal,2085,0.7572363530398252
Nepal,2090,0.74527959217436
Nepal,2095,0.734130116403242
Nepal,2100,0.7238427568049952
Pakistan,2011,1.0
Pakistan,2012,0.9987329204227477
Pakistan,2013,0.9966007052798119
Pakistan,2014,0.9941610553955502
Pakistan,2015,0.9915918643025217
Pakistan,2016,0.9883586830353986
Pakistan,2017,0.9860286262787895
Pakistan,2018,0.9825877368039792
Pakistan,2019,0.981919786628598
Pakistan,2020,0.9842636372168144
Pakistan,2025,0.9727637134951972
Pakistan,2030,0.961122658442917
Pakistan,2035,0.9493545003516193
Pakistan,2040,0.9367662247311205
Pakistan,2045,0.9235235357138767
Pakistan,2050,0.9100377253335847
Pakistan,2055,0.8965568735007766
Pakistan,2060,0.8833448095620751
Pakistan,2065,0.870318505586257
Pakistan,2070,0.8576108130414517
Pakistan,2075,0.8452566709512639
Pakistan,2080,0.8334800036809576
Pakistan,2085,0.8223992710235597
Pakistan,2090,0.8121075175892531
Pakistan,2095,0.8025522865824041
Pakistan,2100,0.7936381060546985
Sri Lanka,2011,1.0
Sri Lanka,2012,0.9947681615952636
Sri Lanka,2013,0.9923617061988693
Sri Lanka,2014,0.9884044772888647
Sri Lanka,2015,0.9858497625872906
Sri Lanka,2016,0.9826892901529067
Sri Lanka,2017,0.9785550412925791
Sri Lanka,2018,0.9771777460435762
Sri Lanka,2019,0.9775607264957674
Sri Lanka,2020,0.981114216852897
Sri Lanka,2025,0.9845733440659835
Sri Lanka,2030,0.9764763403577034
Sri Lanka,2035,0.967664508812874
Sri Lanka,2040,0.9584463357118023
Sri Lanka,2045,0.9488783847084143
Sri Lanka,2050,0.9390539623856526
Sri Lanka,2055,0.9291445131931754
Sri Lanka,2060,0.9194517106478735
Sri Lanka,2065,0.9101738571170097
Sri Lanka,2070,0.9013848065632445
Sri Lanka,2075,0.8927900545952407
Sri Lanka,2080,0.884640771685543
Sri Lanka,2085,0.87692524294587
Sri Lanka,2090,0.8698100833823275
Sri Lanka,2095,0.8632777590501726
Sri Lanka,2100,0.8570922576070537
