n,area_type,trip_dist,y,value
Afghanistan,large_city,No_travel,2011,0.0
Afghanistan,large_city,No_travel,2012,0.0
Afghanistan,large_city,No_travel,2013,0.0
Afghanistan,large_city,No_travel,2014,0.0
Afghanistan,large_city,No_travel,2015,0.0
Afghanistan,large_city,No_travel,2016,0.0
Afghanistan,large_city,No_travel,2017,0.0
Afghanistan,large_city,No_travel,2018,0.0
Afghanistan,large_city,No_travel,2019,0.0
Afghanistan,large_city,No_travel,2020,0.0
Afghanistan,large_city,No_travel,2025,0.0
Afghanistan,large_city,No_travel,2030,0.0
Afghanistan,large_city,No_travel,2035,0.0
Afghanistan,large_city,No_travel,2040,0.0
Afghanistan,large_city,No_travel,2045,0.0
Afghanistan,large_city,No_travel,2050,0.0
Afghanistan,large_city,No_travel,2055,0.0
Afghanistan,large_city,No_travel,2060,0.0
Afghanistan,large_city,No_travel,2065,0.0
Afghanistan,large_city,No_travel,2070,0.0
Afghanistan,large_city,No_travel,2075,0.0
Afghanistan,large_city,No_travel,2080,0.0
Afghanistan,large_city,No_travel,2085,0.0
Afghanistan,large_city,No_travel,2090,0.0
Afghanistan,large_city,No_travel,2095,0.0
Afghanistan,large_city,No_travel,2100,0.0
Afghanistan,large_city,00_01,2011,0.0204991553484746
Afghanistan,large_city,00_01,2012,0.020316834795762823
Afghanistan,large_city,00_01,2013,0.02027069604561672
Afghanistan,large_city,00_01,2014,0.020293444317585077
Afghanistan,large_city,00_01,2015,0.02033172514051026
Afghanistan,large_city,00_01,2016,0.020340208263783147
Afghanistan,large_city,00_01,2017,0.020345591311198074
Afghanistan,large_city,00_01,2018,0.020385276003136502
Afghanistan,large_city,00_01,2019,0.020363702672605025
Afghanistan,large_city,00_01,2020,0.020490481799705897
Afghanistan,large_city,00_01,2025,0.020385591012632195
Afghanistan,large_city,00_01,2030,0.019982716470657243
Afghanistan,large_city,00_01,2035,0.019509864983724146
Afghanistan,large_city,00_01,2040,0.018991173370748533
Afghanistan,large_city,00_01,2045,0.018450185163543745
Afghanistan,large_city,00_01,2050,0.017904785268336672
Afghanistan,large_city,00_01,2055,0.01736705073356926
Afghanistan,large_city,00_01,2060,0.01684558206998481
Afghanistan,large_city,00_01,2065,0.01634620339190989
Afghanistan,large_city,00_01,2070,0.015870714664893173
Afghanistan,large_city,00_01,2075,0.015422153443161085
Afghanistan,large_city,00_01,2080,0.014999980917953296
Afghanistan,large_city,00_01,2085,0.014604735596438684
Afghanistan,large_city,00_01,2090,0.014241238546280193
Afghanistan,large_city,00_01,2095,0.013909721311924786
Afghanistan,large_city,00_01,2100,0.01360725364614977
Afghanistan,large_city,02_05,2011,0.0599141683583879
Afghanistan,large_city,02_05,2012,0.059381288632141975
Afghanistan,large_city,02_05,2013,0.0592464360103092
Afghanistan,large_city,02_05,2014,0.059312923813021314
Afghanistan,large_city,02_05,2015,0.05942480957761248
Afghanistan,large_city,02_05,2016,0.059449603734607566
Afghanistan,large_city,02_05,2017,0.05946533710525706
Afghanistan,large_city,02_05,2018,0.059581326045953904
Afghanistan,large_city,02_05,2019,0.05951827231834702
Afghanistan,large_city,02_05,2020,0.059888817632840485
Afghanistan,large_city,02_05,2025,0.05958224674398457
Afghanistan,large_city,02_05,2030,0.05840474002603133
Afghanistan,large_city,02_05,2035,0.057022707297608125
Afghanistan,large_city,02_05,2040,0.05550669475476854
Afghanistan,large_city,02_05,2045,0.05392551455610334
Afghanistan,large_city,02_05,2050,0.05233144003992989
Afghanistan,large_city,02_05,2055,0.050759769553976354
Afghanistan,large_city,02_05,2060,0.049235640350967655
Afghanistan,large_city,02_05,2065,0.04777607493550792
Afghanistan,large_city,02_05,2070,0.04638633417991552
Afghanistan,large_city,02_05,2075,0.04507529613463818
Afghanistan,large_city,02_05,2080,0.04384138598948348
Afghanistan,large_city,02_05,2085,0.042686177673163565
Afghanistan,large_city,02_05,2090,0.041623762022823425
Afghanistan,large_city,02_05,2095,0.04065481578795551
Afghanistan,large_city,02_05,2100,0.039770774551029064
Afghanistan,large_city,06_10,2011,0.0468854192381946
Afghanistan,large_city,06_10,2012,0.04646841788353795
Afghanistan,large_city,06_10,2013,0.04636288989436217
Afghanistan,large_city,06_10,2014,0.046414919465827424
Afghanistan,large_city,06_10,2015,0.04650247489926454
Afghanistan,large_city,06_10,2016,0.046521877395822926
Afghanistan,large_city,06_10,2017,0.04653418943651619
Afghanistan,large_city,06_10,2018,0.04662495578211638
Afghanistan,large_city,06_10,2019,0.046575613522440905
Afghanistan,large_city,06_10,2020,0.04686558120275408
Afghanistan,large_city,06_10,2025,0.04662567626801049
Afghanistan,large_city,06_10,2030,0.045704226506798895
Afghanistan,large_city,06_10,2035,0.04462272632665066
Afghanistan,large_city,06_10,2040,0.04343638116675086
Afghanistan,large_city,06_10,2045,0.04219903950722716
Afghanistan,large_city,06_10,2050,0.04095160748846576
Afghanistan,large_city,06_10,2055,0.03972170758903884
Afghanistan,large_city,06_10,2060,0.038529010792701955
Afghanistan,large_city,06_10,2065,0.03738683794303377
Afghanistan,large_city,06_10,2070,0.036299305899384314
Afghanistan,large_city,06_10,2075,0.03527336211890212
Afghanistan,large_city,06_10,2080,0.03430777424473211
Afghanistan,large_city,06_10,2085,0.03340377394393305
Afghanistan,large_city,06_10,2090,0.03257238790393233
Afghanistan,large_city,06_10,2095,0.03181414571037792
Afghanistan,large_city,06_10,2100,0.03112234533739743
Afghanistan,large_city,11_20,2011,0.0406330553046253
Afghanistan,large_city,11_20,2012,0.04027166279963807
Afghanistan,large_city,11_20,2013,0.040180207402842304
Afghanistan,large_city,11_20,2014,0.04022529861646851
Afghanistan,large_city,11_20,2015,0.04030117817192255
Afghanistan,large_city,11_20,2016,0.04031799326558097
Afghanistan,large_city,11_20,2017,0.040328663444893234
Afghanistan,large_city,11_20,2018,0.040407325724136904
Afghanistan,large_city,11_20,2019,0.040364563458195266
Afghanistan,large_city,11_20,2020,0.04061586275299012
Afghanistan,large_city,11_20,2025,0.040407950130266934
Afghanistan,large_city,11_20,2030,0.03960937949325227
Afghanistan,large_city,11_20,2035,0.03867210182045019
Afghanistan,large_city,11_20,2040,0.03764396067815421
Afghanistan,large_city,11_20,2045,0.03657162362968465
Afghanistan,large_city,11_20,2050,0.03549054181297775
Afghanistan,large_city,11_20,2055,0.034424654135218516
Afghanistan,large_city,11_20,2060,0.033391008373388015
Afghanistan,large_city,11_20,2065,0.0324011489816605
Afghanistan,large_city,11_20,2070,0.03145864381922053
Afghanistan,large_city,11_20,2075,0.030569513871166038
Afghanistan,large_city,11_20,2080,0.02973269112050876
Afghanistan,large_city,11_20,2085,0.02894924298642782
Afghanistan,large_city,11_20,2090,0.028228725702126294
Afghanistan,large_city,11_20,2095,0.027571598230822846
Afghanistan,large_city,11_20,2100,0.02697205228942328
Afghanistan,large_city,21_30,2011,0.0412215199580625
Afghanistan,large_city,21_30,2012,0.04085489361787367
Afghanistan,large_city,21_30,2013,0.040762113726329055
Afghanistan,large_city,21_30,2014,0.0408078579694949
Afghanistan,large_city,21_30,2015,0.04088483644394404
Afghanistan,large_city,21_30,2016,0.040901895060719
Afghanistan,large_city,21_30,2017,0.040912719769965675
Afghanistan,large_city,21_30,2018,0.04099252126875724
Afghanistan,large_city,21_30,2019,0.040949139702056186
Afghanistan,large_city,21_30,2020,0.0412040784168088
Afghanistan,large_city,21_30,2025,0.04099315471779419
Afghanistan,large_city,21_30,2030,0.04018301885169122
Afghanistan,large_city,21_30,2035,0.0392321671373418
Afghanistan,large_city,21_30,2040,0.03818913603128479
Afghanistan,large_city,21_30,2045,0.037101268955726095
Afghanistan,large_city,21_30,2050,0.03600453046659236
Afghanistan,large_city,21_30,2055,0.03492320616418866
Afghanistan,large_city,21_30,2060,0.033874590718428355
Afghanistan,large_city,21_30,2065,0.032870395775028996
Afghanistan,large_city,21_30,2070,0.031914240864382305
Afghanistan,large_city,21_30,2075,0.031012234169973885
Afghanistan,large_city,21_30,2080,0.030163292207353292
Afghanistan,large_city,21_30,2085,0.029368497854504124
Afghanistan,large_city,21_30,2090,0.0286375457419372
Afghanistan,large_city,21_30,2095,0.027970901479765685
Afghanistan,large_city,21_30,2100,0.027362672666945788
Afghanistan,large_city,31_50,2011,0.0600379215385309
Afghanistan,large_city,31_50,2012,0.05950394114507113
Afghanistan,large_city,31_50,2013,0.05936880998410046
Afghanistan,large_city,31_50,2014,0.05943543511788554
Afghanistan,large_city,31_50,2015,0.05954755198339257
Afghanistan,large_city,31_50,2016,0.059572397352911526
Afghanistan,large_city,31_50,2017,0.059588163220960305
Afghanistan,large_city,31_50,2018,0.059704391737715135
Afghanistan,large_city,31_50,2019,0.05964120777214409
Afghanistan,large_city,31_50,2020,0.06001251845086295
Afghanistan,large_city,31_50,2025,0.05970531433745473
Afghanistan,large_city,31_50,2030,0.05852537547022898
Afghanistan,large_city,31_50,2035,0.05714048814246992
Afghanistan,large_city,31_50,2040,0.05562134426394708
Afghanistan,large_city,31_50,2045,0.054036898125299306
Afghanistan,large_city,31_50,2050,0.05243953103583032
Afghanistan,large_city,31_50,2055,0.05086461425227969
Afghanistan,large_city,31_50,2060,0.04933733694856311
Afghanistan,large_city,31_50,2065,0.047874756789400195
Afghanistan,large_city,31_50,2070,0.04648214551348195
Afghanistan,large_city,31_50,2075,0.045168399508938264
Afghanistan,large_city,31_50,2080,0.04393194071279403
Afghanistan,large_city,31_50,2085,0.042774346304723376
Afghanistan,large_city,31_50,2090,0.04170973622660487
Afghanistan,large_city,31_50,2095,0.040738788625762294
Afghanistan,large_city,31_50,2100,0.03985292139479396
Afghanistan,large_city,51+,2011,0.0683410685329549
Afghanistan,large_city,51+,2012,0.06773323951873314
Afghanistan,large_city,51+,2013,0.067579419937772
Afghanistan,large_city,51+,2014,0.06765525921930178
Afghanistan,large_city,51+,2015,0.0677828816651321
Afghanistan,large_city,51+,2016,0.0678111631088848
Afghanistan,large_city,51+,2017,0.06782910937086711
Afghanistan,large_city,51+,2018,0.06796141210263186
Afghanistan,large_city,51+,2019,0.06788948989728863
Afghanistan,large_city,51+,2020,0.0683121522395394
Afghanistan,large_city,51+,2025,0.06796246229641632
Afghanistan,large_city,51+,2030,0.06661933980111108
Afghanistan,large_city,51+,2035,0.06504292480619721
Afghanistan,large_city,51+,2040,0.06331368579769957
Afghanistan,large_city,51+,2045,0.06151011333260998
Afghanistan,large_city,51+,2050,0.0596918329701956
Afghanistan,large_city,51+,2055,0.057899107754529035
Afghanistan,large_city,51+,2060,0.056160610481349196
Afghanistan,large_city,51+,2065,0.05449575786268976
Afghanistan,large_city,51+,2070,0.05291055071013676
Afghanistan,large_city,51+,2075,0.05141511576784292
Afghanistan,large_city,51+,2080,0.0500076567292878
Afghanistan,large_city,51+,2085,0.04868996889553176
Afghanistan,large_city,51+,2090,0.04747812497347197
Afghanistan,large_city,51+,2095,0.046372896897105186
Afghanistan,large_city,51+,2100,0.04536451566752094
Afghanistan,city,No_travel,2011,0.0
Afghanistan,city,No_travel,2012,0.0
Afghanistan,city,No_travel,2013,0.0
Afghanistan,city,No_travel,2014,0.0
Afghanistan,city,No_travel,2015,0.0
Afghanistan,city,No_travel,2016,0.0
Afghanistan,city,No_travel,2017,0.0
Afghanistan,city,No_travel,2018,0.0
Afghanistan,city,No_travel,2019,0.0
Afghanistan,city,No_travel,2020,0.0
Afghanistan,city,No_travel,2025,0.0
Afghanistan,city,No_travel,2030,0.0
Afghanistan,city,No_travel,2035,0.0
Afghanistan,city,No_travel,2040,0.0
Afghanistan,city,No_travel,2045,0.0
Afghanistan,city,No_travel,2050,0.0
Afghanistan,city,No_travel,2055,0.0
Afghanistan,city,No_travel,2060,0.0
Afghanistan,city,No_travel,2065,0.0
Afghanistan,city,No_travel,2070,0.0
Afghanistan,city,No_travel,2075,0.0
Afghanistan,city,No_travel,2080,0.0
Afghanistan,city,No_travel,2085,0.0
Afghanistan,city,No_travel,2090,0.0
Afghanistan,city,No_travel,2095,0.0
Afghanistan,city,No_travel,2100,0.0
Afghanistan,city,00_01,2011,0.0195275670690455
