n,area_type,trip_dist,y,value
Afghanistan,large_city,No_travel,2011,0.0
Afghanistan,large_city,No_travel,2012,0.0
Afghanistan,large_city,No_travel,2013,0.0
Afghanistan,large_city,No_travel,2014,0.0
Afghanistan,large_city,No_travel,2015,0.0
Afghanistan,large_city,No_travel,2016,0.0
Afghanistan,large_city,No_travel,2017,0.0
Afghanistan,large_city,No_travel,2018,0.0
Afghanistan,large_city,No_travel,2019,0.0
Afghanistan,large_city,No_travel,2020,0.0
Afghanistan,large_city,No_travel,2025,0.0
Afghanistan,large_city,No_travel,2030,0.0
Afghanistan,large_city,No_travel,2035,0.0
Afghanistan,large_city,No_travel,2040,0.0
Afghanistan,large_city,No_travel,2045,0.0
Afghanistan,large_city,No_travel,2050,0.0
Afghanistan,large_city,No_travel,2055,0.0
Afghanistan,large_city,No_travel,2060,0.0
Afghanistan,large_city,No_travel,2065,0.0
Afghanistan,large_city,No_travel,2070,0.0
Afghanistan,large_city,No_travel,2075,0.0
Afghanistan,large_city,No_travel,2080,0.0
Afghanistan,large_city,No_travel,2085,0.0
Afghanistan,large_city,No_travel,2090,0.0
Afghanistan,large_city,No_travel,2095,0.0
Afghanistan,large_city,No_travel,2100,0.0
Afghanistan,large_city,00_01,2011,0.0263657402468568
Afghanistan,large_city,00_01,2012,0.026543741280178133
Afghanistan,large_city,00_01,2013,0.026588369247422906
Afghanistan,large_city,00_01,2014,0.026566386879469255
Afghanistan,large_city,00_01,2015,0.026529302581183252
Afghanistan,large_city,00_01,2016,0.026521068916973894
Afghanistan,large_city,00_01,2017,0.026515841211344565
Afghanistan,large_city,00_01,2018,0.0264772308730068
Afghanistan,large_city,00_01,2019,0.026498235648283006
Afghanistan,large_city,00_01,2020,0.02637426815764484
Afghanistan,large_city,00_01,2025,0.026476923892067544
Afghanistan,large_city,00_01,2030,0.02686313128074305
Afghanistan,large_city,00_01,2035,0.027300243881966505
Afghanistan,large_city,00_01,2040,0.02775990077108371
Afghanistan,large_city,00_01,2045,0.02821743581541562
Afghanistan,large_city,00_01,2050,0.02865622691265017
Afghanistan,large_city,00_01,2055,0.02906679829992813
Afghanistan,large_city,00_01,2060,0.029443985482913177
Afghanistan,large_city,00_01,2065,0.02978572141925795
Afghanistan,large_city,00_01,2070,0.030093229755187814
Afghanistan,large_city,00_01,2075,0.03036713545156911
Afghanistan,large_city,00_01,2080,0.030610358348798473
Afghanistan,large_city,00_01,2085,0.030825051909976652
Afghanistan,large_city,00_01,2090,0.031011192492107847
Afghanistan,large_city,00_01,2095,0.031171337421735255
Afghanistan,large_city,00_01,2100,0.031309296374181055
Afghanistan,large_city,02_05,2011,0.0607545651824544
Afghanistan,large_city,02_05,2012,0.061164732895562866
Afghanistan,large_city,02_05,2013,0.06126756910344276
Afghanistan,large_city,02_05,2014,0.06121691514136165
Afghanistan,large_city,02_05,2015,0.06113146180698272
Afghanistan,large_city,02_05,2016,0.06111248897768932
Afghanistan,large_city,02_05,2017,0.06110044277760398
Afghanistan,large_city,02_05,2018,0.06101147298971652
Afghanistan,large_city,02_05,2019,0.06105987428536432
Afghanistan,large_city,02_05,2020,0.0607742160440267
Afghanistan,large_city,02_05,2025,0.061010765613655434
Afghanistan,large_city,02_05,2030,0.06190070315189802
Afghanistan,large_city,02_05,2035,0.06290794155197552
Afghanistan,large_city,02_05,2040,0.06396712874603751
Afghanistan,large_city,02_05,2045,0.065021426573971
Afghanistan,large_city,02_05,2050,0.06603253273176589
Afghanistan,large_city,02_05,2055,0.06697861222268414
Afghanistan,large_city,02_05,2060,0.0678477645043988
Afghanistan,large_city,02_05,2065,0.06863522649201816
Afghanistan,large_city,02_05,2070,0.06934381783307206
Afghanistan,large_city,02_05,2075,0.06997497862464615
Afghanistan,large_city,02_05,2080,0.0705354370538514
Afghanistan,large_city,02_05,2085,0.07103015534488849
Afghanistan,large_city,02_05,2090,0.07145907901721124
Afghanistan,large_city,02_05,2095,0.07182810091739657
Afghanistan,large_city,02_05,2100,0.07214599967883456
Afghanistan,large_city,06_10,2011,0.0853273830804756
Afghanistan,large_city,06_10,2012,0.08590344740549453
Afghanistan,large_city,06_10,2013,0.08604787679080836
Afghanistan,large_city,06_10,2014,0.08597673530515935
Afghanistan,large_city,06_10,2015,0.08585671947793456
Afghanistan,large_city,06_10,2016,0.08583007288984071
Afghanistan,large_city,06_10,2017,0.0858131544784216
Afghanistan,large_city,06_10,2018,0.08568819993137047
Afghanistan,large_city,06_10,2019,0.0857561776361393
Afghanistan,large_city,06_10,2020,0.08535498193807924
Afghanistan,large_city,06_10,2025,0.08568720644967959
Afghanistan,large_city,06_10,2030,0.08693708851229125
Afghanistan,large_city,06_10,2035,0.0883517149944111
Afghanistan,large_city,06_10,2040,0.08983930150235903
Afghanistan,large_city,06_10,2045,0.09132002108902436
Afghanistan,large_city,06_10,2050,0.09274007968383274
Afghanistan,large_city,06_10,2055,0.09406881089775439
Afghanistan,large_city,06_10,2060,0.0952895008899289
Afghanistan,large_city,06_10,2065,0.09639546009607451
Afghanistan,large_city,06_10,2070,0.09739064859958924
Afghanistan,large_city,06_10,2075,0.09827708895985324
Afghanistan,large_city,06_10,2080,0.09906423064946719
Afghanistan,large_city,06_10,2085,0.09975904291599348
Afghanistan,large_city,06_10,2090,0.10036144924366049
Afghanistan,large_city,06_10,2095,0.1008797259023385
Afghanistan,large_city,06_10,2100,0.1013262021353025
Afghanistan,large_city,11_20,2011,0.150513087141122
Afghanistan,large_city,11_20,2012,0.15152923479291028
Afghanistan,large_city,11_20,2013,0.15178400075282467
Afghanistan,large_city,11_20,2014,0.15165851085447937
Afghanistan,large_city,11_20,2015,0.151446809147369
Afghanistan,large_city,11_20,2016,0.1513998059452199
Afghanistan,large_city,11_20,2017,0.15136996274318693
Afghanistan,large_city,11_20,2018,0.15114954938993494
Afghanistan,large_city,11_20,2019,0.15126945854256738
Afghanistan,large_city,11_20,2020,0.1505617700973961
Afghanistan,large_city,11_20,2025,0.1511477969396556
Afghanistan,large_city,11_20,2030,0.15335252420321846
Afghanistan,large_city,11_20,2035,0.1558478520954923
Afghanistan,large_city,11_20,2040,0.15847187769685817
Afghanistan,large_city,11_20,2045,0.16108379040451884
Afghanistan,large_city,11_20,2050,0.16358870026240482
Afghanistan,large_city,11_20,2055,0.16593251334758402
Afghanistan,large_city,11_20,2060,0.16808574730990036
Afghanistan,large_city,11_20,2065,0.17003660210421798
Afghanistan,large_city,11_20,2070,0.17179206311267387
Afghanistan,large_city,11_20,2075,0.1733556980253254
Afghanistan,large_city,11_20,2080,0.17474417522272798
Afghanistan,large_city,11_20,2085,0.17596978809684788
Afghanistan,large_city,11_20,2090,0.1770324016778245
Afghanistan,large_city,11_20,2095,0.17794661487732275
Afghanistan,large_city,11_20,2100,0.17873417584230827
Afghanistan,large_city,21_30,2011,0.157092054088329
Afghanistan,large_city,21_30,2012,0.15815261782340662
Afghanistan,large_city,21_30,2013,0.15841851967097959
Afghanistan,large_city,21_30,2014,0.15828754457590424
Afghanistan,large_city,21_30,2015,0.15806658933104373
Afghanistan,large_city,21_30,2016,0.15801753160646587
Afghanistan,large_city,21_30,2017,0.15798638395015918
Afghanistan,large_city,21_30,2018,0.15775633627079436
Afghanistan,large_city,21_30,2019,0.15788148668428206
Afghanistan,large_city,21_30,2020,0.15714286498953003
Afghanistan,large_city,21_30,2025,0.15775450722044865
Afghanistan,large_city,21_30,2030,0.1600556036972812
Afghanistan,large_city,21_30,2035,0.16266000303335792
Afghanistan,large_city,21_30,2040,0.1653987254895151
Afghanistan,large_city,21_30,2045,0.16812480559417148
Afghanistan,large_city,21_30,2050,0.1707392057261179
Afghanistan,large_city,21_30,2055,0.173185467502708
Afghanistan,large_city,21_30,2060,0.17543281989244322
Afghanistan,large_city,21_30,2065,0.17746894706708602
Afghanistan,large_city,21_30,2070,0.17930113974167877
Afghanistan,large_city,21_30,2075,0.18093312155095725
Afghanistan,large_city,21_30,2080,0.18238228945481047
Afghanistan,large_city,21_30,2085,0.18366147419262716
Afghanistan,large_city,21_30,2090,0.1847705348949783
Afghanistan,large_city,21_30,2095,0.18572470859582854
Afghanistan,large_city,21_30,2100,0.18654669405941396
Afghanistan,large_city,31_50,2011,0.147596045325267
Afghanistan,large_city,31_50,2012,0.14859249937268074
Afghanistan,large_city,31_50,2013,0.14884232780209564
Afghanistan,large_city,31_50,2014,0.14871926997984353
Afghanistan,large_city,31_50,2015,0.1485116711899203
Afghanistan,large_city,31_50,2016,0.14846557894049137
Afghanistan,large_city,31_50,2017,0.14843631411918198
Afghanistan,large_city,31_50,2018,0.14822017252050246
Afghanistan,large_city,31_50,2019,0.14833775775553426
Afghanistan,large_city,31_50,2020,0.1476437847740902
Afghanistan,large_city,31_50,2025,0.14821845403385273
Afghanistan,large_city,31_50,2030,0.15038045224479613
Afghanistan,large_city,31_50,2035,0.15282741905469308
Afghanistan,large_city,31_50,2040,0.15540058932812403
Afghanistan,large_city,31_50,2045,0.15796188146363163
Afghanistan,large_city,31_50,2050,0.16041824453439638
Afghanistan,large_city,31_50,2055,0.16271663299300068
Afghanistan,large_city,31_50,2060,0.16482813587646736
Afghanistan,large_city,31_50,2065,0.16674118183223294
Afghanistan,large_city,31_50,2070,0.16846262086117175
Afghanistan,large_city,31_50,2075,0.16999595150918045
Afghanistan,large_city,31_50,2080,0.17135751911272565
Afghanistan,large_city,31_50,2085,0.1725593788098178
Afghanistan,large_city,31_50,2090,0.1736013982464002
Afghanistan,large_city,31_50,2095,0.1744978933977061
Afghanistan,large_city,31_50,2100,0.17527019091742563
Afghanistan,large_city,51+,2011,0.0999074306415119
Afghanistan,large_city,51+,2012,0.10058192814183484
Afghanistan,large_city,51+,2013,0.10075103644300268
Afghanistan,large_city,51+,2014,0.10066773888029051
Afghanistan,large_city,51+,2015,0.10052721572697833
Afghanistan,large_city,51+,2016,0.10049601598715611
Afghanistan,large_city,51+,2017,0.10047620669552666
Afghanistan,large_city,51+,2018,0.1003299009342088
Afghanistan,large_city,51+,2019,0.10040949411495775
Afghanistan,large_city,51+,2020,0.09993974536689401
Afghanistan,large_city,51+,2025,0.10032873769446625
Afghanistan,large_city,51+,2030,0.10179218941385945
Afghanistan,large_city,51+,2035,0.10344853573603295
Afghanistan,large_city,51+,2040,0.10519030889841725
Afghanistan,large_city,51+,2045,0.10692404177599503
Afghanistan,large_city,51+,2050,0.1085867484059862
Afghanistan,large_city,51+,2055,0.1101425223768214
Afghanistan,large_city,51+,2060,0.11157179392277916
Afghanistan,large_city,51+,2065,0.11286673042137217
Afghanistan,large_city,51+,2070,0.11403196862276356
Afghanistan,large_city,51+,2075,0.1150698766847908
Afghanistan,large_city,51+,2080,0.11599151872889261
Afghanistan,large_city,51+,2085,0.11680505485083575
Afghanistan,large_city,51+,2090,0.11751039546045737
Afghanistan,large_city,51+,2095,0.11811723100914814
Afghanistan,large_city,51+,2100,0.11863999746075565
Afghanistan,city,No_travel,2011,0.0
Afghanistan,city,No_travel,2012,0.0
Afghanistan,city,No_travel,2013,0.0
Afghanistan,city,No_travel,2014,0.0
Afghanistan,city,No_travel,2015,0.0
Afghanistan,city,No_travel,2016,0.0
Afghanistan,city,No_travel,2017,0.0
Afghanistan,city,No_travel,2018,0.0
Afghanistan,city,No_travel,2019,0.0
Afghanistan,city,No_travel,2020,0.0
Afghanistan,city,No_travel,2025,0.0
Afghanistan,city,No_travel,2030,0.0
Afghanistan,city,No_travel,2035,0.0
Afghanistan,city,No_travel,2040,0.0
Afghanistan,city,No_travel,2045,0.0
Afghanistan,city,No_travel,2050,0.0
Afghanistan,city,No_travel,2055,0.0
Afghanistan,city,No_travel,2060,0.0
Afghanistan,city,No_travel,2065,0.0
Afghanistan,city,No_travel,2070,0.0
Afghanistan,city,No_travel,2075,0.0
Afghanistan,city,No_travel,2080,0.0
Afghanistan,city,No_travel,2085,0.0
Afghanistan,city,No_travel,2090,0.0
Afghanistan,city,No_travel,2095,0.0
Afghanistan,city,No_travel,2100,0.0
Afghanistan,city,00_01,2011,0.0203337654203297
