n,y,value
Afghanistan,2011,1.0
Afghanistan,2012,0.9880061904884949
Afghanistan,2013,0.9849833456600234
Afghanistan,2014,0.9864731119349541
Afghanistan,2015,0.9889828103915843
Afghanistan,2016,0.9895394284118554
Afghanistan,2017,0.9898927229757895
Afghanistan,2018,0.9924993623709333
Afghanistan,2019,0.9910818870055766
Afghanistan,2020,0.9994276366932405
Afghanistan,2025,0.9925200681622933
Afghanistan,2030,0.9662264869523297
Afghanistan,2035,0.9358293144796124
Afghanistan,2040,0.9030325610045186
Afghanistan,2045,0.8694051321017668
Afghanistan,2050,0.8360725648969922
Afghanistan,2055,0.8037420347420601
Afghanistan,2060,0.7728740774197868
Afghanistan,2065,0.7437440207652173
Afghanistan,2070,0.7163856107038764
Afghanistan,2075,0.6909046129035847
Afghanistan,2080,0.6672060857514108
Afghanistan,2085,0.645262623004059
Afghanistan,2090,0.6252856382693784
Afghanistan,2095,0.6072336933647838
Afghanistan,2100,0.5909010323118639
Bangladesh,2011,1.0
Bangladesh,2012,0.991333350448182
Bangladesh,2013,0.9835519741371684
Bangladesh,2014,0.9756845621928079
Bangladesh,2015,0.9669761437293334
Bangladesh,2016,0.9574829518374152
Bangladesh,2017,0.9488886657150067
Bangladesh,2018,0.9390494680847922
Bangladesh,2019,0.9283228566934316
Bangladesh,2020,0.924608333125174
Bangladesh,2025,0.8699440948570131
Bangladesh,2030,0.8328202769048487
Bangladesh,2035,0.7988247155682794
Bangladesh,2040,0.7675049476701844
Bangladesh,2045,0.7389733300810507
Bangladesh,2050,0.7131422998675393
Bangladesh,2055,0.6897830312364026
Bangladesh,2060,0.6685435076807794
Bangladesh,2065,0.6491273560303357
Bangladesh,2070,0.6313170232197939
Bangladesh,2075,0.6149591491222515
Bangladesh,2080,0.6003667590953309
Bangladesh,2085,0.5873253394148736
Bangladesh,2090,0.5758672066538543
Bangladesh,2095,0.5654669332280896
Bangladesh,2100,0.5558361320267624
Bhutan,2011,1.0
Bhutan,2012,0.9954374073309334
Bhutan,2013,0.9945255460165976
Bhutan,2014,0.9891283807238055
Bhutan,2015,0.980983021041997
Bhutan,2016,0.9728009182725572
Bhutan,2017,0.968732342247843
Bhutan,2018,0.9649361488660632
Bhutan,2019,0.959532464487456
Bhutan,2020,0.9728345682701495
Bhutan,2025,0.9538762543173696
Bhutan,2030,0.9270143313358068
Bhutan,2035,0.9031032726583235
Bhutan,2040,0.880615297535031
Bhutan,2045,0.8593766043390383
Bhutan,2050,0.8394048251482013
Bhutan,2055,0.8207952686893437
Bhutan,2060,0.8035601803045638
Bhutan,2065,0.7876544112002662
Bhutan,2070,0.7730286401396798
Bhutan,2075,0.7596773898122073
Bhutan,2080,0.747777683296425
Bhutan,2085,0.7368644311945247
Bhutan,2090,0.7273295453718145
Bhutan,2095,0.7189435930724242
Bhutan,2100,0.7114709129907593
India,2011,1.0
India,2012,0.9933628673178435
India,2013,0.9852298118840136
India,2014,0.9754504884779576
India,2015,0.9647339374086604
India,2016,0.9536743823662566
India,2017,0.9448367385623496
India,2018,0.9364459163258773
India,2019,0.9319578100610053
India,2020,0.9432481260633587
India,2025,0.9004619319510486
India,2030,0.8653900847755213
India,2035,0.8387225296678852
India,2040,0.812921454930722
India,2045,0.7880516874798378
India,2050,0.7641240824449911
India,2055,0.7410031447307986
India,2060,0.7188805420775293
India,2065,0.6981802173611784
India,2070,0.6787513698765463
India,2075,0.6604602341148166
India,2080,0.6435305520220866
India,2085,0.6278358359943886
India,2090,0.6133996572845487
India,2095,0.5998440460037698
India,2100,0.5869519909676232
Maldives,2011,1.0
Maldives,2012,1.0032711504696452
Maldives,2013,0.9979778210859223
Maldives,2014,0.9953964011891866
Maldives,2015,0.9975234649621059
Maldives,2016,0.9929390743731616
Maldives,2017,0.9898680854569875
Maldives,2018,0.9855905882625311
Maldives,2019,0.979917141292852
Maldives,2020,1.0302971077146474
Maldives,2025,0.9641054276660413
Maldives,2030,0.9388776290131883
Maldives,2035,0.9179255320615375
Maldives,2040,0.9010735547888913
Maldives,2045,0.8879323565923642
Maldives,2050,0.8774199806379229
Maldives,2055,0.8683951404180513
Maldives,2060,0.8602803663273618
Maldives,2065,0.8530490004731612
Maldives,2070,0.8470907846674216
Maldives,2075,0.8421880051910883
Maldives,2080,0.8377462805013923
Maldives,2085,0.8324220907614485
Maldives,2090,0.8264405851906859
Maldives,2095,0.8211396963696729
Maldives,2100,0.8171475272284329
Nepal,2011,1.0
Nepal,2012,0.9936987545874287
Nepal,2013,0.9889443327865224
Nepal,2014,0.9809200000396553
Nepal,2015,0.9760734649100664
Nepal,2016,0.9767511142846175
Nepal,2017,0.9659970094173728
Nepal,2018,0.9571003992159466
Nepal,2019,0.9494471781826818
Nepal,2020,0.9554576273169358
Nepal,2025,0.9325850843639757
Nepal,2030,0.9043341672540031
Nepal,2035,0.873947160075868
Nepal,2040,0.8421865502852721
Nepal,2045,0.8107643359216387
Nepal,2050,0.7806175803440235
Nepal,2055,0.752098520669063
Nepal,2060,0.7251826517703615
Nepal,2065,0.6999348891423969
Nepal,2070,0.6764158505733359
Nepal,2075,0.6547203332693458
Nepal,2080,0.6351441206516711
Nepal,2085,0.6174379329079094
Nepal,2090,0.6014832019608111
Nepal,2095,0.5868210738570344
Nepal,2100,0.5734746225640713
Pakistan,2011,1.0
Pakistan,2012,0.9972308961184695
Pakistan,2013,0.9925829810969967
Pakistan,2014,0.987283151712737
Pakistan,2015,0.9817229267775768
Pakistan,2016,0.9747562734339482
Pakistan,2017,0.9697566978283573
Pakistan,2018,0.9624058431130652
Pakistan,2019,0.9609833312050664
Pakistan,2020,0.9659813146197276
Pakistan,2025,0.9416291560389574
Pakistan,2030,0.9174108652924388
Pakistan,2035,0.8933665469628674
Pakistan,2040,0.868129697501584
Pakistan,2045,0.8421141507790667
Pakistan,2050,0.8161764866766854
Pakistan,2055,0.7908018602707503
Pakistan,2060,0.766463480726205
Pakistan,2065,0.7429747925022884
Pakistan,2070,0.7205400449995927
Pakistan,2075,0.6991776404651514
Pakistan,2080,0.6792199850327384
Pakistan,2085,0.6607993151895004
Pakistan,2090,0.6439971695098783
Pakistan,2095,0.6286591314191816
Pakistan,2100,0.6145748939386094
Sri Lanka,2011,1.0
Sri Lanka,2012,0.988600194403871
Sri Lanka,2013,0.983386753251393
Sri Lanka,2014,0.9748547104391827
Sri Lanka,2015,0.9693736408812282
Sri Lanka,2016,0.962622244485894
Sri Lanka,2017,0.9538394810976775
Sri Lanka,2018,0.9509258256379716
Sri Lanka,2019,0.9517354031212343
Sri Lanka,2020,0.9592696558164661
Sri Lanka,2025,0.9666430591734831
Sri Lanka,2030,0.9494443591228129
Sri Lanka,2035,0.9309673161957746
Sri Lanka,2040,0.9119041178278499
Sri Lanka,2045,0.8924029796947309
Sri Lanka,2050,0.8726792309398896
Sri Lanka,2055,0.8530902848219438
Sri Lanka,2060,0.8342239174659378
Sri Lanka,2065,0.8164355345458647
Sri Lanka,2070,0.799826167635831
Sri Lanka,2075,0.7838096687403694
Sri Lanka,2080,0.7688277795831444
Sri Lanka,2085,0.7548253117876134
Sri Lanka,2090,0.7420681481295041
Sri Lanka,2095,0.7304866271674412
Sri Lanka,2100,0.7196345307357715
