n,area_type,trip_dist,y,value
Afghanistan,large_city,No_travel,2011,0.0
Afghanistan,large_city,No_travel,2012,0.0
Afghanistan,large_city,No_travel,2013,0.0
Afghanistan,large_city,No_travel,2014,0.0
Afghanistan,large_city,No_travel,2015,0.0
Afghanistan,large_city,No_travel,2016,0.0
Afghanistan,large_city,No_travel,2017,0.0
Afghanistan,large_city,No_travel,2018,0.0
Afghanistan,large_city,No_travel,2019,0.0
Afghanistan,large_city,No_travel,2020,0.0
Afghanistan,large_city,No_travel,2025,0.0
Afghanistan,large_city,No_travel,2030,0.0
Afghanistan,large_city,No_travel,2035,0.0
Afghanistan,large_city,No_travel,2040,0.0
Afghanistan,large_city,No_travel,2045,0.0
Afghanistan,large_city,No_travel,2050,0.0
Afghanistan,large_city,No_travel,2055,0.0
Afghanistan,large_city,No_travel,2060,0.0
Afghanistan,large_city,No_travel,2065,0.0
Afghanistan,large_city,No_travel,2070,0.0
Afghanistan,large_city,No_travel,2075,0.0
Afghanistan,large_city,No_travel,2080,0.0
Afghanistan,large_city,No_travel,2085,0.0
Afghanistan,large_city,No_travel,2090,0.0
Afghanistan,large_city,No_travel,2095,0.0
Afghanistan,large_city,No_travel,2100,0.0
Afghanistan,large_city,00_01,2011,0.798031141556873
Afghanistan,large_city,00_01,2012,0.7884597080607909
Afghanistan,large_city,00_01,2013,0.7860473837515766
Afghanistan,large_city,00_01,2014,0.7872362636326125
Afghanistan,large_city,00_01,2015,0.7892390811569205
Afghanistan,large_city,00_01,2016,0.7896832796710486
Afghanistan,large_city,00_01,2017,0.7899652197352107
Afghanistan,large_city,00_01,2018,0.7920453991473445
Afghanistan,large_city,00_01,2019,0.7909142096634002
Afghanistan,large_city,00_01,2020,0.7975743778137945
Afghanistan,large_city,00_01,2025,0.7920619230136604
Afghanistan,large_city,00_01,2030,0.7710788263850548
Afghanistan,large_city,00_01,2035,0.746820936136551
Afghanistan,large_city,00_01,2040,0.7206481055214625
Afghanistan,large_city,00_01,2045,0.693812370046577
Afghanistan,large_city,00_01,2050,0.6672119433891295
Afghanistan,large_city,00_01,2055,0.6414111735024501
Afghanistan,large_city,00_01,2060,0.6167775822830275
Afghanistan,large_city,00_01,2065,0.593530889917365
Afghanistan,large_city,00_01,2070,0.5716980267049322
Afghanistan,large_city,00_01,2075,0.5513633969423573
Afghanistan,large_city,00_01,2080,0.5324512342658914
Afghanistan,large_city,00_01,2085,0.5149396676399114
Afghanistan,large_city,00_01,2090,0.49899741170723005
Afghanistan,large_city,00_01,2095,0.48459139750769464
Afghanistan,large_city,00_01,2100,0.47155742536297146
Afghanistan,large_city,02_05,2011,0.44170968683356
Afghanistan,large_city,02_05,2012,0.4364119049902917
Afghanistan,large_city,02_05,2013,0.4350766851477611
Afghanistan,large_city,02_05,2014,0.43573472934251595
Afghanistan,large_city,02_05,2015,0.43684328746184076
Afghanistan,large_city,02_05,2016,0.43708915103326057
Afghanistan,large_city,02_05,2017,0.43724520466445593
Afghanistan,large_city,02_05,2018,0.4383965825353729
Afghanistan,large_city,02_05,2019,0.43777046993564694
Afghanistan,large_city,02_05,2020,0.4414568684165762
Afghanistan,large_city,02_05,2025,0.4384057284839902
Afghanistan,large_city,02_05,2030,0.4267915989620044
Afghanistan,large_city,02_05,2035,0.4133648734284547
Afghanistan,large_city,02_05,2040,0.3988782297218135
Afghanistan,large_city,02_05,2045,0.3840246686321613
Afghanistan,large_city,02_05,2050,0.3693013508107817
Afghanistan,large_city,02_05,2055,0.35502064246088366
Afghanistan,large_city,02_05,2060,0.3413859666988706
Afghanistan,large_city,02_05,2065,0.32851893849653685
Afghanistan,large_city,02_05,2070,0.31643446375607787
Afghanistan,large_city,02_05,2075,0.3051792601975044
Afghanistan,large_city,02_05,2080,0.29471139119070106
Afghanistan,large_city,02_05,2085,0.2850187511325244
Afghanistan,large_city,02_05,2090,0.2761947234614898
Afghanistan,large_city,02_05,2095,0.26822100453094466
Afghanistan,large_city,02_05,2100,0.2610067099321007
Afghanistan,large_city,06_10,2011,0.287162738207747
Afghanistan,large_city,06_10,2012,0.2837185630268811
Afghanistan,large_city,06_10,2013,0.2828505146287601
Afghanistan,large_city,06_10,2014,0.2832783199915587
Afghanistan,large_city,06_10,2015,0.2839990118724404
Afghanistan,large_city,06_10,2016,0.28415885182727724
Afghanistan,large_city,06_10,2017,0.2842603048616505
Afghanistan,large_city,06_10,2018,0.2850088345678802
Afghanistan,large_city,06_10,2019,0.28460178846062234
Afghanistan,large_city,06_10,2020,0.28699837679332835
Afghanistan,large_city,06_10,2025,0.28501478049962387
Afghanistan,large_city,06_10,2030,0.27746424372208295
Afghanistan,large_city,06_10,2035,0.26873530844104426
Afghanistan,large_city,06_10,2040,0.2593173029088119
Afghanistan,large_city,06_10,2045,0.24966075834621138
Afghanistan,large_city,06_10,2050,0.24008888707619455
Afghanistan,large_city,06_10,2055,0.2308047635091961
Afghanistan,large_city,06_10,2060,0.22194063636165223
Afghanistan,large_city,06_10,2065,0.21357556952857926
Afghanistan,large_city,06_10,2070,0.20571925358235424
Afghanistan,large_city,06_10,2075,0.1984020604817569
Afghanistan,large_city,06_10,2080,0.191596726533248
Afghanistan,large_city,06_10,2085,0.18529538168495877
Afghanistan,large_city,06_10,2090,0.17955873604741351
Afghanistan,large_city,06_10,2095,0.17437489011863475
Afghanistan,large_city,06_10,2100,0.16968475844845923
Afghanistan,large_city,11_20,2011,0.0531984546790542
Afghanistan,large_city,11_20,2012,0.05256040254732719
Afghanistan,large_city,11_20,2013,0.052399591873717934
Afghanistan,large_city,11_20,2014,0.05247884513737722
Afghanistan,large_city,11_20,2015,0.05261235721698035
Afghanistan,large_city,11_20,2016,0.05264196843550529
Afghanistan,large_city,11_20,2017,0.05266076316035309
Afghanistan,large_city,11_20,2018,0.05279943234808029
Afghanistan,large_city,11_20,2019,0.05272402484909768
Afghanistan,large_city,11_20,2020,0.053168005835619606
Afghanistan,large_city,11_20,2025,0.05280053386418355
Afghanistan,large_city,11_20,2030,0.05140175597583527
Afghanistan,large_city,11_20,2035,0.04978467337367402
Afghanistan,large_city,11_20,2040,0.04803993677030913
Afghanistan,large_city,11_20,2045,0.04625100951785297
Afghanistan,large_city,11_20,2050,0.04447776845207324
Afghanistan,large_city,11_20,2055,0.04275783420887629
Afghanistan,large_city,11_20,2060,0.04111570658023235
Afghanistan,large_city,11_20,2065,0.03956603258149596
Afghanistan,large_city,11_20,2070,0.03811060744375674
Afghanistan,large_city,11_20,2075,0.03675505773710084
Afghanistan,large_city,11_20,2080,0.03549433271443558
Afghanistan,large_city,11_20,2085,0.03432697440596907
Afghanistan,large_city,11_20,2090,0.03326422968893701
Afghanistan,large_city,11_20,2095,0.032303894116061146
Afghanistan,large_city,11_20,2100,0.03143502178724903
Afghanistan,large_city,21_30,2011,0.126017818840264
Afghanistan,large_city,21_30,2012,0.12450638512603852
Afghanistan,large_city,21_30,2013,0.12412545281406197
Afghanistan,large_city,21_30,2014,0.12431318991061052
Afghanistan,large_city,21_30,2015,0.12462945663606183
Afghanistan,large_city,21_30,2016,0.12469960042490358
Afghanistan,large_city,21_30,2017,0.12474412183525867
Afghanistan,large_city,21_30,2018,0.1250726048463378
Afghanistan,large_city,21_30,2019,0.12489397769253575
Afghanistan,large_city,21_30,2020,0.12594569086476198
Afghanistan,large_city,21_30,2025,0.12507521414500236
Afghanistan,large_city,21_30,2030,0.1217617543914234
Afghanistan,large_city,21_30,2035,0.11793116901750024
Afghanistan,large_city,21_30,2040,0.11379819367952707
Afghanistan,large_city,21_30,2045,0.10956053843599625
Afghanistan,large_city,21_30,2050,0.10536004102050403
Afghanistan,large_city,21_30,2055,0.1012858181284301
Afghanistan,large_city,21_30,2060,0.09739590547462286
Afghanistan,large_city,21_30,2065,0.0937249992723207
Afghanistan,large_city,21_30,2070,0.090277352109453
Afghanistan,large_city,21_30,2075,0.08706629234478666
Afghanistan,large_city,21_30,2080,0.08407985564334294
Afghanistan,large_city,21_30,2085,0.08131458833011908
Afghanistan,large_city,21_30,2090,0.07879713228684938
Afghanistan,large_city,21_30,2095,0.07652226556414775
Afghanistan,large_city,21_30,2100,0.07446405924240145
Afghanistan,large_city,31_50,2011,0.0
Afghanistan,large_city,31_50,2012,0.0
Afghanistan,large_city,31_50,2013,0.0
Afghanistan,large_city,31_50,2014,0.0
Afghanistan,large_city,31_50,2015,0.0
Afghanistan,large_city,31_50,2016,0.0
Afghanistan,large_city,31_50,2017,0.0
Afghanistan,large_city,31_50,2018,0.0
Afghanistan,large_city,31_50,2019,0.0
Afghanistan,large_city,31_50,2020,0.0
Afghanistan,large_city,31_50,2025,0.0
Afghanistan,large_city,31_50,2030,0.0
Afghanistan,large_city,31_50,2035,0.0
Afghanistan,large_city,31_50,2040,0.0
Afghanistan,large_city,31_50,2045,0.0
Afghanistan,large_city,31_50,2050,0.0
Afghanistan,large_city,31_50,2055,0.0
Afghanistan,large_city,31_50,2060,0.0
Afghanistan,large_city,31_50,2065,0.0
Afghanistan,large_city,31_50,2070,0.0
Afghanistan,large_city,31_50,2075,0.0
Afghanistan,large_city,31_50,2080,0.0
Afghanistan,large_city,31_50,2085,0.0
Afghanistan,large_city,31_50,2090,0.0
Afghanistan,large_city,31_50,2095,0.0
Afghanistan,large_city,31_50,2100,0.0
Afghanistan,large_city,51+,2011,0.0
Afghanistan,large_city,51+,2012,0.0
Afghanistan,large_city,51+,2013,0.0
Afghanistan,large_city,51+,2014,0.0
Afghanistan,large_city,51+,2015,0.0
Afghanistan,large_city,51+,2016,0.0
Afghanistan,large_city,51+,2017,0.0
Afghanistan,large_city,51+,2018,0.0
Afghanistan,large_city,51+,2019,0.0
Afghanistan,large_city,51+,2020,0.0
Afghanistan,large_city,51+,2025,0.0
Afghanistan,large_city,51+,2030,0.0
Afghanistan,large_city,51+,2035,0.0
Afghanistan,large_city,51+,2040,0.0
Afghanistan,large_city,51+,2045,0.0
Afghanistan,large_city,51+,2050,0.0
Afghanistan,large_city,51+,2055,0.0
Afghanistan,large_city,51+,2060,0.0
Afghanistan,large_city,51+,2065,0.0
Afghanistan,large_city,51+,2070,0.0
Afghanistan,large_city,51+,2075,0.0
Afghanistan,large_city,51+,2080,0.0
Afghanistan,large_city,51+,2085,0.0
Afghanistan,large_city,51+,2090,0.0
Afghanistan,large_city,51+,2095,0.0
Afghanistan,large_city,51+,2100,0.0
Afghanistan,city,No_travel,2011,0.0
Afghanistan,city,No_travel,2012,0.0
Afghanistan,city,No_travel,2013,0.0
Afghanistan,city,No_travel,2014,0.0
Afghanistan,city,No_travel,2015,0.0
Afghanistan,city,No_travel,2016,0.0
Afghanistan,city,No_travel,2017,0.0
Afghanistan,city,No_travel,2018,0.0
Afghanistan,city,No_travel,2019,0.0
Afghanistan,city,No_travel,2020,0.0
Afghanistan,city,No_travel,2025,0.0
Afghanistan,city,No_travel,2030,0.0
Afghanistan,city,No_travel,2035,0.0
Afghanistan,city,No_travel,2040,0.0
Afghanistan,city,No_travel,2045,0.0
Afghanistan,city,No_travel,2050,0.0
Afghanistan,city,No_travel,2055,0.0
Afghanistan,city,No_travel,2060,0.0
Afghanistan,city,No_travel,2065,0.0
Afghanistan,city,No_travel,2070,0.0
Afghanistan,city,No_travel,2075,0.0
Afghanistan,city,No_travel,2080,0.0
Afghanistan,city,No_travel,2085,0.0
Afghanistan,city,No_travel,2090,0.0
Afghanistan,city,No_travel,2095,0.0
Afghanistan,city,No_travel,2100,0.0
Afghanistan,city,00_01,2011,0.784266131199457
Afghanistan,city,00_01,2012,0.7748597926155256
Afghanistan,city,00_01,2013,0.7724890777966841
Afghanistan,city,00_01,2014,0.7736574510295153
Afghanistan,city,00_01,2015,0.775625722528574
Afghanistan,city,00_01,2016,0.7760622591898878
Afghanistan,city,00_01,2017,0.7763393361507183
Afghanistan,city,00_01,2018,0.7783836351445798
Afghanistan,city,00_01,2019,0.777271957223721
Afghanistan,city,00_01,2020,0.7838172460432242
Afghanistan,city,00_01,2025,0.7783998739954632
Afghanistan,city,00_01,2030,0.7577787087845462
