phen,parameter,trip_dist,area_type,y,value
URB,pdt,na,large_city,2011,0
URB,pdt,na,large_city,2030,0.023
URB,pdt,na,large_city,2050,0.0133
URB,pdt,na,city,2011,0
URB,pdt,na,city,2030,0.0135
URB,pdt,na,city,2050,0.009
URB,pdt,na,town,2011,0
URB,pdt,na,town,2030,0.001
URB,pdt,na,town,2050,0.004
URB,pdt,na,rural,2011,0
URB,pdt,na,rural,2030,0
URB,pdt,na,rural,2050,0
RH,vdt,na,large_city,2011,0
RH,vdt,na,large_city,2030,0.4
RH,vdt,na,large_city,2050,0.835
RH,vdt,na,city,2011,0
RH,vdt,na,city,2030,0.3
RH,vdt,na,city,2050,0.6
RH,vdt,na,town,2011,0
RH,vdt,na,town,2030,0.2
RH,vdt,na,town,2050,0.4
RH,vdt,na,rural,2011,0
RH,vdt,na,rural,2030,0.05
RH,vdt,na,rural,2050,0.1
RH,bus_share,na,large_city,2011,0
RH,bus_share,na,large_city,2030,-0.1
RH,bus_share,na,large_city,2050,-0.2
RH,bus_share,na,city,2011,0
RH,bus_share,na,city,2030,-0.075
RH,bus_share,na,city,2050,-0.1
RH,bus_share,na,town,2011,0
RH,bus_share,na,town,2030,-0.05
RH,bus_share,na,town,2050,-0.075
RH,bus_share,na,rural,2011,0
RH,bus_share,na,rural,2030,-0.01
RH,bus_share,na,rural,2050,-0.05
RH,nmt_share,na,large_city,2011,0
RH,nmt_share,na,large_city,2030,-0.01
RH,nmt_share,na,large_city,2050,-0.05
RH,nmt_share,na,city,2011,0
RH,nmt_share,na,city,2030,-0.01
RH,nmt_share,na,city,2050,-0.05
RH,nmt_share,na,town,2011,0
RH,nmt_share,na,town,2030,-0.01
RH,nmt_share,na,town,2050,-0.05
RH,nmt_share,na,rural,2011,0
RH,nmt_share,na,rural,2030,0
RH,nmt_share,na,rural,2050,0
RH,vo,na,large_city,2011,0
RH,vo,na,large_city,2050,-0.03
RH,vo,na,city,2011,0
RH,vo,na,city,2050,-0.02
RH,vo,na,town,2011,0
RH,vo,na,town,2050,0
RS,vdt,na,large_city,2030,-0.37
RS,vdt,na,city,2030,-0.226
RS,vdt,na,town,2030,-0.0821
RS,vdt,na,rural,2030,0
RS,vdt,na,large_city,2011,0
RS,vdt,na,large_city,2050,0.2
RS,vdt,na,city,2011,0
RS,vdt,na,city,2050,0.15
RS,vdt,na,town,2011,0
RS,vdt,na,town,2050,0.1
RS,vdt,na,rural,2011,0
RS,vdt,na,rural,2050,0
NMT,tw_share,00_01,large_city,2011,0
NMT,tw_share,00_01,city,2011,0
NMT,tw_share,00_01,town,2011,0
NMT,tw_share,00_01,rural,2011,0
NMT,tw_share,00_01,large_city,2050,-0.35
NMT,tw_share,00_01,city,2050,-0.3
NMT,tw_share,00_01,town,2050,-0.25
NMT,tw_share,00_01,rural,2050,-0.2
NMT,bus_share,00_01,large_city,2011,0
NMT,bus_share,00_01,city,2011,0
NMT,bus_share,00_01,town,2011,0
NMT,bus_share,00_01,rural,2011,0
NMT,bus_share,00_01,large_city,2050,-0.45
NMT,bus_share,00_01,city,2050,-0.4
NMT,bus_share,00_01,town,2050,-0.35
NMT,bus_share,00_01,rural,2050,-0.3
NMT,tw_share,02_05,large_city,2011,0
NMT,tw_share,02_05,city,2011,0
NMT,tw_share,02_05,town,2011,0
NMT,tw_share,02_05,rural,2011,0
NMT,tw_share,02_05,large_city,2050,-0.35
NMT,tw_share,02_05,city,2050,-0.3
NMT,tw_share,02_05,town,2050,-0.25
NMT,tw_share,02_05,rural,2050,-0.2
NMT,bus_share,02_05,large_city,2011,0
NMT,bus_share,02_05,city,2011,0
NMT,bus_share,02_05,town,2011,0
NMT,bus_share,02_05,rural,2011,0
NMT,bus_share,02_05,large_city,2050,-0.45
NMT,bus_share,02_05,city,2050,-0.4
NMT,bus_share,02_05,town,2050,-0.35
NMT,bus_share,02_05,rural,2050,-0.3
NMT,bus_share,06_10,large_city,2011,0
NMT,bus_share,06_10,city,2011,0
NMT,bus_share,06_10,town,2011,0
NMT,bus_share,06_10,rural,2011,0
NMT,bus_share,06_10,large_city,2050,0
NMT,bus_share,06_10,city,2050,0
NMT,bus_share,06_10,town,2050,0
NMT,bus_share,06_10,rural,2050,0
NMT,bus_share,11_20,large_city,2011,0
NMT,bus_share,11_20,city,2011,0
NMT,bus_share,11_20,town,2011,0
NMT,bus_share,11_20,rural,2011,0
NMT,bus_share,11_20,large_city,2050,0
NMT,bus_share,11_20,city,2050,0
NMT,bus_share,11_20,town,2050,0
NMT,bus_share,11_20,rural,2050,0
NMT,bus_share,21_30,large_city,2011,0
NMT,bus_share,21_30,city,2011,0
NMT,bus_share,21_30,town,2011,0
NMT,bus_share,21_30,rural,2011,0
NMT,bus_share,21_30,large_city,2050,0
NMT,bus_share,21_30,city,2050,0
NMT,bus_share,21_30,town,2050,0
NMT,bus_share,21_30,rural,2050,0
NMT,bus_share,31_50,large_city,2011,0
NMT,bus_share,31_50,city,2011,0
NMT,bus_share,31_50,town,2011,0
NMT,bus_share,31_50,rural,2011,0
NMT,bus_share,31_50,large_city,2050,0
NMT,bus_share,31_50,city,2050,0
NMT,bus_share,31_50,town,2050,0
NMT,bus_share,31_50,rural,2050,0
NMT,bus_share,51+,large_city,2011,0
NMT,bus_share,51+,city,2011,0
NMT,bus_share,51+,town,2011,0
NMT,bus_share,51+,rural,2011,0
NMT,bus_share,51+,large_city,2050,0
NMT,bus_share,51+,city,2050,0
NMT,bus_share,51+,town,2050,0
NMT,bus_share,51+,rural,2050,0
NMT,tw_share,06_10,large_city,2011,0
NMT,tw_share,06_10,city,2011,0
NMT,tw_share,06_10,town,2011,0
NMT,tw_share,06_10,rural,2011,0
NMT,tw_share,06_10,large_city,2050,0
NMT,tw_share,06_10,city,2050,0
NMT,tw_share,06_10,town,2050,0
NMT,tw_share,06_10,rural,2050,0
NMT,tw_share,11_20,large_city,2011,0
NMT,tw_share,11_20,city,2011,0
NMT,tw_share,11_20,town,2011,0
NMT,tw_share,11_20,rural,2011,0
NMT,tw_share,11_20,large_city,2050,0
NMT,tw_share,11_20,city,2050,0
NMT,tw_share,11_20,town,2050,0
NMT,tw_share,11_20,rural,2050,0
NMT,tw_share,21_30,large_city,2011,0
NMT,tw_share,21_30,city,2011,0
NMT,tw_share,21_30,town,2011,0
NMT,tw_share,21_30,rural,2011,0
NMT,tw_share,21_30,large_city,2050,0
NMT,tw_share,21_30,city,2050,0
NMT,tw_share,21_30,town,2050,0
NMT,tw_share,21_30,rural,2050,0
NMT,tw_share,31_50,large_city,2011,0
NMT,tw_share,31_50,city,2011,0
NMT,tw_share,31_50,town,2011,0
NMT,tw_share,31_50,rural,2011,0
NMT,tw_share,31_50,large_city,2050,0
NMT,tw_share,31_50,city,2050,0
NMT,tw_share,31_50,town,2050,0
NMT,tw_share,31_50,rural,2050,0
NMT,tw_share,51+,large_city,2011,0
NMT,tw_share,51+,city,2011,0
NMT,tw_share,51+,town,2011,0
NMT,tw_share,51+,rural,2011,0
NMT,tw_share,51+,large_city,2050,0
NMT,tw_share,51+,city,2050,0
NMT,tw_share,51+,town,2050,0
NMT,tw_share,51+,rural,2050,0
NMT,tw_share,No_travel,large_city,2011,0
NMT,tw_share,No_travel,city,2011,0
NMT,tw_share,No_travel,town,2011,0
NMT,tw_share,No_travel,rural,2011,0
NMT,tw_share,No_travel,large_city,2050,0
NMT,tw_share,No_travel,city,2050,0
NMT,tw_share,No_travel,town,2050,0
NMT,tw_share,No_travel,rural,2050,0
NMT,bus_share,No_travel,large_city,2011,0
NMT,bus_share,No_travel,city,2011,0
NMT,bus_share,No_travel,town,2011,0
NMT,bus_share,No_travel,rural,2011,0
NMT,bus_share,No_travel,large_city,2050,0
NMT,bus_share,No_travel,city,2050,0
NMT,bus_share,No_travel,town,2050,0
NMT,bus_share,No_travel,rural,2050,0
ELIFE,trip_rate,na,large_city,2011,0
ELIFE,trip_rate,na,city,2011,0
ELIFE,trip_rate,na,town,2011,0
ELIFE,trip_rate,na,rural,2011,0
ELIFE,trip_rate,na,large_city,2050,-0.05
ELIFE,trip_rate,na,city,2050,-0.05
ELIFE,trip_rate,na,town,2050,-0.05
ELIFE,trip_rate,na,rural,2050,-0.05
ELIFE,trip_rate,na,large_city,2030,-0.19
ELIFE,trip_rate,na,city,2030,-0.15
ELIFE,trip_rate,na,town,2030,-0.1
ELIFE,trip_rate,na,rural,2030,-0.05
HSL,ldv_own,na,large_city,2011,0
