n,y,value
Afghanistan,2011,1.0
Afghanistan,2012,0.9911059480445693
Afghanistan,2013,0.9888551845686226
Afghanistan,2014,0.9899649020951083
Afghanistan,2015,0.9918323362539521
Afghanistan,2016,0.9922461641960637
Afghanistan,2017,0.9925087626945588
Afghanistan,2018,0.9944446810904053
Afghanistan,2019,0.9933922801419398
Afghanistan,2020,0.9995768826265639
Afghanistan,2025,0.9944600480404254
Afghanistan,2030,0.9748068215963938
Afghanistan,2035,0.9517399449912423
Afghanistan,2040,0.9264368725398102
Afghanistan,2045,0.9000461165301953
Afghanistan,2050,0.8734401473604626
Afghanistan,2055,0.8472081136192564
Afghanistan,2060,0.8217695697027018
Afghanistan,2065,0.7974086304549254
Afghanistan,2070,0.7742131026912852
Afghanistan,2075,0.7523311658940469
Afghanistan,2080,0.7317365356260636
Afghanistan,2085,0.7124554816120978
Afghanistan,2090,0.6947231875746491
Afghanistan,2095,0.6785509488301842
Afghanistan,2100,0.663795820600107
Bangladesh,2011,1.0
Bangladesh,2012,1.0062000764706658
Bangladesh,2013,1.0117832817707426
Bangladesh,2014,1.0174441410698243
Bangladesh,2015,1.0237289215971939
Bangladesh,2016,1.0306027161943168
Bangladesh,2017,1.0368461628530932
Bangladesh,2018,1.0440181344600616
Bangladesh,2019,1.0518665677992693
Bangladesh,2020,1.0545916570056464
Bangladesh,2025,1.0951356964307102
Bangladesh,2030,1.1231555885949105
Bangladesh,2035,1.1491742969251109
Bangladesh,2040,1.173461744578939
Bangladesh,2045,1.1958617916466412
Bangladesh,2050,1.2163761589498918
Bangladesh,2055,1.2351264890803932
Bangladesh,2060,1.252345115392013
Bangladesh,2065,1.2682318092445264
Bangladesh,2070,1.2829313735800878
Bangladesh,2075,1.2965423237668858
Bangladesh,2080,1.308775855899103
Bangladesh,2085,1.3197841989163643
Bangladesh,2090,1.3295160049079213
Bangladesh,2095,1.3383989685505855
Bangladesh,2100,1.3466677297102163
Bhutan,2011,1.0
Bhutan,2012,0.9966234411928703
Bhutan,2013,0.9959476071654921
Bhutan,2014,0.9919405752780376
Bhutan,2015,0.9858709404681262
Bhutan,2016,0.9797470084889661
Bhutan,2017,0.976691832429562
Bhutan,2018,0.9738351896597102
Bhutan,2019,0.9697589152480312
Bhutan,2020,0.9797722491812959
Bhutan,2025,0.9654795829343384
Bhutan,2030,0.9449813980834517
Bhutan,2035,0.926491890407244
Bhutan,2040,0.9088940956364919
Bhutan,2045,0.8920881696662064
Bhutan,2050,0.8761199778488336
Bhutan,2055,0.861096968971776
Bhutan,2060,0.8470593728240686
Bhutan,2065,0.8339982410289778
Bhutan,2070,0.8218979069633192
Bhutan,2075,0.810776244315253
Bhutan,2080,0.8008025512045477
Bhutan,2085,0.7916047830898174
Bhutan,2090,0.7835287360524531
Bhutan,2095,0.7763949180605433
Bhutan,2100,0.7700135512154983
India,2011,1.0
India,2012,1.004746443757379
India,2013,1.0105780974288459
India,2014,1.017612811020546
India,2015,1.0253503122801535
India,2016,1.033367092053922
India,2017,1.0397965544595777
India,2018,1.0459202489643364
India,2019,1.0492034726745563
India,2020,1.0409544906640802
India,2025,1.0723982089729378
India,2030,1.0985513664988007
India,2035,1.118673721391254
India,2040,1.1383426220290058
India,2045,1.157493545159778
India,2050,1.1761021652852988
India,2055,1.19425932144219
India,2060,1.211799299894978
India,2065,1.2283639360342233
India,2070,1.2440491843049841
India,2075,1.2589417776444884
India,2080,1.2728378172332808
India,2085,1.2858190330048536
India,2090,1.2978455577760664
India,2095,1.3092157054602667
India,2100,1.3201004062256325
Maldives,2011,1.0
Maldives,2012,1.0024156429183337
Maldives,2013,0.9985045193486691
Maldives,2014,0.9965930563438256
Maldives,2015,0.9981682777289342
Maldives,2016,0.9947709792751345
Maldives,2017,0.9924904516339711
Maldives,2018,0.9893076238276519
Maldives,2019,0.9850747054564145
Maldives,2020,1.0222075276101898
Maldives,2025,0.9732092976901612
Maldives,2030,0.9540698778894832
Maldives,2035,0.9379803330239628
Maldives,2040,0.9249118540956256
Maldives,2045,0.9146422035115076
Maldives,2050,0.9063772128068671
Maldives,2055,0.8992464795601414
Maldives,2060,0.8928069831534189
Maldives,2065,0.8870463046870064
Maldives,2070,0.8822841103808677
Maldives,2075,0.8783548207803533
Maldives,2080,0.8747867196109075
Maldives,2085,0.8704992937115835
Maldives,2090,0.8656689785384415
Maldives,2095,0.8613762797140121
Maldives,2100,0.8581359364167886
Nepal,2011,1.0
Nepal,2012,0.9953345330944366
Nepal,2013,0.9918037247480442
Nepal,2014,0.9858238751624454
Nepal,2015,0.9821995958565883
Nepal,2016,0.9827069166256432
Nepal,2017,0.9746340726412016
Nepal,2018,0.967920456312506
Nepal,2019,0.9621197001666614
Nepal,2020,0.9666772998034684
Nepal,2025,0.9492561769494176
Nepal,2030,0.927449279097349
Nepal,2035,0.9036371145732291
Nepal,2040,0.8783536533287984
Nepal,2045,0.8529415413934454
Nepal,2050,0.8281872771806467
Nepal,2055,0.8044307247061439
Nepal,2060,0.7817051618054669
Nepal,2065,0.7601168322085073
Nepal,2070,0.739768100593977
Nepal,2075,0.7207907971752889
Nepal,2080,0.7034954070450717
Nepal,2085,0.6877100955142069
Nepal,2090,0.6733693042888204
Nepal,2095,0.660091500266318
Nepal,2100,0.6479219068807488
Pakistan,2011,1.0
Pakistan,2012,1.0019789111997188
Pakistan,2013,1.0053049087320607
Pakistan,2014,1.0091041808197339
Pakistan,2015,1.013097908959287
Pakistan,2016,1.0181131356890072
Pakistan,2017,1.0217200694030664
Pakistan,2018,1.0270352075792772
Pakistan,2019,1.0280654137928582
Pakistan,2020,1.0244481425081382
Pakistan,2025,1.0421352486910573
Pakistan,2030,1.059882627361099
Pakistan,2035,1.0776612847780846
Pakistan,2040,1.0964958457073861
Pakistan,2045,1.116102968829503
Pakistan,2050,1.1358501579770788
Pakistan,2055,1.1553663372435032
Pakistan,2060,1.1742747264393547
Pakistan,2065,1.1927040873732244
Pakistan,2070,1.2104777841906746
Pakistan,2075,1.227562341871021
Pakistan,2080,1.243669258260273
Pakistan,2085,1.2586645666449015
Pakistan,2090,1.2724533437032268
Pakistan,2095,1.2851356728935917
Pakistan,2100,1.2968633458394325
Sri Lanka,2011,1.0
Sri Lanka,2012,1.0081593613043485
Sri Lanka,2013,1.0119019986577023
Sri Lanka,2014,1.0180421839521405
Sri Lanka,2015,1.021996694336493
Sri Lanka,2016,1.02687853286397
Sri Lanka,2017,1.0332471787385826
Sri Lanka,2018,1.035364465853272
Sri Lanka,2019,1.034775938309566
Sri Lanka,2020,1.0293071932187383
Sri Lanka,2025,1.0239696992615923
Sri Lanka,2030,1.0364418783304195
Sri Lanka,2035,1.0499287892840528
Sri Lanka,2040,1.063940288754386
Sri Lanka,2045,1.0783771053561437
Sri Lanka,2050,1.0930871040109311
Sri Lanka,2055,1.1078065648481563
Sri Lanka,2060,1.1220887979175884
Sri Lanka,2065,1.1356519365058084
Sri Lanka,2070,1.1484027800766718
Sri Lanka,2075,1.1607793261409525
Sri Lanka,2080,1.1724296292913483
Sri Lanka,2085,1.1833835241262571
Sri Lanka,2090,1.1934190869172197
Sri Lanka,2095,1.2025767219376788
Sri Lanka,2100,1.2111987571702472
