area_type,trip_dist,y,ldv_share,bus_share,nmt_share,tw_share,rail_share,ipt_share
large_city,No_travel,2050,0,0,0,0,0,0
large_city,00_01,2050,0.02636574,0.043023888,0.798031142,0.091829963,0.01481855,0
large_city,02_05,2050,0.060754565,0.203359329,0.441709687,0.198099182,0.0281239,0.059914168
large_city,06_10,2050,0.085327383,0.307891972,0.287162738,0.19764991,0.067978285,0.046885419
large_city,11_20,2050,0.150513087,0.353374422,0.053198455,0.195736341,0.196051675,0.040633055
large_city,21_30,2050,0.157092054,0.257270952,0.126017819,0.151410353,0.254788355,0.04122152
large_city,31_50,2050,0.147596045,0.220023475,0,0.123613381,0.434092366,0.060037922
large_city,51+,2050,0.099907431,0.187004865,0,0.082331904,0.533431455,0.068341069
city,No_travel,2050,0,0,0,0,0,0
city,00_01,2050,0.020333765,0.023655805,0.784266131,0.141439188,0.005324813,0.019527567
city,02_05,2050,0.039670367,0.126025174,0.505179898,0.268371801,0.005044843,0.049521741
city,06_10,2050,0.050569824,0.216327659,0.391250172,0.27094292,0.006733218,0.057219877
city,11_20,2050,0.083280816,0.344212629,0.145687549,0.302477571,0.040928335,0.073625586
city,21_30,2050,0.067302577,0.25028457,0.432921809,0.158578846,0.043960437,0.03912201
city,31_50,2050,0.128420945,0.417603041,0,0.235491949,0.131645957,0.067824348
city,51+,2050,0.084293103,0.359447716,0,0.100050612,0.383512943,0.038585219
town,No_travel,2050,0,0,0,0,0,0
town,00_01,2050,0.014297898,0.016016276,0.809373601,0.1362838,0.005440884,0.012996833
town,02_05,2050,0.030543579,0.085237626,0.581333505,0.241285968,0.007360135,0.045431166
town,06_10,2050,0.04197229,0.199058564,0.467167284,0.204847782,0.018566523,0.056932015
town,11_20,2050,0.075732007,0.396436069,0.112734185,0.23627428,0.100641974,0.062154717
town,21_30,2050,0.053649496,0.297307534,0.357090543,0.142215623,0.106979023,0.031802156
town,31_50,2050,0.083765925,0.454090064,0,0.175007802,0.220080594,0.045735587
town,51+,2050,0.068333385,0.438377508,0,0.076261074,0.348270375,0.029958571
rural,No_travel,2050,0,0,0,0,0,0
rural,00_01,2050,0.008005335,0.020920586,0.900728095,0.047884015,0.006554935,0.009372291
rural,02_05,2050,0.018205337,0.081289118,0.722077962,0.123784799,0.007306732,0.035712932
rural,06_10,2050,0.024788503,0.202182507,0.560969409,0.128707725,0.010839135,0.056497229
rural,11_20,2050,0.042383307,0.40442412,0.225558157,0.197309083,0.028747777,0.079092687
rural,21_30,2050,0.036677212,0.376930565,0.3166876,0.153212939,0.0506671,0.046219362
rural,31_50,2050,0.054106656,0.567046199,0,0.152668305,0.14601917,0.046111388
rural,51+,2050,0.035745914,0.501566238,0,0.05125321,0.3418721,0.02285718
