mode,n,area_type,trip_dist,y,value
ldv_share,Afghanistan,city,00_01,2011,3.2258182520199323
ldv_share,Afghanistan,city,02_05,2011,84.98680229457764
ldv_share,Afghanistan,city,06_10,2011,156.01153683511757
ldv_share,Afghanistan,city,11_20,2011,192.09162113362814
ldv_share,Afghanistan,city,21_30,2011,127.72339224971688
ldv_share,Afghanistan,city,No_travel,2011,0.0
ldv_share,Afghanistan,city,00_01,2012,3.533126005722841
ldv_share,Afghanistan,city,02_05,2012,91.0884373876708
ldv_share,Afghanistan,city,06_10,2012,167.40310668664628
ldv_share,Afghanistan,city,11_20,2012,205.97981078984722
ldv_share,Afghanistan,city,21_30,2012,136.599416062852
ldv_share,Afghanistan,city,00_01,2013,3.7776021622827223
ldv_share,Afghanistan,city,02_05,2013,95.36271551239123
ldv_share,Afghanistan,city,06_10,2013,175.45661583911215
ldv_share,Afghanistan,city,11_20,2013,215.74607339915556
ldv_share,Afghanistan,city,21_30,2013,142.70383198594342
ldv_share,Afghanistan,city,00_01,2014,4.01067761281435
ldv_share,Afghanistan,city,02_05,2014,99.19530096486743
ldv_share,Afghanistan,city,06_10,2014,182.71281594016247
ldv_share,Afghanistan,city,11_20,2014,224.5208688970905
ldv_share,Afghanistan,city,21_30,2014,148.12362126312595
ldv_share,Afghanistan,city,00_01,2015,4.222673765903677
ldv_share,Afghanistan,city,02_05,2015,102.37935698674274
ldv_share,Afghanistan,city,06_10,2015,188.7874097041617
ldv_share,Afghanistan,city,11_20,2015,231.83435338118827
ldv_share,Afghanistan,city,21_30,2015,152.55503181564208
ldv_share,Afghanistan,city,00_01,2016,4.436921313174575
ldv_share,Afghanistan,city,02_05,2016,105.50848818463919
ldv_share,Afghanistan,city,06_10,2016,194.77209962033507
ldv_share,Afghanistan,city,11_20,2016,239.0292468136559
ldv_share,Afghanistan,city,21_30,2016,156.887065970863
ldv_share,Afghanistan,city,00_01,2017,4.674128062527362
ldv_share,Afghanistan,city,02_05,2017,109.07013496343215
ldv_share,Afghanistan,city,06_10,2017,201.56724449638904
ldv_share,Afghanistan,city,11_20,2017,247.21011277204744
ldv_share,Afghanistan,city,21_30,2017,161.84371524503348
