mode,n,area_type,trip_dist,y,value
ldv_share,Afghanistan,city,00_01,2011,3.2172389481581773
ldv_share,Afghanistan,city,02_05,2011,84.76077356507079
ldv_share,Afghanistan,city,06_10,2011,155.59661253502418
ldv_share,Afghanistan,city,11_20,2011,191.5807391625281
ldv_share,Afghanistan,city,21_30,2011,127.38370237671232
ldv_share,Afghanistan,city,No_travel,2011,0.0
ldv_share,Afghanistan,city,00_01,2012,3.493267500220274
ldv_share,Afghanistan,city,02_05,2012,90.06083492544413
ldv_share,Afghanistan,city,06_10,2012,165.51457012208272
ldv_share,Afghanistan,city,11_20,2012,203.65607611169284
ldv_share,Afghanistan,city,21_30,2012,135.05838736249686
ldv_share,Afghanistan,city,00_01,2013,3.7260503818892152
ldv_share,Afghanistan,city,02_05,2013,94.06132972409742
ldv_share,Afghanistan,city,06_10,2013,173.0622131096147
ldv_share,Afghanistan,city,11_20,2013,212.80185277484486
ldv_share,Afghanistan,city,21_30,2013,140.75639647213976
ldv_share,Afghanistan,city,00_01,2014,3.9590062587321264
ldv_share,Afghanistan,city,02_05,2014,97.91732352208533
ldv_share,Afghanistan,city,06_10,2014,180.35884498581828
ldv_share,Afghanistan,city,11_20,2014,221.62826609137946
ldv_share,Afghanistan,city,21_30,2014,146.21527837917702
ldv_share,Afghanistan,city,00_01,2015,4.174699853778014
ldv_share,Afghanistan,city,02_05,2015,101.2162223123991
ldv_share,Afghanistan,city,06_10,2015,186.64259078002144
ldv_share,Afghanistan,city,11_20,2015,229.20047695279234
ldv_share,Afghanistan,city,21_30,2015,150.82184992748694
ldv_share,Afghanistan,city,00_01,2016,4.3876503691322055
ldv_share,Afghanistan,city,02_05,2016,104.33684179958738
ldv_share,Afghanistan,city,06_10,2016,192.60920229941254
ldv_share,Afghanistan,city,11_20,2016,236.37488451760262
ldv_share,Afghanistan,city,21_30,2016,155.1448728367479
ldv_share,Afghanistan,city,00_01,2017,4.623065299646771
ldv_share,Afghanistan,city,02_05,2017,107.87859242020531
ldv_share,Afghanistan,city,06_10,2017,199.3652123157289
ldv_share,Afghanistan,city,11_20,2017,244.5094526272468
ldv_share,Afghanistan,city,21_30,2017,160.07564489165065
ldv_share,Afghanistan,city,00_01,2018,4.860482630109083
ldv_share,Afghanistan,city,02_05,2018,111.35075063517007
ldv_share,Afghanistan,city,06_10,2018,206.00516815777826
ldv_share,Afghanistan,city,11_20,2018,252.49267134112543
ldv_share,Afghanistan,city,21_30,2018,164.88380263313496
ldv_share,Afghanistan,city,00_01,2019,5.133993107245875
ldv_share,Afghanistan,city,02_05,2019,115.52535112493375
ldv_share,Afghanistan,city,06_10,2019,213.95836312269506
ldv_share,Afghanistan,city,11_20,2019,262.0756639570911
ldv_share,Afghanistan,city,21_30,2019,170.71102573345897
ldv_share,Afghanistan,city,00_01,2020,5.371455989889149
ldv_share,Afghanistan,city,02_05,2020,118.77182963114159
ldv_share,Afghanistan,city,06_10,2020,220.2057273805572
ldv_share,Afghanistan,city,11_20,2020,269.55981765325083
ldv_share,Afghanistan,city,21_30,2020,175.1465898042263
ldv_share,Afghanistan,city,00_01,2025,7.682574803425541
ldv_share,Afghanistan,city,02_05,2025,156.57642707265646
ldv_share,Afghanistan,city,06_10,2025,291.8112256039456
ldv_share,Afghanistan,city,11_20,2025,356.1297915329685
ldv_share,Afghanistan,city,21_30,2025,228.56052503464687
ldv_share,Afghanistan,city,00_01,2030,10.422117257809159
ldv_share,Afghanistan,city,02_05,2030,197.48056763315515
ldv_share,Afghanistan,city,06_10,2030,369.889421344814
ldv_share,Afghanistan,city,11_20,2030,450.1034957413976
ldv_share,Afghanistan,city,21_30,2030,285.4262847047558
ldv_share,Afghanistan,city,00_01,2035,14.103475957019944
ldv_share,Afghanistan,city,02_05,2035,250.23935750113517
ldv_share,Afghanistan,city,06_10,2035,470.96831474225496
ldv_share,Afghanistan,city,11_20,2035,571.501568979901
ldv_share,Afghanistan,city,21_30,2035,358.19867783162846
ldv_share,Afghanistan,city,00_01,2040,18.55899661732528
ldv_share,Afghanistan,city,02_05,2040,310.2173451383866
ldv_share,Afghanistan,city,06_10,2040,586.5594257756776
ldv_share,Afghanistan,city,11_20,2040,709.8573399015943
ldv_share,Afghanistan,city,21_30,2040,439.87907457932977
ldv_share,Afghanistan,city,00_01,2045,23.75394065330246
ldv_share,Afghanistan,city,02_05,2045,375.97999381480867
ldv_share,Afghanistan,city,06_10,2045,714.0790063447738
ldv_share,Afghanistan,city,11_20,2045,861.9536363758399
ldv_share,Afghanistan,city,21_30,2045,528.2350485938024
ldv_share,Afghanistan,city,00_01,2050,29.5910591755414
ldv_share,Afghanistan,city,02_05,2050,445.48599533319185
ldv_share,Afghanistan,city,06_10,2050,849.730003558231
ldv_share,Afghanistan,city,11_20,2050,1023.1512722399033
ldv_share,Afghanistan,city,21_30,2050,620.275529675771
ldv_share,Afghanistan,city,00_01,2055,37.298127518483106
ldv_share,Afghanistan,city,02_05,2055,561.5139817424869
ldv_share,Afghanistan,city,06_10,2055,1071.0443935441253
ldv_share,Afghanistan,city,11_20,2055,1289.633682806624
ldv_share,Afghanistan,city,21_30,2055,781.8279050167969
ldv_share,Afghanistan,city,00_01,2060,46.017210622001755
ldv_share,Afghanistan,city,02_05,2060,692.7775972731646
ldv_share,Afghanistan,city,06_10,2060,1321.41956506557
ldv_share,Afghanistan,city,11_20,2060,1591.1078854436223
ldv_share,Afghanistan,city,21_30,2060,964.593714724355
ldv_share,Afghanistan,city,00_01,2065,55.66329393511899
ldv_share,Afghanistan,city,02_05,2065,837.9969691219023
ldv_share,Afghanistan,city,06_10,2065,1598.4142599615545
ldv_share,Afghanistan,city,11_20,2065,1924.6343859788094
ldv_share,Afghanistan,city,21_30,2065,1166.7909189827903
ldv_share,Afghanistan,city,00_01,2070,66.04852825773965
ldv_share,Afghanistan,city,02_05,2070,994.3440745612751
ldv_share,Afghanistan,city,06_10,2070,1896.6342440981007
ldv_share,Afghanistan,city,11_20,2070,2283.718041844755
ldv_share,Afghanistan,city,21_30,2070,1384.481900642378
ldv_share,Afghanistan,city,00_01,2075,76.98437560937408
ldv_share,Afghanistan,city,02_05,2075,1158.9805214472829
ldv_share,Afghanistan,city,06_10,2075,2210.665504482908
ldv_share,Afghanistan,city,11_20,2075,2661.839894951469
ldv_share,Afghanistan,city,21_30,2075,1613.714604623963
ldv_share,Afghanistan,city,00_01,2080,88.17208045365749
ldv_share,Afghanistan,city,02_05,2080,1327.4086198969999
ldv_share,Afghanistan,city,06_10,2080,2531.929046309721
ldv_share,Afghanistan,city,11_20,2080,3048.6700647324246
ldv_share,Afghanistan,city,21_30,2080,1848.2266410798873
ldv_share,Afghanistan,city,00_01,2085,99.38439276710557
ldv_share,Afghanistan,city,02_05,2085,1496.2071776408068
ldv_share,Afghanistan,city,06_10,2085,2853.8992105232783
ldv_share,Afghanistan,city,11_20,2085,3436.3510713568053
ldv_share,Afghanistan,city,21_30,2085,2083.254489115235
ldv_share,Afghanistan,city,00_01,2090,110.59580732127682
ldv_share,Afghanistan,city,02_05,2090,1664.9922198432296
ldv_share,Afghanistan,city,06_10,2090,3175.8435948893257
ldv_share,Afghanistan,city,11_20,2090,3824.001036728469
ldv_share,Afghanistan,city,21_30,2090,2318.263518692362
ldv_share,Afghanistan,city,00_01,2095,121.71405263554071
ldv_share,Afghanistan,city,02_05,2095,1832.3746224399306
ldv_share,Afghanistan,city,06_10,2095,3495.112552935254
ldv_share,Afghanistan,city,11_20,2095,4208.429548424551
ldv_share,Afghanistan,city,21_30,2095,2551.3195732411045
ldv_share,Afghanistan,city,00_01,2100,132.57057860524424
ldv_share,Afghanistan,city,02_05,2100,1995.816905758797
ldv_share,Afghanistan,city,06_10,2100,3806.8660388831786
ldv_share,Afghanistan,city,11_20,2100,4583.808756451997
ldv_share,Afghanistan,city,21_30,2100,2778.889575259241
ldv_share,Afghanistan,large_city,00_01,2011,9.685899391097868
ldv_share,Afghanistan,large_city,02_05,2011,239.3554708681766
ldv_share,Afghanistan,large_city,06_10,2011,585.3701458533592
ldv_share,Afghanistan,large_city,11_20,2011,1247.1381352891167
ldv_share,Afghanistan,large_city,21_30,2011,971.0417257452551
ldv_share,Afghanistan,large_city,00_01,2012,10.706128990090152
ldv_share,Afghanistan,large_city,02_05,2012,258.8978285203029
ldv_share,Afghanistan,large_city,06_10,2012,633.8852616761308
ldv_share,Afghanistan,large_city,11_20,2012,1349.5969213366814
ldv_share,Afghanistan,large_city,21_30,2012,1048.0682785144688
ldv_share,Afghanistan,large_city,00_01,2013,11.624912449101565
ldv_share,Afghanistan,large_city,02_05,2013,275.26049888802885
ldv_share,Afghanistan,large_city,06_10,2013,674.7097975300078
ldv_share,Afghanistan,large_city,11_20,2013,1435.5636452595686
ldv_share,Afghanistan,large_city,21_30,2013,1111.9275641054967
ldv_share,Afghanistan,large_city,00_01,2014,12.573757339331731
ldv_share,Afghanistan,large_city,02_05,2014,291.6958370495679
ldv_share,Afghanistan,large_city,06_10,2014,715.7974178797765
ldv_share,Afghanistan,large_city,11_20,2014,1521.984094880977
ldv_share,Afghanistan,large_city,21_30,2014,1175.8150924507124
ldv_share,Afghanistan,large_city,00_01,2015,13.497112546543478
ldv_share,Afghanistan,large_city,02_05,2015,306.9428685827033
ldv_share,Afghanistan,large_city,06_10,2015,754.0500316257315
ldv_share,Afghanistan,large_city,11_20,2015,1602.2755607055913
ldv_share,Afghanistan,large_city,21_30,2015,1234.6596767568076
ldv_share,Afghanistan,large_city,00_01,2016,14.440571722130054
ldv_share,Afghanistan,large_city,02_05,2016,322.09343434464853
ldv_share,Afghanistan,large_city,06_10,2016,792.1422957761258
ldv_share,Afghanistan,large_city,11_20,2016,1682.1308779889223
ldv_share,Afghanistan,large_city,21_30,2016,1292.8769443639308
ldv_share,Afghanistan,large_city,00_01,2017,15.488894711172602
ldv_share,Afghanistan,large_city,02_05,2017,339.01388178795935
ldv_share,Afghanistan,large_city,06_10,2017,834.6676375794173
ldv_share,Afghanistan,large_city,11_20,2017,1771.3000385370406
ldv_share,Afghanistan,large_city,21_30,2017,1357.9477145972508
ldv_share,Afghanistan,large_city,00_01,2018,16.577167018094986
ldv_share,Afghanistan,large_city,02_05,2018,356.21801360864174
ldv_share,Afghanistan,large_city,06_10,2018,877.9763736269135
ldv_share,Afghanistan,large_city,11_20,2018,1862.0261406544728
ldv_share,Afghanistan,large_city,21_30,2018,1423.8895445558305
ldv_share,Afghanistan,large_city,00_01,2019,17.8250370318682
ldv_share,Afghanistan,large_city,02_05,2019,376.22206906836135
ldv_share,Afghanistan,large_city,06_10,2019,928.2783504710254
ldv_share,Afghanistan,large_city,11_20,2019,1967.469158128079
ldv_share,Afghanistan,large_city,21_30,2019,1500.7353757298722
ldv_share,Afghanistan,large_city,00_01,2020,18.98525270003165
ldv_share,Afghanistan,large_city,02_05,2020,393.75820615946884
ldv_share,Afghanistan,large_city,06_10,2020,972.5832066605435
ldv_share,Afghanistan,large_city,11_20,2020,2060.087149879287
ldv_share,Afghanistan,large_city,21_30,2020,1567.449056408083
ldv_share,Afghanistan,large_city,00_01,2025,29.695809686072757
ldv_share,Afghanistan,large_city,02_05,2025,567.6838813534606
ldv_share,Afghanistan,large_city,06_10,2025,1409.497026314417
ldv_share,Afghanistan,large_city,11_20,2025,2976.4785560090477
ldv_share,Afghanistan,large_city,21_30,2025,2236.953658951746
ldv_share,Afghanistan,large_city,00_01,2030,44.08813513258412
ldv_share,Afghanistan,large_city,02_05,2030,783.5774907236562
ldv_share,Afghanistan,large_city,06_10,2030,1955.2913573720532
ldv_share,Afghanistan,large_city,11_20,2030,4117.031964828118
ldv_share,Afghanistan,large_city,21_30,2030,3057.2230633864397
ldv_share,Afghanistan,large_city,00_01,2035,63.3868992448197
ldv_share,Afghanistan,large_city,02_05,2035,1054.923026739852
ldv_share,Afghanistan,large_city,06_10,2035,2645.080116145326
ldv_share,Afghanistan,large_city,11_20,2035,5553.884590712681
ldv_share,Afghanistan,large_city,21_30,2035,4076.286607581948
ldv_share,Afghanistan,large_city,00_01,2040,88.67447294401927
ldv_share,Afghanistan,large_city,02_05,2040,1390.2791537349624
ldv_share,Afghanistan,large_city,06_10,2040,3502.1112418038706
ldv_share,Afghanistan,large_city,11_20,2040,7333.66857589083
ldv_share,Afghanistan,large_city,21_30,2040,5321.631699602248
ldv_share,Afghanistan,large_city,00_01,2045,120.74476930208817
ldv_share,Afghanistan,large_city,02_05,2045,1792.6239986432845
ldv_share,Afghanistan,large_city,06_10,2045,4535.787708505449
ldv_share,Afghanistan,large_city,11_20,2045,9473.765792462265
ldv_share,Afghanistan,large_city,21_30,2045,6798.721652124047
ldv_share,Afghanistan,large_city,00_01,2050,160.1613687389994
ldv_share,Afghanistan,large_city,02_05,2050,2261.6381833014066
ldv_share,Afghanistan,large_city,06_10,2050,5747.143088729295
ldv_share,Afghanistan,large_city,11_20,2050,11974.10848827484
ldv_share,Afghanistan,large_city,21_30,2050,8500.59446675898
ldv_share,Afghanistan,large_city,00_01,2055,201.87581388433722
ldv_share,Afghanistan,large_city,02_05,2055,2850.68773175819
ldv_share,Afghanistan,large_city,06_10,2055,7244.001457290606
ldv_share,Afghanistan,large_city,11_20,2055,15092.796194499697
ldv_share,Afghanistan,large_city,21_30,2055,10714.596409788292
ldv_share,Afghanistan,large_city,00_01,2060,249.06778074583016
ldv_share,Afghanistan,large_city,02_05,2060,3517.085347109349
ldv_share,Afghanistan,large_city,06_10,2060,8937.412223737996
ldv_share,Afghanistan,large_city,11_20,2060,18620.99862823046
ldv_share,Afghanistan,large_city,21_30,2060,13219.318837779125
ldv_share,Afghanistan,large_city,00_01,2065,301.2771287530907
ldv_share,Afghanistan,large_city,02_05,2065,4254.33338581033
ldv_share,Afghanistan,large_city,06_10,2065,10810.863955134984
ldv_share,Afghanistan,large_city,11_20,2065,22524.31440320863
ldv_share,Afghanistan,large_city,21_30,2065,15990.339704283137
ldv_share,Afghanistan,large_city,00_01,2070,357.48712562812574
ldv_share,Afghanistan,large_city,02_05,2070,5048.074574567271
ldv_share,Afghanistan,large_city,06_10,2070,12827.872785674486
ldv_share,Afghanistan,large_city,11_20,2070,26726.729792178598
ldv_share,Afghanistan,large_city,21_30,2070,18973.6957543374
ldv_share,Afghanistan,large_city,00_01,2075,416.67731107462157
ldv_share,Afghanistan,large_city,02_05,2075,5883.89899675136
ldv_share,Afghanistan,large_city,06_10,2075,14951.821075375901
ldv_share,Afghanistan,large_city,11_20,2075,31151.952350887106
ldv_share,Afghanistan,large_city,21_30,2075,22115.2258677124
ldv_share,Afghanistan,large_city,00_01,2080,477.23067316547224
ldv_share,Afghanistan,large_city,02_05,2080,6738.972832035067
ldv_share,Afghanistan,large_city,06_10,2080,17124.684851327227
ldv_share,Afghanistan,large_city,11_20,2080,35679.089779309164
ldv_share,Afghanistan,large_city,21_30,2080,25329.10683530054
ldv_share,Afghanistan,large_city,00_01,2085,537.9172229843872
ldv_share,Afghanistan,large_city,02_05,2085,7595.927410807105
ldv_share,Afghanistan,large_city,06_10,2085,19302.327862976144
ldv_share,Afghanistan,large_city,11_20,2085,40216.18469197175
ldv_share,Afghanistan,large_city,21_30,2085,28550.05676635437
ldv_share,Afghanistan,large_city,00_01,2090,598.5989136884718
ldv_share,Afghanistan,large_city,02_05,2090,8452.813374033914
ldv_share,Afghanistan,large_city,06_10,2090,21479.796512802084
ldv_share,Afghanistan,large_city,11_20,2090,44752.91632372202
ldv_share,Afghanistan,large_city,21_30,2090,31770.74879898377
ldv_share,Afghanistan,large_city,00_01,2095,658.7763266342121
ldv_share,Afghanistan,large_city,02_05,2095,9302.578432624128
ldv_share,Afghanistan,large_city,06_10,2095,23639.169934943104
ldv_share,Afghanistan,large_city,11_20,2095,49251.94675053029
ldv_share,Afghanistan,large_city,21_30,2095,34964.676195696076
ldv_share,Afghanistan,large_city,00_01,2100,717.5371857417996
ldv_share,Afghanistan,large_city,02_05,2100,10132.340338929265
ldv_share,Afghanistan,large_city,06_10,2100,25747.7125127622
ldv_share,Afghanistan,large_city,11_20,2100,53645.07168045695
ldv_share,Afghanistan,large_city,21_30,2100,38083.41973369589
ldv_share,Afghanistan,rural,00_01,2011,7.493116643239882
ldv_share,Afghanistan,rural,02_05,2011,150.3032517726248
ldv_share,Afghanistan,rural,06_10,2011,326.9597765628701
ldv_share,Afghanistan,rural,11_20,2011,572.8152183728939
ldv_share,Afghanistan,rural,21_30,2011,467.4279332276367
ldv_share,Afghanistan,rural,00_01,2012,8.111913483556705
ldv_share,Afghanistan,rural,02_05,2012,159.22883769162203
ldv_share,Afghanistan,rural,06_10,2012,346.7709527556654
ldv_share,Afghanistan,rural,11_20,2012,607.1169613321814
ldv_share,Afghanistan,rural,21_30,2012,494.12251768988915
ldv_share,Afghanistan,rural,00_01,2013,8.627633119413423
ldv_share,Afghanistan,rural,02_05,2013,165.82436746925657
ldv_share,Afghanistan,rural,06_10,2013,361.5432134122959
ldv_share,Afghanistan,rural,11_20,2013,632.5602223590676
ldv_share,Afghanistan,rural,21_30,2013,513.4908449723545
ldv_share,Afghanistan,rural,00_01,2014,9.141557451176643
ldv_share,Afghanistan,rural,02_05,2014,172.1423898526666
ldv_share,Afghanistan,rural,06_10,2014,375.73916392679916
ldv_share,Afghanistan,rural,11_20,2014,656.9656777060477
