mode,n,area_type,trip_dist,y,value
ldv_share,Afghanistan,city,00_01,2011,7.277445976556967
ldv_share,Afghanistan,city,02_05,2011,191.73022597656717
ldv_share,Afghanistan,city,06_10,2011,351.96202710002524
ldv_share,Afghanistan,city,11_20,2011,433.3586972774651
ldv_share,Afghanistan,city,21_30,2011,288.1439729153613
ldv_share,Afghanistan,city,No_travel,2011,0.0
ldv_share,Afghanistan,city,00_01,2012,7.7890635541890285
ldv_share,Afghanistan,city,02_05,2012,200.81186652135293
ldv_share,Afghanistan,city,06_10,2012,369.05376005241186
ldv_share,Afghanistan,city,11_20,2012,454.09924087711954
ldv_share,Afghanistan,city,21_30,2012,301.144519458197
ldv_share,Afghanistan,city,00_01,2013,8.235608362981303
ldv_share,Afghanistan,city,02_05,2013,207.90171745239397
ldv_share,Afghanistan,city,06_10,2013,382.51565693509
ldv_share,Afghanistan,city,11_20,2013,470.3513207681945
ldv_share,Afghanistan,city,21_30,2013,311.11081094435207
ldv_share,Afghanistan,city,00_01,2014,8.698533670750864
ldv_share,Afghanistan,city,02_05,2014,215.13912329086176
ldv_share,Afghanistan,city,06_10,2014,396.2755760909817
ldv_share,Afghanistan,city,11_20,2014,486.9507166688313
ldv_share,Afghanistan,city,21_30,2014,321.2570122500374
ldv_share,Afghanistan,city,00_01,2015,9.12331978597306
ldv_share,Afghanistan,city,02_05,2015,221.19625267154822
ldv_share,Afghanistan,city,06_10,2015,407.88562076568
ldv_share,Afghanistan,city,11_20,2015,500.8909190071461
ldv_share,Afghanistan,city,21_30,2015,329.60356811166974
ldv_share,Afghanistan,city,00_01,2016,9.524952171839374
ldv_share,Afghanistan,city,02_05,2016,226.50014114465426
ldv_share,Afghanistan,city,06_10,2016,418.12662482514173
ldv_share,Afghanistan,city,11_20,2016,513.135569208883
ldv_share,Afghanistan,city,21_30,2016,336.79700275853895
ldv_share,Afghanistan,city,00_01,2017,9.967383405458454
ldv_share,Afghanistan,city,02_05,2017,232.5875197946104
ldv_share,Afghanistan,city,06_10,2017,429.83375316228495
ldv_share,Afghanistan,city,11_20,2017,527.1652686326449
ldv_share,Afghanistan,city,21_30,2017,345.12498160755075
ldv_share,Afghanistan,city,00_01,2018,10.421813148463682
ldv_share,Afghanistan,city,02_05,2018,238.75750730434652
ldv_share,Afghanistan,city,06_10,2018,441.71485293632844
ldv_share,Afghanistan,city,11_20,2018,541.3930348753465
ldv_share,Afghanistan,city,21_30,2018,353.5427061514125
ldv_share,Afghanistan,city,00_01,2019,10.919358955300467
ldv_share,Afghanistan,city,02_05,2019,245.70792188830757
ldv_share,Afghanistan,city,06_10,2019,455.0625837669917
ldv_share,Afghanistan,city,11_20,2019,557.4020432862119
ldv_share,Afghanistan,city,21_30,2019,363.08092525101694
ldv_share,Afghanistan,city,00_01,2020,11.40154779397038
ldv_share,Afghanistan,city,02_05,2020,252.10719303402755
ldv_share,Afghanistan,city,06_10,2020,467.41258421578294
ldv_share,Afghanistan,city,11_20,2020,572.1724519557865
ldv_share,Afghanistan,city,21_30,2020,371.7692592776915
ldv_share,Afghanistan,city,00_01,2025,15.639592230440313
ldv_share,Afghanistan,city,02_05,2025,318.74619316739296
ldv_share,Afghanistan,city,06_10,2025,594.0467478007251
ldv_share,Afghanistan,city,11_20,2025,724.9815150779783
ldv_share,Afghanistan,city,21_30,2025,465.2858583197085
ldv_share,Afghanistan,city,00_01,2030,20.0588627603321
ldv_share,Afghanistan,city,02_05,2030,380.0797386939628
ldv_share,Afghanistan,city,06_10,2030,711.9053600836137
ldv_share,Afghanistan,city,11_20,2030,866.2888764044011
ldv_share,Afghanistan,city,21_30,2030,549.3439127058623
ldv_share,Afghanistan,city,00_01,2035,29.614041952793514
ldv_share,Afghanistan,city,02_05,2035,525.4448515998731
ldv_share,Afghanistan,city,06_10,2035,988.9246788322
ldv_share,Afghanistan,city,11_20,2035,1200.0212920158906
ldv_share,Afghanistan,city,21_30,2035,752.1344883394556
ldv_share,Afghanistan,city,00_01,2040,42.56542869495873
ldv_share,Afghanistan,city,02_05,2040,711.4896649154309
ldv_share,Afghanistan,city,06_10,2040,1345.2857354315718
ldv_share,Afghanistan,city,11_20,2040,1628.0719592872565
ldv_share,Afghanistan,city,21_30,2040,1008.8714260517662
ldv_share,Afghanistan,city,00_01,2045,59.63579391658926
ldv_share,Afghanistan,city,02_05,2045,943.9219266881162
ldv_share,Afghanistan,city,06_10,2045,1792.7412164608295
ldv_share,Afghanistan,city,11_20,2045,2163.9899743294927
ldv_share,Afghanistan,city,21_30,2045,1326.168022276333
ldv_share,Afghanistan,city,00_01,2050,81.55714317573108
ldv_share,Afghanistan,city,02_05,2050,1227.822393535786
ldv_share,Afghanistan,city,06_10,2050,2341.9760391069335
ldv_share,Afghanistan,city,11_20,2050,2819.949576846286
ldv_share,Afghanistan,city,21_30,2050,1709.5670649052997
ldv_share,Afghanistan,city,00_01,2055,100.47757990991447
ldv_share,Afghanistan,city,02_05,2055,1512.664836675947
ldv_share,Afghanistan,city,06_10,2055,2885.2909193917726
ldv_share,Afghanistan,city,11_20,2055,3474.1495093689796
ldv_share,Afghanistan,city,21_30,2055,2106.16942534709
ldv_share,Afghanistan,city,00_01,2060,121.22687505223908
ldv_share,Afghanistan,city,02_05,2060,1825.0402857636523
ldv_share,Afghanistan,city,06_10,2060,3481.1228742577637
ldv_share,Afghanistan,city,11_20,2060,4191.5847183289225
ldv_share,Afghanistan,city,21_30,2060,2541.1075584654295
ldv_share,Afghanistan,city,00_01,2065,143.5039702556243
ldv_share,Afghanistan,city,02_05,2065,2160.416382676577
ldv_share,Afghanistan,city,06_10,2065,4120.826781919375
ldv_share,Afghanistan,city,11_20,2065,4961.845700335023
ldv_share,Afghanistan,city,21_30,2065,3008.0708038479643
ldv_share,Afghanistan,city,00_01,2070,166.77411169928394
ldv_share,Afghanistan,city,02_05,2070,2510.742542381643
ldv_share,Afghanistan,city,06_10,2070,4789.046775479623
ldv_share,Afghanistan,city,11_20,2070,5766.442611923844
ldv_share,Afghanistan,city,21_30,2070,3495.849873328733
ldv_share,Afghanistan,city,00_01,2075,190.5700564641307
ldv_share,Afghanistan,city,02_05,2075,2868.9845395867837
ldv_share,Afghanistan,city,06_10,2075,5472.365615462815
ldv_share,Afghanistan,city,11_20,2075,6589.219891232169
ldv_share,Afghanistan,city,21_30,2075,3994.6506143089923
ldv_share,Afghanistan,city,00_01,2080,214.18196303467593
ldv_share,Afghanistan,city,02_05,2080,3224.4558878036155
ldv_share,Afghanistan,city,06_10,2080,6150.399657271959
