mode,n,area_type,trip_dist,y,value
ldv_share,Afghanistan,city,00_01,2011,3.2172389481581773
ldv_share,Afghanistan,city,02_05,2011,84.76077356507079
ldv_share,Afghanistan,city,06_10,2011,155.59661253502418
ldv_share,Afghanistan,city,11_20,2011,191.5807391625281
ldv_share,Afghanistan,city,21_30,2011,127.38370237671232
ldv_share,Afghanistan,city,No_travel,2011,0.0
ldv_share,Afghanistan,city,00_01,2012,3.489494006865375
ldv_share,Afghanistan,city,02_05,2012,89.96354951512087
ldv_share,Afghanistan,city,06_10,2012,165.33577816571085
ldv_share,Afghanistan,city,11_20,2012,203.43608298209602
ldv_share,Afghanistan,city,21_30,2012,134.91249474843175
ldv_share,Afghanistan,city,00_01,2013,3.717991007163474
ldv_share,Afghanistan,city,02_05,2013,93.8578768918081
ldv_share,Afghanistan,city,06_10,2013,172.6878828984356
ldv_share,Afghanistan,city,11_20,2013,212.34156649364462
ldv_share,Afghanistan,city,21_30,2013,140.45194311591894
ldv_share,Afghanistan,city,00_01,2014,3.9461462768258015
ldv_share,Afghanistan,city,02_05,2014,97.59926011765589
ldv_share,Afghanistan,city,06_10,2014,179.77298799757847
ldv_share,Afghanistan,city,11_20,2014,220.908354248457
ldv_share,Afghanistan,city,21_30,2014,145.74032943706882
ldv_share,Afghanistan,city,00_01,2015,4.156597800127288
ldv_share,Afghanistan,city,02_05,2015,100.77733531433988
ldv_share,Afghanistan,city,06_10,2015,185.8332836896559
ldv_share,Afghanistan,city,11_20,2015,228.20663320931536
ldv_share,Afghanistan,city,21_30,2015,150.16786633232658
ldv_share,Afghanistan,city,00_01,2016,4.363840681093782
ldv_share,Afghanistan,city,02_05,2016,103.77065547087727
ldv_share,Afghanistan,city,06_10,2016,191.56400392801504
ldv_share,Afghanistan,city,11_20,2016,235.09219064115425
ldv_share,Afghanistan,city,21_30,2016,154.30297553130367
ldv_share,Afghanistan,city,00_01,2017,4.592925423922987
ldv_share,Afghanistan,city,02_05,2017,107.1752825688281
ldv_share,Afghanistan,city,06_10,2017,198.0654593740387
ldv_share,Afghanistan,city,11_20,2017,242.91538374917172
ldv_share,Afghanistan,city,21_30,2017,159.03203859783352
ldv_share,Afghanistan,city,00_01,2018,4.823470378015382
ldv_share,Afghanistan,city,02_05,2018,110.50282207190324
ldv_share,Afghanistan,city,06_10,2018,204.43645249789122
ldv_share,Afghanistan,city,11_20,2018,250.56995643507912
ldv_share,Afghanistan,city,21_30,2018,163.62822343788767
ldv_share,Afghanistan,city,00_01,2019,5.08926086706943
ldv_share,Afghanistan,city,02_05,2019,114.5187841808342
ldv_share,Afghanistan,city,06_10,2019,212.0941539804086
ldv_share,Afghanistan,city,11_20,2019,259.7922110385462
ldv_share,Afghanistan,city,21_30,2019,169.22362860526673
ldv_share,Afghanistan,city,00_01,2020,5.318743124695786
ldv_share,Afghanistan,city,02_05,2020,117.60626047151328
ldv_share,Afghanistan,city,06_10,2020,218.0447351199732
ldv_share,Afghanistan,city,11_20,2020,266.91448827584367
ldv_share,Afghanistan,city,21_30,2020,173.42778607674418
ldv_share,Afghanistan,city,00_01,2025,7.564612932060736
ldv_share,Afghanistan,city,02_05,2025,154.1722788773314
ldv_share,Afghanistan,city,06_10,2025,287.33061862799394
ldv_share,Afghanistan,city,11_20,2025,350.6616070072213
ldv_share,Afghanistan,city,21_30,2025,225.05109910088473
ldv_share,Afghanistan,city,00_01,2030,10.203680102202735
ldv_share,Afghanistan,city,02_05,2030,193.34157241613187
ldv_share,Afghanistan,city,06_10,2030,362.1369089628481
ldv_share,Afghanistan,city,11_20,2030,440.6697765741537
ldv_share,Afghanistan,city,21_30,2030,279.4440352036288
ldv_share,Afghanistan,city,00_01,2035,12.798448051328304
ldv_share,Afghanistan,city,02_05,2035,227.08411934307105
ldv_share,Afghanistan,city,06_10,2035,427.38850538828655
ldv_share,Afghanistan,city,11_20,2035,518.6191804156765
ldv_share,Afghanistan,city,21_30,2035,325.05370904686237
ldv_share,Afghanistan,city,00_01,2040,15.51626652097413
ldv_share,Afghanistan,city,02_05,2040,259.3575022317091
ldv_share,Afghanistan,city,06_10,2040,490.3935578192169
ldv_share,Afghanistan,city,11_20,2040,593.4768945159841
ldv_share,Afghanistan,city,21_30,2040,367.7613126886811
ldv_share,Afghanistan,city,00_01,2045,18.166797428092583
ldv_share,Afghanistan,city,02_05,2045,287.5460743268095
ldv_share,Afghanistan,city,06_10,2045,546.1211192390346
ldv_share,Afghanistan,city,11_20,2045,659.214289241336
ldv_share,Afghanistan,city,21_30,2045,403.9893532733943
ldv_share,Afghanistan,city,00_01,2050,20.52694786183337
ldv_share,Afghanistan,city,02_05,2050,309.02806638769346
ldv_share,Afghanistan,city,06_10,2050,589.4470818433003
ldv_share,Afghanistan,city,11_20,2050,709.7472481619178
ldv_share,Afghanistan,city,21_30,2050,430.27738149196136
ldv_share,Afghanistan,city,00_01,2055,25.873244832977743
ldv_share,Afghanistan,city,02_05,2055,389.5152302099914
ldv_share,Afghanistan,city,06_10,2055,742.9701077466402
ldv_share,Afghanistan,city,11_20,2055,894.6027653419198
ldv_share,Afghanistan,city,21_30,2055,542.3442448613392
ldv_share,Afghanistan,city,00_01,2060,31.92156379334984
ldv_share,Afghanistan,city,02_05,2060,480.57115950842825
ldv_share,Afghanistan,city,06_10,2060,916.6522345414224
ldv_share,Afghanistan,city,11_20,2060,1103.7316512836726
ldv_share,Afghanistan,city,21_30,2060,669.126602482851
ldv_share,Afghanistan,city,00_01,2065,38.61293121161785
ldv_share,Afghanistan,city,02_05,2065,581.3080225177496
ldv_share,Afghanistan,city,06_10,2065,1108.7999919570807
ldv_share,Afghanistan,city,11_20,2065,1335.0948156236752
ldv_share,Afghanistan,city,21_30,2065,809.3882756118743
ldv_share,Afghanistan,city,00_01,2070,45.817038445790764
ldv_share,Afghanistan,city,02_05,2070,689.7640552222243
ldv_share,Afghanistan,city,06_10,2070,1315.671467202801
ldv_share,Afghanistan,city,11_20,2070,1584.1866591521834
ldv_share,Afghanistan,city,21_30,2070,960.3977884518595
ldv_share,Afghanistan,city,00_01,2075,53.40309905552768
ldv_share,Afghanistan,city,02_05,2075,803.970300471462
ldv_share,Afghanistan,city,06_10,2075,1533.5110271409872
ldv_share,Afghanistan,city,11_20,2075,1846.4850621291466
ldv_share,Afghanistan,city,21_30,2075,1119.4136497950851
ldv_share,Afghanistan,city,00_01,2080,61.16387005969652
ldv_share,Afghanistan,city,02_05,2080,920.8067670148
ldv_share,Afghanistan,city,06_10,2080,1756.3675303119742
ldv_share,Afghanistan,city,11_20,2080,2114.824315529074
ldv_share,Afghanistan,city,21_30,2080,1282.0917180841043
ldv_share,Afghanistan,city,00_01,2085,68.94171095763154
ldv_share,Afghanistan,city,02_05,2085,1037.900216539707
ldv_share,Afghanistan,city,06_10,2085,1979.7142085998667
ldv_share,Afghanistan,city,11_20,2085,2383.7537838118237
ldv_share,Afghanistan,city,21_30,2085,1445.1275984181248
ldv_share,Afghanistan,city,00_01,2090,76.71892909117821
ldv_share,Afghanistan,city,02_05,2090,1154.9842905025002
ldv_share,Afghanistan,city,06_10,2090,2203.043003729789
ldv_share,Afghanistan,city,11_20,2090,2652.6617191655796
ldv_share,Afghanistan,city,21_30,2090,1608.1504246229076
ldv_share,Afghanistan,city,00_01,2095,84.43151688761664
ldv_share,Afghanistan,city,02_05,2095,1271.0953709037994
ldv_share,Afghanistan,city,06_10,2095,2424.515889064274
ldv_share,Afghanistan,city,11_20,2095,2919.334972372755
ldv_share,Afghanistan,city,21_30,2095,1769.8184964626885
ldv_share,Afghanistan,city,00_01,2100,91.96255324622535
ldv_share,Afghanistan,city,02_05,2100,1384.4732398135554
ldv_share,Afghanistan,city,06_10,2100,2640.7753853477748
ldv_share,Afghanistan,city,11_20,2100,3179.7308367412943
ldv_share,Afghanistan,city,21_30,2100,1927.6809622376445
ldv_share,Afghanistan,large_city,00_01,2011,9.685899391097868
ldv_share,Afghanistan,large_city,02_05,2011,239.3554708681766
ldv_share,Afghanistan,large_city,06_10,2011,585.3701458533592
ldv_share,Afghanistan,large_city,11_20,2011,1247.1381352891167
ldv_share,Afghanistan,large_city,21_30,2011,971.0417257452551
ldv_share,Afghanistan,large_city,00_01,2012,10.7055491390264
ldv_share,Afghanistan,large_city,02_05,2012,258.88380644178983
ldv_share,Afghanistan,large_city,06_10,2012,633.8509300289389
ldv_share,Afghanistan,large_city,11_20,2012,1349.5238262701828
ldv_share,Afghanistan,large_city,21_30,2012,1048.0115144397278
ldv_share,Afghanistan,large_city,00_01,2013,11.623617672149338
ldv_share,Afghanistan,large_city,02_05,2013,275.2298405109117
ldv_share,Afghanistan,large_city,06_10,2013,674.6346486891792
ldv_share,Afghanistan,large_city,11_20,2013,1435.403752896553
ldv_share,Afghanistan,large_city,21_30,2013,1111.8037181678303
ldv_share,Afghanistan,large_city,00_01,2014,12.571598972033106
ldv_share,Afghanistan,large_city,02_05,2014,291.6457655602873
ldv_share,Afghanistan,large_city,06_10,2014,715.6745465933744
ldv_share,Afghanistan,large_city,11_20,2014,1521.722836403438
ldv_share,Afghanistan,large_city,21_30,2014,1175.6132561358954
ldv_share,Afghanistan,large_city,00_01,2015,13.49394083725941
ldv_share,Afghanistan,large_city,02_05,2015,306.8707395593581
ldv_share,Afghanistan,large_city,06_10,2015,753.8728361346432
ldv_share,Afghanistan,large_city,11_20,2015,1601.899039264135
ldv_share,Afghanistan,large_city,21_30,2015,1234.3695419930996
ldv_share,Afghanistan,large_city,00_01,2016,14.436219549821557
ldv_share,Afghanistan,large_city,02_05,2016,321.9963602015552
ldv_share,Afghanistan,large_city,06_10,2016,791.9035559373988
ldv_share,Afghanistan,large_city,11_20,2016,1681.623908904365
ldv_share,Afghanistan,large_city,21_30,2016,1292.487290592333
ldv_share,Afghanistan,large_city,00_01,2017,15.483150862660764
ldv_share,Afghanistan,large_city,02_05,2017,338.8881630445169
ldv_share,Afghanistan,large_city,06_10,2017,834.3581122996998
ldv_share,Afghanistan,large_city,11_20,2017,1770.6431757149935
ldv_share,Afghanistan,large_city,21_30,2017,1357.4441379311884
ldv_share,Afghanistan,large_city,00_01,2018,16.56981759308969
ldv_share,Afghanistan,large_city,02_05,2018,356.06008568442564
ldv_share,Afghanistan,large_city,06_10,2018,877.5871260849573
ldv_share,Afghanistan,large_city,11_20,2018,1861.2006183282697
ldv_share,Afghanistan,large_city,21_30,2018,1423.2582684510464
ldv_share,Afghanistan,large_city,00_01,2019,17.815787368330508
ldv_share,Afghanistan,large_city,02_05,2019,376.0268421216731
ldv_share,Afghanistan,large_city,06_10,2019,927.7966537207843
ldv_share,Afghanistan,large_city,11_20,2019,1966.4482105866557
ldv_share,Afghanistan,large_city,21_30,2019,1499.9566229418813
ldv_share,Afghanistan,large_city,00_01,2020,18.973908248977832
ldv_share,Afghanistan,large_city,02_05,2020,393.52291981551576
ldv_share,Afghanistan,large_city,06_10,2020,972.0020491295874
ldv_share,Afghanistan,large_city,11_20,2020,2058.8561650613515
ldv_share,Afghanistan,large_city,21_30,2020,1566.5124426383989
ldv_share,Afghanistan,large_city,00_01,2025,29.665028704305303
ldv_share,Afghanistan,large_city,02_05,2025,567.0954526361991
ldv_share,Afghanistan,large_city,06_10,2025,1408.0360221280719
ldv_share,Afghanistan,large_city,11_20,2025,2973.3933081868036
ldv_share,Afghanistan,large_city,21_30,2025,2234.634960437756
ldv_share,Afghanistan,large_city,00_01,2030,44.019710346858346
ldv_share,Afghanistan,large_city,02_05,2030,782.361378458053
ldv_share,Afghanistan,large_city,06_10,2030,1952.2567451854115
ldv_share,Afghanistan,large_city,11_20,2030,4110.642331218704
ldv_share,Afghanistan,large_city,21_30,2030,3052.4782531920637
ldv_share,Afghanistan,large_city,00_01,2035,60.2920909374007
ldv_share,Afghanistan,large_city,02_05,2035,1003.4173593900026
ldv_share,Afghanistan,large_city,06_10,2035,2515.9364600466347
ldv_share,Afghanistan,large_city,11_20,2035,5282.721174067265
ldv_share,Afghanistan,large_city,21_30,2035,3877.265582624706
ldv_share,Afghanistan,large_city,00_01,2040,80.17211618962244
ldv_share,Afghanistan,large_city,02_05,2040,1256.9752956932236
ldv_share,Afghanistan,large_city,06_10,2040,3166.3190100282386
ldv_share,Afghanistan,large_city,11_20,2040,6630.495898562404
ldv_share,Afghanistan,large_city,21_30,2040,4811.378751675626
ldv_share,Afghanistan,large_city,00_01,2045,103.51109779466277
ldv_share,Afghanistan,large_city,02_05,2045,1536.7661813025256
ldv_share,Afghanistan,large_city,06_10,2045,3888.403346867112
ldv_share,Afghanistan,large_city,11_20,2045,8121.5932010591305
ldv_share,Afghanistan,large_city,21_30,2045,5828.353028287521
ldv_share,Afghanistan,large_city,00_01,2050,129.8332119545825
ldv_share,Afghanistan,large_city,02_05,2050,1833.3743769114526
ldv_share,Afghanistan,large_city,06_10,2050,4658.864073447517
ldv_share,Afghanistan,large_city,11_20,2050,9706.691304935119
ldv_share,Afghanistan,large_city,21_30,2050,6890.921898533499
ldv_share,Afghanistan,large_city,00_01,2055,163.64860976719913
ldv_share,Afghanistan,large_city,02_05,2055,2310.88150287246
ldv_share,Afghanistan,large_city,06_10,2055,5872.277341338057
ldv_share,Afghanistan,large_city,11_20,2055,12234.824307109235
ldv_share,Afghanistan,large_city,21_30,2055,8685.680433630781
ldv_share,Afghanistan,large_city,00_01,2060,201.90430578379977
ldv_share,Afghanistan,large_city,02_05,2060,2851.0900657807233
ldv_share,Afghanistan,large_city,06_10,2060,7245.023845050971
ldv_share,Afghanistan,large_city,11_20,2060,15094.926327988742
ldv_share,Afghanistan,large_city,21_30,2060,10716.108622657272
ldv_share,Afghanistan,large_city,00_01,2065,244.22729165240548
ldv_share,Afghanistan,large_city,02_05,2065,3448.732815873286
ldv_share,Afghanistan,large_city,06_10,2065,8763.718756590624
ldv_share,Afghanistan,large_city,11_20,2065,18259.110227817044
ldv_share,Afghanistan,large_city,21_30,2065,12962.408977880083
ldv_share,Afghanistan,large_city,00_01,2070,289.7933635191839
ldv_share,Afghanistan,large_city,02_05,2070,4092.1711731272135
ldv_share,Afghanistan,large_city,06_10,2070,10398.786794979167
ldv_share,Afghanistan,large_city,11_20,2070,21665.75623873166
ldv_share,Afghanistan,large_city,21_30,2070,15380.836726296071
ldv_share,Afghanistan,large_city,00_01,2075,337.7752954495313
ldv_share,Afghanistan,large_city,02_05,2075,4769.723882726524
ldv_share,Afghanistan,large_city,06_10,2075,12120.544236542723
ldv_share,Afghanistan,large_city,11_20,2075,25253.018653723127
ldv_share,Afghanistan,large_city,21_30,2075,17927.486697402383
ldv_share,Afghanistan,large_city,00_01,2080,386.86227289485845
ldv_share,Afghanistan,large_city,02_05,2080,5462.880936560908
ldv_share,Afghanistan,large_city,06_10,2080,13881.954527879905
ldv_share,Afghanistan,large_city,11_20,2080,28922.89733869919
ldv_share,Afghanistan,large_city,21_30,2080,20532.78716496803
ldv_share,Afghanistan,large_city,00_01,2085,436.0572176400637
ldv_share,Afghanistan,large_city,02_05,2085,6157.562596296673
ldv_share,Afghanistan,large_city,06_10,2085,15647.239058842983
ldv_share,Afghanistan,large_city,11_20,2085,32600.847958699982
ldv_share,Afghanistan,large_city,21_30,2085,23143.818017077512
ldv_share,Afghanistan,large_city,00_01,2090,485.24822339242286
ldv_share,Afghanistan,large_city,02_05,2090,6852.188633526854
ldv_share,Afghanistan,large_city,06_10,2090,17412.382245137884
ldv_share,Afghanistan,large_city,11_20,2090,36278.504088662026
ldv_share,Afghanistan,large_city,21_30,2090,25754.639806408202
ldv_share,Afghanistan,large_city,00_01,2095,534.0304414227578
ldv_share,Afghanistan,large_city,02_05,2095,7541.042180622425
ldv_share,Afghanistan,large_city,06_10,2095,19162.85671606228
ldv_share,Afghanistan,large_city,11_20,2095,39925.598113849876
ldv_share,Afghanistan,large_city,21_30,2095,28343.765111279077
ldv_share,Afghanistan,large_city,00_01,2100,581.6643442497324
ldv_share,Afghanistan,large_city,02_05,2100,8213.680372349621
ldv_share,Afghanistan,large_city,06_10,2100,20872.12567134555
ldv_share,Afghanistan,large_city,11_20,2100,43486.84090704563
ldv_share,Afghanistan,large_city,21_30,2100,30871.94337292324
ldv_share,Afghanistan,rural,00_01,2011,7.493116643239882
ldv_share,Afghanistan,rural,02_05,2011,150.3032517726248
ldv_share,Afghanistan,rural,06_10,2011,326.9597765628701
ldv_share,Afghanistan,rural,11_20,2011,572.8152183728939
ldv_share,Afghanistan,rural,21_30,2011,467.4279332276367
ldv_share,Afghanistan,rural,00_01,2012,8.111913483556705
ldv_share,Afghanistan,rural,02_05,2012,159.22883769162203
ldv_share,Afghanistan,rural,06_10,2012,346.7709527556654
ldv_share,Afghanistan,rural,11_20,2012,607.1169613321814
ldv_share,Afghanistan,rural,21_30,2012,494.12251768988915
ldv_share,Afghanistan,rural,00_01,2013,8.627633119413423
ldv_share,Afghanistan,rural,02_05,2013,165.82436746925657
ldv_share,Afghanistan,rural,06_10,2013,361.5432134122959
ldv_share,Afghanistan,rural,11_20,2013,632.5602223590676
ldv_share,Afghanistan,rural,21_30,2013,513.4908449723545
ldv_share,Afghanistan,rural,00_01,2014,9.141557451176643
ldv_share,Afghanistan,rural,02_05,2014,172.1423898526666
ldv_share,Afghanistan,rural,06_10,2014,375.73916392679916
ldv_share,Afghanistan,rural,11_20,2014,656.9656777060477
