n,y,area_type,value
Afghanistan,2011,city,2.142765261
Afghanistan,2011,large_city,3.9927302999999994
Afghanistan,2011,town,0.869294439
Afghanistan,2012,city,2.242212504168421
Afghanistan,2012,large_city,4.215457145263158
Afghanistan,2012,town,0.903882350568421
Afghanistan,2013,city,2.33129841078
Afghanistan,2013,large_city,4.422188374
Afghanistan,2013,town,0.9337574152200001
Afghanistan,2014,city,2.4291685801810528
Afghanistan,2014,large_city,4.649085951157895
Afghanistan,2014,town,0.9666118686610526
Afghanistan,2015,city,2.5166347632236845
Afghanistan,2015,large_city,4.859593046052632
Afghanistan,2015,town,0.9947846907236844
Afghanistan,2016,city,2.5941940120421045
Afghanistan,2016,large_city,5.054187486315788
Afghanistan,2016,town,1.0185465016421051
Afghanistan,2017,city,2.6817791636842103
Afghanistan,2017,large_city,5.271578052631579
Afghanistan,2017,town,1.0457427836842106
Afghanistan,2018,city,2.775267604476315
Afghanistan,2018,large_city,5.504158488947368
Afghanistan,2018,town,1.0746894065763157
Afghanistan,2019,city,2.8731842441147366
Afghanistan,2019,large_city,5.7493378702105264
Afghanistan,2019,town,1.104763685674737
Afghanistan,2020,city,2.982432854453684
Afghanistan,2020,large_city,6.021342485052632
Afghanistan,2020,town,1.1385568604936842
Afghanistan,2025,city,3.8973303314340675
Afghanistan,2025,large_city,8.226912491795243
Afghanistan,2025,town,1.432681491090691
Afghanistan,2030,city,4.772378981731704
Afghanistan,2030,large_city,10.5335527542672
Afghanistan,2030,town,1.6836694805610959
Afghanistan,2035,city,5.804185492537056
Afghanistan,2035,large_city,13.030229643806251
Afghanistan,2035,town,2.013952293746694
Afghanistan,2040,city,6.917135213622419
Afghanistan,2040,large_city,15.794835754194
Afghanistan,2040,town,2.3591968959835796
Afghanistan,2045,city,8.087168066558657
Afghanistan,2045,large_city,18.78329086417245
Afghanistan,2045,town,2.709526682138892
Afghanistan,2050,city,9.2875036383457
Afghanistan,2050,large_city,21.9416844907392
Afghanistan,2050,town,3.0546938876950978
Afghanistan,2055,city,10.58414785682436
Afghanistan,2055,large_city,25.005000473856004
Afghanistan,2055,town,3.48116490971964
Afghanistan,2060,city,11.87332191360025
Afghanistan,2060,large_city,28.0506682344192
Afghanistan,2060,town,3.905178968260548
Afghanistan,2065,city,13.130530507519422
Afghanistan,2065,large_city,31.020817736479998
Afghanistan,2065,town,4.318679469250575
Afghanistan,2070,city,14.317131713806152
Afghanistan,2070,large_city,33.824157611059206
Afghanistan,2070,town,4.708956942414648
Afghanistan,2075,city,15.409781171425307
Afghanistan,2075,large_city,36.40553691292801
Afghanistan,2075,town,5.068333342096696
Afghanistan,2080,city,16.3710017338392
Afghanistan,2080,large_city,38.67641605632001
Afghanistan,2080,town,5.3844822978408
Afghanistan,2085,city,17.18866718143243
Afghanistan,2085,large_city,40.6081469033472
Afghanistan,2085,town,5.653415451700368
Afghanistan,2090,city,17.893113452836772
Afghanistan,2090,large_city,42.2723979690496
Afghanistan,2090,town,5.885110404753624
Afghanistan,2095,city,18.49513063969116
Afghanistan,2095,large_city,43.694660795135995
Afghanistan,2095,town,6.083116057572839
Afghanistan,2100,city,18.989438321090788
Afghanistan,2100,large_city,44.862460411583996
Afghanistan,2100,town,6.245695660425209
Bangladesh,2011,city,14.070921750000002
Bangladesh,2011,large_city,15.947044650000004
Bangladesh,2011,town,16.8851061
Bangladesh,2012,city,14.53342222355263
Bangladesh,2012,large_city,16.67182003089474
Bangladesh,2012,town,17.45291144555263
Bangladesh,2013,city,15.006194399473685
Bangladesh,2013,large_city,17.423121285052634
Bangladesh,2013,town,18.033992915473686
Bangladesh,2014,city,15.48390375
Bangladesh,2014,large_city,18.195307340000003
Bangladesh,2014,town,18.62197491
Bangladesh,2015,city,15.959503781052632
Bangladesh,2015,large_city,18.980409853894738
Bangladesh,2015,town,19.208402765052632
Bangladesh,2016,city,16.44789826342105
Bangladesh,2016,large_city,19.796483829157893
Bangladesh,2016,town,19.81123530742105
Bangladesh,2017,city,16.94638700052631
Bangladesh,2017,large_city,20.641004706947367
Bangladesh,2017,town,20.42726649252631
Bangladesh,2018,city,17.435520959999998
Bangladesh,2018,large_city,21.490660224000003
Bangladesh,2018,town,21.033076415999997
Bangladesh,2019,city,17.922113578947368
Bangladesh,2019,large_city,22.353763482105265
Bangladesh,2019,town,21.636878938947365
Bangladesh,2020,city,18.417880808684206
Bangladesh,2020,large_city,23.24521577863158
Bangladesh,2020,town,22.252836812684205
Bangladesh,2025,city,20.465405507961812
Bangladesh,2025,large_city,27.389215595702165
Bangladesh,2025,town,24.82625827040601
Bangladesh,2030,city,22.571436360329997
Bangladesh,2030,large_city,32.010400656468
Bangladesh,2030,town,27.496113384401998
