n,trip_dist,y,value
Afghanistan,00_01,2011,0.5
Afghanistan,00_01,2012,0.5128205128205128
Afghanistan,00_01,2013,0.5256410256410257
Afghanistan,00_01,2014,0.5384615384615384
Afghanistan,00_01,2015,0.5512820512820513
Afghanistan,00_01,2016,0.5641025641025641
Afghanistan,00_01,2017,0.5769230769230769
Afghanistan,00_01,2018,0.5897435897435898
Afghanistan,00_01,2019,0.6025641025641025
Afghanistan,00_01,2020,0.6153846153846154
Afghanistan,00_01,2021,0.6282051282051282
Afghanistan,00_01,2022,0.641025641025641
Afghanistan,00_01,2023,0.6538461538461539
Afghanistan,00_01,2024,0.6666666666666666
Afghanistan,00_01,2025,0.6794871794871795
Afghanistan,00_01,2026,0.6923076923076923
Afghanistan,00_01,2027,0.7051282051282051
Afghanistan,00_01,2028,0.717948717948718
Afghanistan,00_01,2029,0.7307692307692307
Afghanistan,00_01,2030,0.7435897435897436
Afghanistan,00_01,2031,0.7564102564102564
Afghanistan,00_01,2032,0.7692307692307692
Afghanistan,00_01,2033,0.782051282051282
Afghanistan,00_01,2034,0.7948717948717949
Afghanistan,00_01,2035,0.8076923076923077
Afghanistan,00_01,2036,0.8205128205128205
Afghanistan,00_01,2037,0.8333333333333333
Afghanistan,00_01,2038,0.8461538461538461
Afghanistan,00_01,2039,0.858974358974359
Afghanistan,00_01,2040,0.8717948717948718
Afghanistan,00_01,2041,0.8846153846153846
Afghanistan,00_01,2042,0.8974358974358974
Afghanistan,00_01,2043,0.9102564102564102
Afghanistan,00_01,2044,0.9230769230769231
Afghanistan,00_01,2045,0.9358974358974359
Afghanistan,00_01,2046,0.9487179487179487
Afghanistan,00_01,2047,0.9615384615384615
Afghanistan,00_01,2048,0.9743589743589743
Afghanistan,00_01,2049,0.9871794871794872
Afghanistan,00_01,2050,1.0
Afghanistan,00_01,2051,1.0
Afghanistan,00_01,2052,1.0
Afghanistan,00_01,2053,1.0
Afghanistan,00_01,2054,1.0
Afghanistan,00_01,2055,1.0
Afghanistan,00_01,2056,1.0
Afghanistan,00_01,2057,1.0
Afghanistan,00_01,2058,1.0
Afghanistan,00_01,2059,1.0
Afghanistan,00_01,2060,1.0
Afghanistan,00_01,2061,1.0
Afghanistan,00_01,2062,1.0
Afghanistan,00_01,2063,1.0
Afghanistan,00_01,2064,1.0
Afghanistan,00_01,2065,1.0
Afghanistan,00_01,2066,1.0
Afghanistan,00_01,2067,1.0
Afghanistan,00_01,2068,1.0
Afghanistan,00_01,2069,1.0
Afghanistan,00_01,2070,1.0
Afghanistan,00_01,2071,1.0
Afghanistan,00_01,2072,1.0
Afghanistan,00_01,2073,1.0
Afghanistan,00_01,2074,1.0
Afghanistan,00_01,2075,1.0
Afghanistan,00_01,2076,1.0
Afghanistan,00_01,2077,1.0
Afghanistan,00_01,2078,1.0
Afghanistan,00_01,2079,1.0
Afghanistan,00_01,2080,1.0
