trip_dist,area_type,y,n,value
00_01,city,2011,Afghanistan,2.893835616438356
00_01,large_city,2011,Afghanistan,3.33904109589041
00_01,rural,2011,Afghanistan,1.7184931506849317
00_01,town,2011,Afghanistan,2.4486301369863015
02_05,city,2011,Afghanistan,2.893835616438356
02_05,large_city,2011,Afghanistan,3.33904109589041
02_05,rural,2011,Afghanistan,1.7184931506849317
02_05,town,2011,Afghanistan,2.4486301369863015
06_10,city,2011,Afghanistan,2.893835616438356
06_10,large_city,2011,Afghanistan,3.33904109589041
06_10,rural,2011,Afghanistan,1.7184931506849317
06_10,town,2011,Afghanistan,2.4486301369863015
11_20,city,2011,Afghanistan,2.893835616438356
11_20,large_city,2011,Afghanistan,3.33904109589041
11_20,rural,2011,Afghanistan,1.7184931506849317
11_20,town,2011,Afghanistan,2.4486301369863015
21_30,city,2011,Afghanistan,2.893835616438356
21_30,large_city,2011,Afghanistan,3.33904109589041
21_30,rural,2011,Afghanistan,1.7184931506849317
21_30,town,2011,Afghanistan,2.4486301369863015
31_50,city,2011,Afghanistan,2.893835616438356
31_50,large_city,2011,Afghanistan,3.33904109589041
31_50,rural,2011,Afghanistan,1.7184931506849317
31_50,town,2011,Afghanistan,2.4486301369863015
51+,city,2011,Afghanistan,2.893835616438356
51+,large_city,2011,Afghanistan,3.33904109589041
51+,rural,2011,Afghanistan,1.7184931506849317
51+,town,2011,Afghanistan,2.4486301369863015
No_travel,city,2011,Afghanistan,2.893835616438356
No_travel,large_city,2011,Afghanistan,3.33904109589041
No_travel,rural,2011,Afghanistan,1.7184931506849317
No_travel,town,2011,Afghanistan,2.4486301369863015
00_01,city,2012,Afghanistan,2.898601799711152
00_01,large_city,2012,Afghanistan,3.3445405381282516
00_01,rural,2012,Afghanistan,1.7213235302900074
00_01,town,2012,Afghanistan,2.452663061294052
02_05,city,2012,Afghanistan,2.898601799711152
02_05,large_city,2012,Afghanistan,3.3445405381282516
02_05,rural,2012,Afghanistan,1.7213235302900074
02_05,town,2012,Afghanistan,2.452663061294052
06_10,city,2012,Afghanistan,2.898601799711152
06_10,large_city,2012,Afghanistan,3.3445405381282516
06_10,rural,2012,Afghanistan,1.7213235302900074
06_10,town,2012,Afghanistan,2.452663061294052
11_20,city,2012,Afghanistan,2.898601799711152
11_20,large_city,2012,Afghanistan,3.3445405381282516
11_20,rural,2012,Afghanistan,1.7213235302900074
11_20,town,2012,Afghanistan,2.452663061294052
21_30,city,2012,Afghanistan,2.898601799711152
21_30,large_city,2012,Afghanistan,3.3445405381282516
21_30,rural,2012,Afghanistan,1.7213235302900074
21_30,town,2012,Afghanistan,2.452663061294052
31_50,city,2012,Afghanistan,2.898601799711152
31_50,large_city,2012,Afghanistan,3.3445405381282516
31_50,rural,2012,Afghanistan,1.7213235302900074
31_50,town,2012,Afghanistan,2.452663061294052
51+,city,2012,Afghanistan,2.898601799711152
51+,large_city,2012,Afghanistan,3.3445405381282516
51+,rural,2012,Afghanistan,1.7213235302900074
51+,town,2012,Afghanistan,2.452663061294052
No_travel,city,2012,Afghanistan,2.898601799711152
No_travel,large_city,2012,Afghanistan,3.3445405381282516
No_travel,rural,2012,Afghanistan,1.7213235302900074
No_travel,town,2012,Afghanistan,2.452663061294052
00_01,city,2013,Afghanistan,2.903367982983948
00_01,large_city,2013,Afghanistan,3.350039980366093
00_01,rural,2013,Afghanistan,1.724153909895083
00_01,town,2013,Afghanistan,2.456695985601802
02_05,city,2013,Afghanistan,2.903367982983948
02_05,large_city,2013,Afghanistan,3.350039980366093
02_05,rural,2013,Afghanistan,1.724153909895083
02_05,town,2013,Afghanistan,2.456695985601802
06_10,city,2013,Afghanistan,2.903367982983948
06_10,large_city,2013,Afghanistan,3.350039980366093
06_10,rural,2013,Afghanistan,1.724153909895083
06_10,town,2013,Afghanistan,2.456695985601802
11_20,city,2013,Afghanistan,2.903367982983948
11_20,large_city,2013,Afghanistan,3.350039980366093
11_20,rural,2013,Afghanistan,1.724153909895083
11_20,town,2013,Afghanistan,2.456695985601802
21_30,city,2013,Afghanistan,2.903367982983948
21_30,large_city,2013,Afghanistan,3.350039980366093
21_30,rural,2013,Afghanistan,1.724153909895083
21_30,town,2013,Afghanistan,2.456695985601802
31_50,city,2013,Afghanistan,2.903367982983948
31_50,large_city,2013,Afghanistan,3.350039980366093
31_50,rural,2013,Afghanistan,1.724153909895083
31_50,town,2013,Afghanistan,2.456695985601802
51+,city,2013,Afghanistan,2.903367982983948
51+,large_city,2013,Afghanistan,3.350039980366093
51+,rural,2013,Afghanistan,1.724153909895083
51+,town,2013,Afghanistan,2.456695985601802
No_travel,city,2013,Afghanistan,2.903367982983948
No_travel,large_city,2013,Afghanistan,3.350039980366093
No_travel,rural,2013,Afghanistan,1.724153909895083
No_travel,town,2013,Afghanistan,2.456695985601802
00_01,city,2014,Afghanistan,2.908134166256744
00_01,large_city,2014,Afghanistan,3.355539422603935
00_01,rural,2014,Afghanistan,1.7269842895001586
00_01,town,2014,Afghanistan,2.460728909909552
02_05,city,2014,Afghanistan,2.908134166256744
02_05,large_city,2014,Afghanistan,3.355539422603935
02_05,rural,2014,Afghanistan,1.7269842895001586
02_05,town,2014,Afghanistan,2.460728909909552
06_10,city,2014,Afghanistan,2.908134166256744
06_10,large_city,2014,Afghanistan,3.355539422603935
06_10,rural,2014,Afghanistan,1.7269842895001586
06_10,town,2014,Afghanistan,2.460728909909552
11_20,city,2014,Afghanistan,2.908134166256744
11_20,large_city,2014,Afghanistan,3.355539422603935
11_20,rural,2014,Afghanistan,1.7269842895001586
11_20,town,2014,Afghanistan,2.460728909909552
21_30,city,2014,Afghanistan,2.908134166256744
21_30,large_city,2014,Afghanistan,3.355539422603935
21_30,rural,2014,Afghanistan,1.7269842895001586
21_30,town,2014,Afghanistan,2.460728909909552
31_50,city,2014,Afghanistan,2.908134166256744
31_50,large_city,2014,Afghanistan,3.355539422603935
31_50,rural,2014,Afghanistan,1.7269842895001586
31_50,town,2014,Afghanistan,2.460728909909552
51+,city,2014,Afghanistan,2.908134166256744
51+,large_city,2014,Afghanistan,3.355539422603935
51+,rural,2014,Afghanistan,1.7269842895001586
51+,town,2014,Afghanistan,2.460728909909552
No_travel,city,2014,Afghanistan,2.908134166256744
No_travel,large_city,2014,Afghanistan,3.355539422603935
No_travel,rural,2014,Afghanistan,1.7269842895001586
No_travel,town,2014,Afghanistan,2.460728909909552
00_01,city,2015,Afghanistan,2.9129003495295396
00_01,large_city,2015,Afghanistan,3.361038864841776
00_01,rural,2015,Afghanistan,1.7298146691052343
00_01,town,2015,Afghanistan,2.464761834217303
02_05,city,2015,Afghanistan,2.9129003495295396
02_05,large_city,2015,Afghanistan,3.361038864841776
02_05,rural,2015,Afghanistan,1.7298146691052343
02_05,town,2015,Afghanistan,2.464761834217303
06_10,city,2015,Afghanistan,2.9129003495295396
06_10,large_city,2015,Afghanistan,3.361038864841776
06_10,rural,2015,Afghanistan,1.7298146691052343
06_10,town,2015,Afghanistan,2.464761834217303
11_20,city,2015,Afghanistan,2.9129003495295396
11_20,large_city,2015,Afghanistan,3.361038864841776
11_20,rural,2015,Afghanistan,1.7298146691052343
11_20,town,2015,Afghanistan,2.464761834217303
21_30,city,2015,Afghanistan,2.9129003495295396
21_30,large_city,2015,Afghanistan,3.361038864841776
21_30,rural,2015,Afghanistan,1.7298146691052343
21_30,town,2015,Afghanistan,2.464761834217303
31_50,city,2015,Afghanistan,2.9129003495295396
31_50,large_city,2015,Afghanistan,3.361038864841776
31_50,rural,2015,Afghanistan,1.7298146691052343
31_50,town,2015,Afghanistan,2.464761834217303
51+,city,2015,Afghanistan,2.9129003495295396
51+,large_city,2015,Afghanistan,3.361038864841776
51+,rural,2015,Afghanistan,1.7298146691052343
51+,town,2015,Afghanistan,2.464761834217303
No_travel,city,2015,Afghanistan,2.9129003495295396
No_travel,large_city,2015,Afghanistan,3.361038864841776
No_travel,rural,2015,Afghanistan,1.7298146691052343
No_travel,town,2015,Afghanistan,2.464761834217303
00_01,city,2016,Afghanistan,2.9176665328023357
00_01,large_city,2016,Afghanistan,3.3665383070796175
