# Trip share for each area type and trip distance catgeory
#
# Calculated values from Indian Census 2011
#
#
area_type, trip_dist, value
large_city, No_travel, 0.188216649092512
large_city, 00_01, 0.160579817941501
large_city, 02_05, 0.246012615431391
large_city, 06_10, 0.187418793185865
large_city, 11_20, 0.116834089570764
large_city, 21_30, 0.0529790875342071
large_city, 31_50, 0.0335802891661446
large_city, 51+, 0.0143786580776157
city, No_travel, 0.245048917778152
city, 00_01, 0.148696165994084
city, 02_05, 0.286856645661911
city, 06_10, 0.180726972255696
city, 11_20, 0.0697395980692755
city, 21_30, 0.0348775732631635
city, 31_50, 0.0172599275472998
city, 51+, 0.0167941994304186
town, No_travel, 0.266068505017117
town, 00_01, 0.201180749259514
town, 02_05, 0.277882466784367
town, 06_10, 0.125240765944791
town, 11_20, 0.0510385405755192
town, 21_30, 0.0338169848733322
town, 31_50, 0.0212381911854749
town, 51+, 0.0235337963598847
rural, No_travel, 0.387511841348424
rural, 00_01, 0.142686015388338
rural, 02_05, 0.179791853763212
rural, 06_10, 0.125667345721832
rural, 11_20, 0.0664594002580336
rural, 21_30, 0.0380931226596155
rural, 31_50, 0.0255456323034762
rural, 51+, 0.0342447885570689
