n,y,value
Afghanistan,2011,1.0
Afghanistan,2012,1.0684235894854228
Afghanistan,2013,1.085954590366868
Afghanistan,2014,1.0773010281043225
Afghanistan,2015,1.062783273000449
Afghanistan,2016,1.0595738614229961
Afghanistan,2017,1.0575387871465067
Afghanistan,2018,1.0425722670438302
Afghanistan,2019,1.0507003295301183
Afghanistan,2020,1.0032219490381742
Afghanistan,2025,1.0424537261177624
Afghanistan,2030,1.1969634327099463
Afghanistan,2035,1.3827282162533248
Afghanistan,2040,1.5853728268235032
Afghanistan,2045,1.786510180210151
Afghanistan,2050,1.9685907401343188
Afghanistan,2055,2.117931093522798
Afghanistan,2060,2.22585163486909
Afghanistan,2065,2.2891380593226245
Afghanistan,2070,2.309362882758474
Afghanistan,2075,2.2911697879562047
Afghanistan,2080,2.241147152368696
Afghanistan,2085,2.1666431572401668
Afghanistan,2090,2.07629627037675
Afghanistan,2095,1.9775772330662258
Afghanistan,2100,1.8757081488081808
Bangladesh,2011,1.0
Bangladesh,2012,1.0273154868149643
Bangladesh,2013,1.051702482630894
Bangladesh,2014,1.076179402937228
Bangladesh,2015,1.1030054599800856
Bangladesh,2016,1.131854023020798
Bangladesh,2017,1.1575443206558582
Bangladesh,2018,1.1863691402980978
Bangladesh,2019,1.2169640446017747
Bangladesh,2020,1.2273331191518222
Bangladesh,2025,1.362339905967395
Bangladesh,2030,1.429052454443764
Bangladesh,2035,1.4668748852616396
Bangladesh,2040,1.4787331902191685
Bangladesh,2045,1.4684190412864304
Bangladesh,2050,1.4408329229072212
Bangladesh,2055,1.4007699196282337
Bangladesh,2060,1.3521089602702163
Bangladesh,2065,1.297877316258238
Bangladesh,2070,1.2404842015676096
Bangladesh,2075,1.181884041066533
Bangladesh,2080,1.1253533791129184
Bangladesh,2085,1.0718538532070645
Bangladesh,2090,1.02285194104179
Bangladesh,2095,0.9770077577015
Bangladesh,2100,0.933599630544872
Bhutan,2011,1.0
Bhutan,2012,1.0082944513247432
Bhutan,2013,1.0099135390575584
Bhutan,2014,1.019227018542282
Bhutan,2015,1.0323828927654424
Bhutan,2016,1.044461761484826
Bhutan,2017,1.0500284978046686
Bhutan,2018,1.0549522856692968
Bhutan,2019,1.0615018348381096
Bhutan,2020,1.0444144867099927
Bhutan,2025,1.0677672406334673
Bhutan,2030,1.0888890957327642
Bhutan,2035,1.095047241885513
Bhutan,2040,1.0895140053002423
Bhutan,2045,1.0741111958561511
Bhutan,2050,1.050755884161237
Bhutan,2055,1.0215550509460243
Bhutan,2060,0.9884837162434784
Bhutan,2065,0.9532081628829855
Bhutan,2070,0.9171084248854963
Bhutan,2075,0.8814104683319738
Bhutan,2080,0.847643067725295
Bhutan,2085,0.815265182926479
Bhutan,2090,0.7860242362626362
Bhutan,2095,0.7596801110677043
Bhutan,2100,0.7357870941813521
India,2011,1.0
India,2012,1.0165042233271193
India,2013,1.0363677122674302
India,2014,1.0596636884725803
India,2015,1.0843621495601174
India,2016,1.1088276570512694
India,2017,1.1275497989906822
India,2018,1.1445829369763982
India,2019,1.1533779088608143
India,2020,1.1308318341787498
India,2025,1.2081567647183953
India,2030,1.2524696664366852
India,2035,1.2723578238849085
India,2040,1.2789166435904131
India,2045,1.2726029724413583
India,2050,1.2543511465964876
India,2055,1.2252243580023277
India,2060,1.186918791750016
India,2065,1.1421774159803908
India,2070,1.0928317960724276
India,2075,1.0404111262440496
India,2080,0.98728394000558
India,2085,0.9345885987645708
India,2090,0.8836473802038213
India,2095,0.8340584854690078
India,2100,0.7856792358890912
Maldives,2011,1.0
Maldives,2012,1.0017684230530837
Maldives,2013,0.9988067387244854
Maldives,2014,0.9971727403933051
Maldives,2015,0.9985281347916081
Maldives,2016,0.9955022656570064
Maldives,2017,0.9932575194620886
Maldives,2018,0.9898415083808103
Maldives,2019,0.9847950348475489
Maldives,2020,1.0086674432811615
Maldives,2025,0.9676859879694986
Maldives,2030,0.9315238415973706
Maldives,2035,0.8938652452473612
Maldives,2040,0.8590991054519035
Maldives,2045,0.829533695407336
Maldives,2050,0.8045067253711772
Maldives,2055,0.7821497837828592
Maldives,2060,0.7614320669233673
Maldives,2065,0.7425307523016957
Maldives,2070,0.7266789215543555
Maldives,2075,0.713465483906654
Maldives,2080,0.7013750120488174
Maldives,2085,0.686747752828858
Maldives,2090,0.6701606382493319
Maldives,2095,0.655344482700738
Maldives,2100,0.6441252619300954
Nepal,2011,1.0
Nepal,2012,1.0380153895520634
Nepal,2013,1.0671534296576863
Nepal,2014,1.1171782024894614
Nepal,2015,1.147882671780077
Nepal,2016,1.1435681283977814
Nepal,2017,1.2128186146932038
Nepal,2018,1.2712758943509366
Nepal,2019,1.3223082747699415
Nepal,2020,1.2821751801062216
Nepal,2025,1.4367268218315183
Nepal,2030,1.632017155582324
Nepal,2035,1.8412511861001775
Nepal,2040,2.0500411005137362
Nepal,2045,2.236179462861912
Nepal,2050,2.3853919217917
Nepal,2055,2.4912957281821577
Nepal,2060,2.5530687174816755
Nepal,2065,2.572723206705887
Nepal,2070,2.5550551631191536
Nepal,2075,2.5069436044137534
Nepal,2080,2.437392865924139
Nepal,2085,2.353810477093227
Nepal,2090,2.2626141983364976
Nepal,2095,2.1665443007257053
Nepal,2100,2.0698509840921173
Pakistan,2011,1.0
Pakistan,2012,1.0087845259622317
Pakistan,2013,1.0235016388588332
Pakistan,2014,1.040230545901569
Pakistan,2015,1.0577068668749254
Pakistan,2016,1.0794713836165
Pakistan,2017,1.0949828431704955
Pakistan,2018,1.1175967476672117
Pakistan,2019,1.1219435432209326
Pakistan,2020,1.1066279140831123
Pakistan,2025,1.1799420805429075
Pakistan,2030,1.2486659277370078
Pakistan,2035,1.3112002034299433
Pakistan,2040,1.3689806048102098
Pakistan,2045,1.4181970272690123
Pakistan,2050,1.4548841554659335
Pakistan,2055,1.4770963994404127
Pakistan,2060,1.4843446030806982
Pakistan,2065,1.4773368516604564
Pakistan,2070,1.4572413023252078
Pakistan,2075,1.4257239433648439
Pakistan,2080,1.3854370666686735
Pakistan,2085,1.3392207495229562
Pakistan,2090,1.2898625615719108
Pakistan,2095,1.2391908695976488
Pakistan,2100,1.1883158401171854
Sri Lanka,2011,1.0
Sri Lanka,2012,1.0123547539074707
Sri Lanka,2013,1.0175091012867798
Sri Lanka,2014,1.0252472354921505
Sri Lanka,2015,1.0297492505653034
Sri Lanka,2016,1.0347764579414611
Sri Lanka,2017,1.040438048944368
Sri Lanka,2018,1.0420922656194815
Sri Lanka,2019,1.041643959271379
Sri Lanka,2020,1.0370561843057742
Sri Lanka,2025,1.0318520935469317
Sri Lanka,2030,1.0428899581429818
Sri Lanka,2035,1.050325193822057
Sri Lanka,2040,1.0529550863778976
Sri Lanka,2045,1.0501444294301092
Sri Lanka,2050,1.0415009932556605
Sri Lanka,2055,1.0270813335776148
Sri Lanka,2060,1.0077200002306554
Sri Lanka,2065,0.984639180023972
Sri Lanka,2070,0.9589969183515208
Sri Lanka,2075,0.9306964452358929
Sri Lanka,2080,0.9012286066223029
Sri Lanka,2085,0.8712481211775311
Sri Lanka,2090,0.842042531976414
Sri Lanka,2095,0.8141018529650899
Sri Lanka,2100,0.7868053720847885
