n,area_type,trip_dist,y,value
Afghanistan,large_city,No_travel,2011,0.0
Afghanistan,large_city,No_travel,2012,0.0
Afghanistan,large_city,No_travel,2013,0.0
Afghanistan,large_city,No_travel,2014,0.0
Afghanistan,large_city,No_travel,2015,0.0
Afghanistan,large_city,No_travel,2016,0.0
Afghanistan,large_city,No_travel,2017,0.0
Afghanistan,large_city,No_travel,2018,0.0
Afghanistan,large_city,No_travel,2019,0.0
Afghanistan,large_city,No_travel,2020,0.0
Afghanistan,large_city,No_travel,2025,0.0
Afghanistan,large_city,No_travel,2030,0.0
Afghanistan,large_city,No_travel,2035,0.0
Afghanistan,large_city,No_travel,2040,0.0
Afghanistan,large_city,No_travel,2045,0.0
Afghanistan,large_city,No_travel,2050,0.0
Afghanistan,large_city,No_travel,2055,0.0
Afghanistan,large_city,No_travel,2060,0.0
Afghanistan,large_city,No_travel,2065,0.0
Afghanistan,large_city,No_travel,2070,0.0
Afghanistan,large_city,No_travel,2075,0.0
Afghanistan,large_city,No_travel,2080,0.0
Afghanistan,large_city,No_travel,2085,0.0
Afghanistan,large_city,No_travel,2090,0.0
Afghanistan,large_city,No_travel,2095,0.0
Afghanistan,large_city,No_travel,2100,0.0
Afghanistan,large_city,00_01,2011,0.0918299625000023
Afghanistan,large_city,00_01,2012,0.09379556779747114
Afghanistan,large_city,00_01,2013,0.0942853331393343
Afghanistan,large_city,00_01,2014,0.09404425507437794
Afghanistan,large_city,00_01,2015,0.09363683253189273
Afghanistan,large_city,00_01,2016,0.09354625430190211
Afghanistan,large_city,00_01,2017,0.09348872233444738
Afghanistan,large_city,00_01,2018,0.09306328551035772
Afghanistan,large_city,00_01,2019,0.09329484443652138
Afghanistan,large_city,00_01,2020,0.09192453783656335
Afghanistan,large_city,00_01,2025,0.09305989935175216
Afghanistan,large_city,00_01,2030,0.09726806794703113
Afghanistan,large_city,00_01,2035,0.10186387450967019
Afghanistan,large_city,00_01,2040,0.10642078502263914
Afghanistan,large_city,00_01,2045,0.11056716277790843
Afghanistan,large_city,00_01,2050,0.11405495227096833
Afghanistan,large_city,00_01,2055,0.11675518905060193
Afghanistan,large_city,00_01,2060,0.11862690373460918
Afghanistan,large_city,00_01,2065,0.11969594628298079
Afghanistan,large_city,00_01,2070,0.12003334393073935
Afghanistan,large_city,00_01,2075,0.11972993166259803
Afghanistan,large_city,00_01,2080,0.11888715278863392
Afghanistan,large_city,00_01,2085,0.11760786650968598
Afghanistan,large_city,00_01,2090,0.11601576032887938
Afghanistan,large_city,00_01,2095,0.11422130351855063
Afghanistan,large_city,00_01,2100,0.11230453444127958
Afghanistan,large_city,02_05,2011,0.218099182353909
Afghanistan,large_city,02_05,2012,0.22276755960832043
Afghanistan,large_city,02_05,2013,0.2239307684096486
Afghanistan,large_city,02_05,2014,0.2233582000733559
Afghanistan,large_city,02_05,2015,0.22239055812981734
Afghanistan,large_city,02_05,2016,0.2221754318533581
Afghanistan,large_city,02_05,2017,0.2220387915377194
Afghanistan,large_city,02_05,2018,0.2210283650826591
Afghanistan,large_city,02_05,2019,0.2215783251511176
Afghanistan,large_city,02_05,2020,0.21832380188998696
Afghanistan,large_city,02_05,2025,0.2210203228445585
Afghanistan,large_city,02_05,2030,0.23101486171674546
Afghanistan,large_city,02_05,2035,0.24193005351559088
Afghanistan,large_city,02_05,2040,0.25275286591670054
Afghanistan,large_city,02_05,2045,0.2626006495108041
Afghanistan,large_city,02_05,2050,0.27088426431309587
Afghanistan,large_city,02_05,2055,0.27729741550870945
Afghanistan,large_city,02_05,2060,0.2817427994669331
Afghanistan,large_city,02_05,2065,0.28428181069326763
Afghanistan,large_city,02_05,2070,0.2850831412078507
Afghanistan,large_city,02_05,2075,0.28436252708805554
Afghanistan,large_city,02_05,2080,0.28236089953303267
Afghanistan,large_city,02_05,2085,0.27932255252907834
Afghanistan,large_city,02_05,2090,0.2755412479657174
Afghanistan,large_city,02_05,2095,0.2712793539994415
Afghanistan,large_city,02_05,2100,0.26672696437482346
Afghanistan,large_city,06_10,2011,0.227649910037638
Afghanistan,large_city,06_10,2012,0.23252271905286845
Afghanistan,large_city,06_10,2013,0.23373686564488844
Afghanistan,large_city,06_10,2014,0.23313922410932358
Afghanistan,large_city,06_10,2015,0.23212920839529058
Afghanistan,large_city,06_10,2016,0.23190466157693887
Afghanistan,large_city,06_10,2017,0.23176203767882547
Afghanistan,large_city,06_10,2018,0.23070736388724347
Afghanistan,large_city,06_10,2019,0.23128140712187473
Afghanistan,large_city,06_10,2020,0.22788436583260688
Afghanistan,large_city,06_10,2025,0.23069896947347107
Afghanistan,large_city,06_10,2030,0.24113117674066284
Afghanistan,large_city,06_10,2035,0.2525243530205197
Afghanistan,large_city,06_10,2040,0.26382110453914215
Afghanistan,large_city,06_10,2045,0.2741001300039418
Afghanistan,large_city,06_10,2050,0.28274649054585405
Afghanistan,large_city,06_10,2055,0.2894404784690648
Afghanistan,large_city,06_10,2060,0.2940805291434878
Afghanistan,large_city,06_10,2065,0.2967307255863231
Afghanistan,large_city,06_10,2070,0.2975671469684961
Afghanistan,large_city,06_10,2075,0.29681497661291434
Afghanistan,large_city,06_10,2080,0.29472569627764744
Afghanistan,large_city,06_10,2085,0.29155429776689584
Afghanistan,large_city,06_10,2090,0.28760740702487925
Afghanistan,large_city,06_10,2095,0.2831588815075378
Afghanistan,large_city,06_10,2100,0.2784071393078863
Afghanistan,large_city,11_20,2011,0.24573634096712
Afghanistan,large_city,11_20,2012,0.2509962870722441
Afghanistan,large_city,11_20,2013,0.2523068957207227
Afghanistan,large_city,11_20,2014,0.2516617724956118
Afghanistan,large_city,11_20,2015,0.25057151260556954
Afghanistan,large_city,11_20,2016,0.25032912589209166
Afghanistan,large_city,11_20,2017,0.2501751707473211
Afghanistan,large_city,11_20,2018,0.24903670476499573
Afghanistan,large_city,11_20,2019,0.24965635484090348
Afghanistan,large_city,11_20,2020,0.24598942390998021
Afghanistan,large_city,11_20,2025,0.24902764342811817
Afghanistan,large_city,11_20,2030,0.26028867332102024
Afghanistan,large_city,11_20,2035,0.2725870197185326
Afghanistan,large_city,11_20,2040,0.2847812805576521
Afghanistan,large_city,11_20,2045,0.2958769585924472
Afghanistan,large_city,11_20,2050,0.3052102590180908
Afghanistan,large_city,11_20,2055,0.3124360738600819
Afghanistan,large_city,11_20,2060,0.31744476933659765
Afghanistan,large_city,11_20,2065,0.32030551976078514
Afghanistan,large_city,11_20,2070,0.3212083935195662
Afghanistan,large_city,11_20,2075,0.32039646440027053
Afghanistan,large_city,11_20,2080,0.3181411939951201
Afghanistan,large_city,11_20,2085,0.314717832810168
Afghanistan,large_city,11_20,2090,0.3104573677435234
Afghanistan,large_city,11_20,2095,0.3056554137996382
Afghanistan,large_city,11_20,2100,0.30052615308010455
Afghanistan,large_city,21_30,2011,0.151410352965953
Afghanistan,large_city,21_30,2012,0.15465126675682486
Afghanistan,large_city,21_30,2013,0.15545879777680097
Afghanistan,large_city,21_30,2014,0.15506130534716622
Afghanistan,large_city,21_30,2015,0.1543895421308416
Afghanistan,large_city,21_30,2016,0.15424019564957836
Afghanistan,large_city,21_30,2017,0.15414533624571933
Afghanistan,large_city,21_30,2018,0.15344387086398048
Afghanistan,large_city,21_30,2019,0.15382566802242814
Afghanistan,large_city,21_30,2020,0.15156628992487947
Afghanistan,large_city,21_30,2025,0.15343828772471188
Afghanistan,large_city,21_30,2030,0.16037676700756484
Afghanistan,large_city,21_30,2035,0.1679543884599574
Afghanistan,large_city,21_30,2040,0.1754678776351585
Afghanistan,large_city,21_30,2045,0.1823044754335675
Afghanistan,large_city,21_30,2050,0.18805518493881346
Afghanistan,large_city,21_30,2055,0.1925073680037468
Afghanistan,large_city,21_30,2060,0.19559347381542114
Afghanistan,large_city,21_30,2065,0.19735612410055614
Afghanistan,large_city,21_30,2070,0.19791242942341855
Afghanistan,large_city,21_30,2075,0.19741215960556388
Afghanistan,large_city,21_30,2080,0.1960225756037284
Afghanistan,large_city,21_30,2085,0.19391327291246352
Afghanistan,large_city,21_30,2090,0.19128818898307395
Afghanistan,large_city,21_30,2095,0.18832946688804938
Afghanistan,large_city,21_30,2100,0.1851690748477736
Afghanistan,large_city,31_50,2011,0.123613380885738
Afghanistan,large_city,31_50,2012,0.12625930504482752
Afghanistan,large_city,31_50,2013,0.12691858386951793
Afghanistan,large_city,31_50,2014,0.12659406588153935
Afghanistan,large_city,31_50,2015,0.1260456296570809
Afghanistan,large_city,31_50,2016,0.12592370124788893
Afghanistan,large_city,31_50,2017,0.125846256797162
Afghanistan,large_city,31_50,2018,0.12527357133865477
Afghanistan,large_city,31_50,2019,0.1255852755031573
Afghanistan,large_city,31_50,2020,0.12374068984658743
Afghanistan,large_city,31_50,2025,0.1252690131911607
Afghanistan,large_city,31_50,2030,0.13093367789577287
Afghanistan,large_city,31_50,2035,0.1371201465780906
Afghanistan,large_city,31_50,2040,0.14325425683542453
Afghanistan,large_city,31_50,2045,0.14883574417141512
Afghanistan,large_city,31_50,2050,0.1535306981855244
Afghanistan,large_city,31_50,2055,0.15716551832957618
Afghanistan,large_city,31_50,2060,0.1596850552415466
Afghanistan,large_city,31_50,2065,0.16112410585332176
Afghanistan,large_city,31_50,2070,0.16157828075230782
Afghanistan,large_city,31_50,2075,0.1611698539682159
Afghanistan,large_city,31_50,2080,0.16003537952094846
Afghanistan,large_city,31_50,2085,0.15831331737743526
Afghanistan,large_city,31_50,2090,0.15617016472463333
Afghanistan,large_city,31_50,2095,0.15375462553525196
Afghanistan,large_city,31_50,2100,0.15117444038033911
Afghanistan,large_city,51+,2011,0.0823319043773287
Afghanistan,large_city,51+,2012,0.08409420529730098
Afghanistan,large_city,51+,2013,0.08453331375597652
Afghanistan,large_city,51+,2014,0.08431717061869212
Afghanistan,large_city,51+,2015,0.08395188816734558
Afghanistan,large_city,51+,2016,0.08387067852762418
Afghanistan,large_city,51+,2017,0.08381909714487971
Afghanistan,large_city,51+,2018,0.08343766364576942
Afghanistan,large_city,51+,2019,0.08364527221760808
Afghanistan,large_city,51+,2020,0.08241669769918372
Afghanistan,large_city,51+,2025,0.08343462772068647
Afghanistan,large_city,51+,2030,0.08720754153833261
Afghanistan,large_city,51+,2035,0.09132799956914026
Afghanistan,large_city,51+,2040,0.09541358460474117
Afghanistan,large_city,51+,2045,0.09913109866622306
Afghanistan,large_city,51+,2050,0.10225814285978736
Afghanistan,large_city,51+,2055,0.10467909164692135
Afghanistan,large_city,51+,2060,0.10635721314659335
Afghanistan,large_city,51+,2065,0.10731568363347636
Afghanistan,large_city,51+,2070,0.10761818392985179
Afghanistan,large_city,51+,2075,0.10734615387378464
Afghanistan,large_city,51+,2080,0.1065905443997805
Afghanistan,large_city,51+,2085,0.10544357588621318
Afghanistan,large_city,51+,2090,0.10401614272313507
Afghanistan,large_city,51+,2095,0.10240728824367006
Afghanistan,large_city,51+,2100,0.10068877236838265
Afghanistan,city,No_travel,2011,0.0
Afghanistan,city,No_travel,2012,0.0
Afghanistan,city,No_travel,2013,0.0
Afghanistan,city,No_travel,2014,0.0
Afghanistan,city,No_travel,2015,0.0
Afghanistan,city,No_travel,2016,0.0
Afghanistan,city,No_travel,2017,0.0
Afghanistan,city,No_travel,2018,0.0
Afghanistan,city,No_travel,2019,0.0
Afghanistan,city,No_travel,2020,0.0
Afghanistan,city,No_travel,2025,0.0
Afghanistan,city,No_travel,2030,0.0
Afghanistan,city,No_travel,2035,0.0
Afghanistan,city,No_travel,2040,0.0
Afghanistan,city,No_travel,2045,0.0
Afghanistan,city,No_travel,2050,0.0
Afghanistan,city,No_travel,2055,0.0
Afghanistan,city,No_travel,2060,0.0
Afghanistan,city,No_travel,2065,0.0
Afghanistan,city,No_travel,2070,0.0
Afghanistan,city,No_travel,2075,0.0
Afghanistan,city,No_travel,2080,0.0
Afghanistan,city,No_travel,2085,0.0
Afghanistan,city,No_travel,2090,0.0
Afghanistan,city,No_travel,2095,0.0
Afghanistan,city,No_travel,2100,0.0
Afghanistan,city,00_01,2011,0.14143918779263
